1.119061516, Sport: ,Tennis, Time: ,Fri Jun 05 13:00:00 CEST 2015, Time: ,Fri Jun 05 13:00:00 CEST 2015, Event: ,Mattek-Sands/Safarova v Hlavackova/Hradecka, Favorite: ,Mattek-Sands/Safarova, 9163485   size:2.55,Price: ,1.56,Hlavackova/Hradecka, 4470757   size:7.54,Price: ,2.48,okok
1.119048978, Sport: ,Baseball, Time: ,Fri Jun 05 01:05:00 CEST 2015, Time: ,Fri Jun 05 01:05:00 CEST 2015, Event: ,CIN @ PHI, Favorite: ,Cincinnati (A DeSclafani), 9385641   size:121.89,Price: ,1.85,Philadelphia (A Harang), 9385113   size:269.0,Price: ,2.12,okok
1.119061910, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Friesenheim v GWD Minden, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,xx
1.119076404, Sport: ,Tennis, Time: ,Fri Jun 05 13:30:00 CEST 2015, Time: ,Fri Jun 05 13:30:00 CEST 2015, Event: ,A Bogdan v Wagemaker, Favorite: ,Ana Bogdan, 3875013   size:31.2,Price: ,1.03,Mandy Wagemaker, 9166290   size:159.45,Price: ,1.07,okok
1.119076400, Sport: ,Tennis, Time: ,Fri Jun 05 12:00:00 CEST 2015, Time: ,Fri Jun 05 12:00:00 CEST 2015, Event: ,Kerkhove v Pous-Tio, Favorite: ,Laura Pous-Tio, 8443238   size:296.59,Price: ,1.3,xx
1.119061918, Sport: ,Handball, Time: ,Fri Jun 05 20:00:00 CEST 2015, Time: ,Fri Jun 05 20:00:00 CEST 2015, Event: ,Fuchse Berlin v Flensburg Handewitt, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,Fuchse Berlin, 2476365   size:4.76,Price: ,1.84,xx
1.119074782, Sport: ,Tennis, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,Ignatik v Vesely, Favorite: ,Jiri Vesely, 7032143   size:2.55,Price: ,1.26,Uladzimir Ignatik, 3259323   size:5.33,Price: ,4.3,okok
1.119076443, Sport: ,Snooker, Time: ,Fri Jun 05 11:00:00 CEST 2015, Time: ,Fri Jun 05 11:00:00 CEST 2015, Event: ,Gould v Leslie, Favorite: ,Michael Leslie, 6535838   size:3.06,Price: ,1.02,xx
1.119059108, Sport: ,Tennis, Time: ,Fri Jun 05 13:45:00 CEST 2015, Time: ,Fri Jun 05 13:45:00 CEST 2015, Event: ,H Zeballos v T Daniel, Favorite: ,Taro Daniel, 8173434   size:2.58,Price: ,1.76,Horacio Zeballos, 3506037   size:2.55,Price: ,2.06,ok
1.119008771, Sport: ,Cricket, Time: ,Fri Jun 05 18:30:00 CEST 2015, Time: ,Fri Jun 05 18:30:00 CEST 2015, Event: ,Somerset v Hampshire, Favorite: ,Somerset, 5995   size:4.47,Price: ,1.81,Hampshire, 3961   size:5.19,Price: ,2.04,ok
