1.119765893, Sport: ,Soccer, Time: ,Fri Aug 07 18:30:00 CEST 2015, Time: ,Fri Aug 07 18:30:00 CEST 2015, Event: ,FAC Team fur Wien v Austria Lustenau, Favorite: ,Austria Lustenau, 453564   size:2.84,Price: ,2.46,FAC Team fur Wien, 3258138   size:9.72,Price: ,3.2,The Draw, 58805   size:75.94,Price: ,3.45,ok
1.119871581, Sport: ,Soccer, Time: ,Fri Aug 07 16:00:00 CEST 2015, Time: ,Fri Aug 07 16:00:00 CEST 2015, Event: ,Alashkert FC II v Gandzasar FC II, Favorite: ,Alashkert FC II, 7444729   size:10.12,Price: ,1.11,The Draw, 58805   size:11.39,Price: ,4.5,Gandzasar FC II, 7268356   size:11.36,Price: ,5.0,ok
1.119872310, Sport: ,Soccer, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,Fjolnir (W) v Vikingur Olafsvik (W), Favorite: ,Vikingur Olafsvik (W), 6990836   size:2.63,Price: ,1.07,The Draw, 58805   size:2.0,Price: ,1.27,ok
1.119765096, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Ytterby v Kortedala IF, Favorite: ,Ytterby, 502421   size:5.0,Price: ,2.04,Kortedala IF, 9371569   size:5.66,Price: ,2.74,The Draw, 58805   size:3.33,Price: ,3.7,ok
1.119765094, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Skovde AIK v Lidkopings, Favorite: ,Skovde AIK, 2382929   size:4.4,Price: ,1.71,Lidkopings, 8438632   size:5.72,Price: ,3.75,The Draw, 58805   size:2.11,Price: ,3.9,
1.119765490, Sport: ,Soccer, Time: ,Fri Aug 07 21:15:00 CEST 2015, Time: ,Fri Aug 07 21:15:00 CEST 2015, Event: ,Fram v Haukar, Favorite: ,Fram, 808415   size:17.94,Price: ,2.28,Haukar, 3149610   size:13.56,Price: ,3.1,The Draw, 58805   size:104.39,Price: ,3.8,ok
1.119910132, Sport: ,Tennis, Time: ,Fri Aug 07 21:00:00 CEST 2015, Time: ,Fri Aug 07 21:00:00 CEST 2015, Event: ,Ka Pliskova v Tomljanovic, Favorite: ,Karolina Pliskova, 6199453   size:46.02,Price: ,1.41,Ajla Tomljanovic, 3740233   size:17.27,Price: ,3.2,ok
1.119770390, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,Spielberg v FC Astoria Walldorf, Favorite: ,FC Astoria Walldorf, 8690092   size:9.82,Price: ,2.4,Spielberg, 10079926   size:2.55,Price: ,3.15,The Draw, 58805   size:6.39,Price: ,3.5,ok
1.119856471, Sport: ,Handball, Time: ,Fri Aug 07 16:00:00 CEST 2015, Time: ,Fri Aug 07 16:00:00 CEST 2015, Event: ,Russia U19 v Algeria U19, Favorite: ,Draw, 330157   size:100.0,Price: ,1.01,Russia U19, 10118207   size:1200.0,Price: ,1.02,x
1.119794184, Sport: ,Soccer, Time: ,Fri Aug 07 20:00:00 CEST 2015, Time: ,Fri Aug 07 20:00:00 CEST 2015, Event: ,Breda v Volendam, Favorite: ,Breda, 48448   size:16.64,Price: ,1.74,The Draw, 58805   size:269.34,Price: ,4.2,Volendam, 419133   size:145.3,Price: ,5.1,
1.119765092, Sport: ,Soccer, Time: ,Fri Aug 07 19:00:00 CEST 2015, Time: ,Fri Aug 07 19:00:00 CEST 2015, Event: ,IFK Berga v Karlskrona, Favorite: ,Karlskrona, 502419   size:2.98,Price: ,2.16,IFK Berga, 6507703   size:4.36,Price: ,2.74,The Draw, 58805   size:2.55,Price: ,3.65,x
