1.119104949, Sport: ,Tennis, Time: ,Tue Jun 09 13:30:00 CEST 2015, Time: ,Tue Jun 09 13:30:00 CEST 2015, Event: ,Schiavone v Diyas, Favorite: ,Zarina Diyas, 4045175   size:21.37,Price: ,1.39,Francesca Schiavone, 2256500   size:27.37,Price: ,3.4,okok
1.119104708, Sport: ,Tennis, Time: ,Tue Jun 09 15:00:00 CEST 2015, Time: ,Tue Jun 09 15:00:00 CEST 2015, Event: ,Fabbiano v Co Smith, Favorite: ,Thomas Fabbiano, 3019240   size:5.74,Price: ,1.45,Connor Smith, 8732289   size:6.48,Price: ,2.86,okok
1.119107428, Sport: ,Tennis, Time: ,Tue Jun 09 18:00:00 CEST 2015, Time: ,Tue Jun 09 18:00:00 CEST 2015, Event: ,Black/Raymond v Gajdosova/Tomljanovic, Favorite: ,Gajdosova/Tomljanovic, 8189271   size:4.35,Price: ,1.84,xx
1.119116925, Sport: ,Tennis, Time: ,Tue Jun 09 16:15:00 CEST 2015, Time: ,Tue Jun 09 16:15:00 CEST 2015, Event: ,Bachinger v Gojowczyk, Favorite: ,Peter Gojowczyk, 4691416   size:3.66,Price: ,1.9,Matthias Bachinger, 2397396   size:27.0,Price: ,2.04,xx
1.119107426, Sport: ,Tennis, Time: ,Tue Jun 09 16:30:00 CEST 2015, Time: ,Tue Jun 09 16:30:00 CEST 2015, Event: ,Aoyama/Voracova v Date-Krumm/Hantuchova, Favorite: ,Aoyama/Voracova, 8445661   size:5.0,Price: ,1.86,Date-Krumm/Hantuchova, 9568448   size:5.74,Price: ,2.02,okok
1.119113899, Sport: ,Basketball, Time: ,Tue Jun 09 18:30:00 CEST 2015, Time: ,Tue Jun 09 18:30:00 CEST 2015, Event: ,Aris v PAOK, Favorite: ,Aris, 281552   size:208.77,Price: ,1.65,PAOK, 281533   size:6.36,Price: ,2.32,okok
1.119100994, Sport: ,Tennis, Time: ,Tue Jun 09 14:30:00 CEST 2015, Time: ,Tue Jun 09 14:30:00 CEST 2015, Event: ,Andreozzi v E Ymer, Favorite: ,Elias Ymer, 7414305   size:7.66,Price: ,1.73,Guido Andreozzi, 6603914   size:22.0,Price: ,2.18,okok
1.119107142, Sport: ,Tennis, Time: ,Tue Jun 09 16:45:00 CEST 2015, Time: ,Tue Jun 09 16:45:00 CEST 2015, Event: ,Cabal/Farah v Rosol/Thiem, Favorite: ,Cabal/Farah, 6098095   size:9.54,Price: ,1.49,Rosol/Thiem, 9220075   size:10.42,Price: ,2.5,okok
1.119100234, Sport: ,Tennis, Time: ,Tue Jun 09 10:00:00 CEST 2015, Time: ,Tue Jun 09 10:00:00 CEST 2015, Event: ,Mat Viola v F De Paula, Favorite: ,Matteo Viola, 4946664   size:28.22,Price: ,1.38,Fabiano De Paula, 7366935   size:17.68,Price: ,3.3,xx
1.119100475, Sport: ,Tennis, Time: ,Tue Jun 09 11:00:00 CEST 2015, Time: ,Tue Jun 09 11:00:00 CEST 2015, Event: ,Struff v B Tomic, Favorite: ,Bernard Tomic, 3588868   size:20.64,Price: ,1.33,Jan-Lennard Struff, 8259098   size:10.17,Price: ,3.95,okok
1.119111519, Sport: ,Tennis, Time: ,Tue Jun 09 14:15:00 CEST 2015, Time: ,Tue Jun 09 14:15:00 CEST 2015, Event: ,J Melzer v K De Schepper, Favorite: ,Jurgen Melzer, 2256472   size:91.83,Price: ,1.82,Kenny De Schepper, 5617034   size:67.0,Price: ,2.1,okok
1.119053425, Sport: ,Baseball, Time: ,Wed Jun 10 04:10:00 CEST 2015, Time: ,Wed Jun 10 04:10:00 CEST 2015, Event: ,ARI @ LAD, Favorite: ,LA Dodgers (C Frias), 8819960   size:467.0,Price: ,1.63,Arizona (R Ray), 9458902   size:110.04,Price: ,2.46,okok
1.119117113, Sport: ,Basketball, Time: ,Tue Jun 09 19:00:00 CEST 2015, Time: ,Tue Jun 09 19:00:00 CEST 2015, Event: ,Anadolu Efes v Pinar Karsiyaka, Favorite: ,Anadolu Efes, 5832279   size:9.45,Price: ,1.28,Pinar Karsiyaka, 631283   size:2.55,Price: ,3.95,okok
1.119100999, Sport: ,Tennis, Time: ,Tue Jun 09 12:45:00 CEST 2015, Time: ,Tue Jun 09 12:45:00 CEST 2015, Event: ,Fratangelo v Garin, Favorite: ,Bjorn Fratangelo, 7593723   size:9.83,Price: ,1.55,Christian Garin, 6670624   size:2.55,Price: ,2.62,okok
