1.122753462, Sport: ,Tennis, Time: ,Tue Jan 26 13:00:00 CET 2016, Time: ,Tue Jan 26 13:00:00 CET 2016, Event: ,Romina Oprandi v Myrtille Georges, Favorite: ,Romina Oprandi, 2256455   size:6.14,Price: ,1.09,Myrtille Georges, 7283251   size:6.14,Price: ,1.09,x
1.122737890, Sport: ,Soccer, Time: ,Tue Jan 26 10:30:00 CET 2016, Time: ,Tue Jan 26 10:30:00 CET 2016, Event: ,PVF U19 v TP Ho Chi Minh FC U19, Favorite: ,PVF U19, 9145443   size:2.54,Price: ,1.41,TP Ho Chi Minh FC U19, 8286326   size:2.0,Price: ,6.4,The Draw, 58805   size:2.54,Price: ,4.1,ok
1.122730101, Sport: ,Soccer, Time: ,Tue Jan 26 17:00:00 CET 2016, Time: ,Tue Jan 26 17:00:00 CET 2016, Event: ,Nacional v Oriental, Favorite: ,Nacional, 203723   size:227.69,Price: ,1.52,Oriental, 970435   size:10.92,Price: ,7.2,The Draw, 58805   size:5.9,Price: ,4.4,ok
1.122753587, Sport: ,Tennis, Time: ,Tue Jan 26 10:30:00 CET 2016, Time: ,Tue Jan 26 10:30:00 CET 2016, Event: ,Doga Selen Takunyaci v Sofia Dmitrieva, Favorite: ,Doga Selen Takunyaci, 10756031   size:9.21,Price: ,1.06,Sofia Dmitrieva, 9628742   size:9.21,Price: ,1.06,x
1.122753589, Sport: ,Tennis, Time: ,Tue Jan 26 09:00:00 CET 2016, Time: ,Tue Jan 26 09:00:00 CET 2016, Event: ,Karoline Kurz v Aleksandra Draganova, Favorite: ,Karoline Kurz, 9628772   size:9.21,Price: ,1.06,Aleksandra Draganova, 10350358   size:9.21,Price: ,1.06,ok
1.122753588, Sport: ,Tennis, Time: ,Tue Jan 26 09:00:00 CET 2016, Time: ,Tue Jan 26 09:00:00 CET 2016, Event: ,Ioana Loredana Rosca v Viktoria Kuzmova, Favorite: ,Ioana Loredana Rosca, 8679185   size:9.21,Price: ,1.06,Viktoria Kuzmova, 9342449   size:9.21,Price: ,1.06,x
1.122731310, Sport: ,Basketball, Time: ,Tue Jan 26 01:05:00 CET 2016, Time: ,Tue Jan 26 01:05:00 CET 2016, Event: ,Boston Celtics @ Washington Wizards, Favorite: ,Washington Wizards, 237485   size:188.1,Price: ,1.7,Boston Celtics, 60427   size:108.0,Price: ,2.34,x
1.122730506, Sport: ,Ice Hockey, Time: ,Tue Jan 26 17:30:00 CET 2016, Time: ,Tue Jan 26 17:30:00 CET 2016, Event: ,SaiPa Lappeenranta v Pelicans Lahti, Favorite: ,SaiPa Lappeenranta, 292307   size:103.0,Price: ,1.82,Pelicans Lahti, 9122536   size:98.0,Price: ,3.7,Tie, 60104   size:103.0,Price: ,4.5,x
1.122724650, Sport: ,Soccer, Time: ,Tue Jan 26 02:40:00 CET 2016, Time: ,Tue Jan 26 02:40:00 CET 2016, Event: ,Harbour View FC v UWI FC, Favorite: ,Harbour View FC, 7688378   size:24.0,Price: ,1.98,UWI FC, 8115116   size:5.17,Price: ,4.1,The Draw, 58805   size:6.43,Price: ,3.2,ok
1.122661708, Sport: ,Soccer, Time: ,Tue Jan 26 20:45:00 CET 2016, Time: ,Tue Jan 26 20:45:00 CET 2016, Event: ,Leyton Orient v Newport County, Favorite: ,Leyton Orient, 69717   size:529.01,Price: ,1.86,Newport County, 62623   size:108.53,Price: ,4.6,The Draw, 58805   size:57.05,Price: ,3.85,ok
1.122731318, Sport: ,Basketball, Time: ,Tue Jan 26 04:05:00 CET 2016, Time: ,Tue Jan 26 04:05:00 CET 2016, Event: ,Charlotte Hornets @ Sacramento Kings, Favorite: ,Sacramento Kings, 237470   size:403.6,Price: ,1.34,Charlotte Hornets, 8622709   size:79.97,Price: ,3.75,x
1.122740430, Sport: ,Tennis, Time: ,Tue Jan 26 18:00:00 CET 2016, Time: ,Tue Jan 26 18:00:00 CET 2016, Event: ,Estrella Burgos v De Greef, Favorite: ,Victor Estrella Burgos, 7430580   size:4.64,Price: ,1.49,Arthur De Greef, 7287672   size:84.77,Price: ,2.56,ok
