1.122614152, Sport: ,Volleyball, Time: ,Sun Jan 17 14:45:00 CET 2016, Time: ,Sun Jan 17 14:45:00 CET 2016, Event: ,Effector Kielce v Jastrzebski Wegiel, Favorite: ,Jastrzebski Wegiel, 4263016   size:7.25,Price: ,1.64,Effector Kielce, 6723748   size:7.67,Price: ,2.28,ok
1.122510819, Sport: ,Soccer, Time: ,Sun Jan 17 00:00:00 CET 2016, Time: ,Sun Jan 17 00:00:00 CET 2016, Event: ,FC Juarez v Mineros de Zacatecas, Favorite: ,FC Juarez, 10002706   size:25.67,Price: ,1.99,Mineros de Zacatecas, 8692849   size:3.8,Price: ,3.9,The Draw, 58805   size:2.06,Price: ,3.5,x
1.122614153, Sport: ,Volleyball, Time: ,Sun Jan 17 06:00:00 CET 2016, Time: ,Sun Jan 17 06:00:00 CET 2016, Event: ,KB Star Insurance v Deajeon Bluefangs, Favorite: ,Deajeon Bluefangs, 10389009   size:7.0,Price: ,1.27,KB Star Insurance, 10411665   size:3.48,Price: ,3.65,ok
1.122624073, Sport: ,Soccer, Time: ,Sun Jan 17 11:00:00 CET 2016, Time: ,Sun Jan 17 11:00:00 CET 2016, Event: ,Valencia (W) v Collerense (W), Favorite: ,Valencia (W), 5226526   size:73.16,Price: ,1.07,Collerense (W), 5878667   size:4.49,Price: ,15.5,The Draw, 58805   size:11.25,Price: ,6.8,ok
1.122624871, Sport: ,Soccer, Time: ,Sun Jan 17 18:30:00 CET 2016, Time: ,Sun Jan 17 18:30:00 CET 2016, Event: ,CD Arnedo v CD Calahorra, Favorite: ,CD Calahorra, 7295866   size:4.18,Price: ,1.07,CD Arnedo, 7708971   size:35.62,Price: ,23.0,The Draw, 58805   size:40.42,Price: ,9.4,ok
1.122600787, Sport: ,Soccer, Time: ,Sun Jan 17 02:00:00 CET 2016, Time: ,Sun Jan 17 02:00:00 CET 2016, Event: ,Vida v CD Real Sociedad, Favorite: ,Vida, 8369517   size:3.48,Price: ,2.2,CD Real Sociedad, 9321002   size:2.43,Price: ,3.05,The Draw, 58805   size:2.66,Price: ,3.0,ok
1.122626139, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,La Baneza FC v CD Cebrerena, Favorite: ,La Baneza FC, 8077014   size:130.71,Price: ,1.25,CD Cebrerena, 8479497   size:32.65,Price: ,7.8,The Draw, 58805   size:32.74,Price: ,4.2,ok
1.122520304, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Sporting Goa v DSK Shivajians, Favorite: ,Sporting Goa, 5969463   size:2.55,Price: ,1.94,DSK Shivajians, 10699959   size:2.55,Price: ,3.35,The Draw, 58805   size:2.55,Price: ,3.15,x
1.122522601, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Leganes v Mirandes, Favorite: ,Leganes, 309109   size:44.17,Price: ,1.99,Mirandes, 565024   size:4.97,Price: ,5.0,The Draw, 58805   size:61.77,Price: ,3.25,ok
1.122634445, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Fuente de Cantos v Deportivo Pacense, Favorite: ,Fuente de Cantos, 10622039   size:27.48,Price: ,1.02,Deportivo Pacense, 10622036   size:27.48,Price: ,1.02,The Draw, 58805   size:2.61,Price: ,1.25,x
1.122634567, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Manzanares CF v CD Pedroneras, Favorite: ,Manzanares CF, 9127864   size:27.48,Price: ,1.02,CD Pedroneras, 8517232   size:27.48,Price: ,1.02,The Draw, 58805   size:6.11,Price: ,1.09,x
1.122596866, Sport: ,Handball, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,Belarus v Iceland, Favorite: ,Iceland, 624111   size:87.16,Price: ,1.23,Belarus, 626084   size:5.68,Price: ,5.4,Draw, 330157   size:36.27,Price: ,10.0,x
1.122511017, Sport: ,Soccer, Time: ,Sun Jan 17 04:00:00 CET 2016, Time: ,Sun Jan 17 04:00:00 CET 2016, Event: ,Dorados v Tijuana, Favorite: ,Dorados, 6119455   size:8.15,Price: ,2.74,Tijuana, 5687741   size:31.83,Price: ,2.82,The Draw, 58805   size:28.77,Price: ,3.4,x
