1.122102965, Sport: ,Volleyball, Time: ,Wed Dec 02 18:00:00 CET 2015, Time: ,Wed Dec 02 18:00:00 CET 2015, Event: ,Polski Cukier Muszynian v Aluprof Bielsko-Biala, Favorite: ,Aluprof Bielsko-Biala, 10399381   size:2.54,Price: ,1.31,Polski Cukier Muszynian, 10399354   size:2.54,Price: ,1.33,x
1.122089786, Sport: ,Soccer, Time: ,Wed Dec 02 21:00:00 CET 2015, Time: ,Wed Dec 02 21:00:00 CET 2015, Event: ,Universitario San Luis v Club Union Aconquija, Favorite: ,Universitario San Luis, 8389982   size:79.81,Price: ,1.11,Club Union Aconquija, 9930329   size:79.81,Price: ,1.11,The Draw, 58805   size:17.03,Price: ,3.15,x
1.122091864, Sport: ,Soccer, Time: ,Wed Dec 02 20:45:00 CET 2015, Time: ,Wed Dec 02 20:45:00 CET 2015, Event: ,Glenavon (Res) v Glentoran (res), Favorite: ,Glentoran (res), 8983804   size:89.5,Price: ,1.9,Glenavon (Res), 8288759   size:75.37,Price: ,2.24,The Draw, 58805   size:35.8,Price: ,4.8,x
1.122102967, Sport: ,Volleyball, Time: ,Wed Dec 02 18:00:00 CET 2015, Time: ,Wed Dec 02 18:00:00 CET 2015, Event: ,Tauron Dabrowa Gornicza v Siodemka Legionovia Leg, Favorite: ,Tauron Dabrowa Gornicza, 10399380   size:2.83,Price: ,1.03,Siodemka Legionovia Leg, 9100524   size:6.12,Price: ,1.16,ok
1.121990385, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Dinamo Minsk v Sibir, Favorite: ,Dinamo Minsk, 3312412   size:67.99,Price: ,2.44,Sibir, 2285014   size:57.0,Price: ,2.58,Tie, 60104   size:69.0,Price: ,4.0,x
1.122102962, Sport: ,Volleyball, Time: ,Wed Dec 02 18:00:00 CET 2015, Time: ,Wed Dec 02 18:00:00 CET 2015, Event: ,KS Palac Bydgoszcz v Developres Rzeszow, Favorite: ,KS Palac Bydgoszcz, 5894416   size:2.54,Price: ,1.29,Developres Rzeszow, 8885752   size:2.54,Price: ,1.3,ok
1.121996369, Sport: ,Soccer, Time: ,Wed Dec 02 14:00:00 CET 2015, Time: ,Wed Dec 02 14:00:00 CET 2015, Event: ,Larissa v Xanthi, Favorite: ,Larissa, 1043626   size:181.87,Price: ,2.48,Xanthi, 728086   size:4.8,Price: ,2.88,The Draw, 58805   size:2.12,Price: ,3.85,ok
1.122091509, Sport: ,Soccer, Time: ,Wed Dec 02 20:45:00 CET 2015, Time: ,Wed Dec 02 20:45:00 CET 2015, Event: ,North Leigh FC v Burnham FC, Favorite: ,North Leigh FC, 8142721   size:2.87,Price: ,1.74,Burnham FC, 8784720   size:2.72,Price: ,3.75,The Draw, 58805   size:2.72,Price: ,3.9,ok
1.122070802, Sport: ,Basketball, Time: ,Wed Dec 02 18:00:00 CET 2015, Time: ,Wed Dec 02 18:00:00 CET 2015, Event: ,Zenit St Petersburg v Szolnoki Olaj, Favorite: ,Zenit St Petersburg, 8889521   size:4.41,Price: ,1.14,Szolnoki Olaj, 5957089   size:2.0,Price: ,6.6,ok
1.121993097, Sport: ,Soccer, Time: ,Wed Dec 02 21:00:00 CET 2015, Time: ,Wed Dec 02 21:00:00 CET 2015, Event: ,Lille v St Etienne, Favorite: ,Lille, 44790   size:21.83,Price: ,2.62,St Etienne, 309689   size:4.61,Price: ,3.3,The Draw, 58805   size:1340.44,Price: ,3.15,ok
1.121984827, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Blues v Pelicans, Favorite: ,Pelicans, 66425   size:93.0,Price: ,2.48,Blues, 66804   size:11.0,Price: ,2.6,Tie, 60104   size:53.0,Price: ,4.2,ok
1.122076113, Sport: ,Basketball, Time: ,Wed Dec 02 11:00:00 CET 2015, Time: ,Wed Dec 02 11:00:00 CET 2015, Event: ,KDB Life Winnus v KB Stars, Favorite: ,KB Stars, 6739926   size:167.0,Price: ,1.45,KDB Life Winnus, 5166575   size:41.0,Price: ,2.82,ok
1.121990380, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,Torpedo v Metallurg Nk, Favorite: ,Torpedo, 2484355   size:22.0,Price: ,1.6,Metallurg Nk, 3599244   size:61.0,Price: ,5.0,Tie, 60104   size:55.34,Price: ,4.8,x
1.122006401, Sport: ,Handball, Time: ,Wed Dec 02 20:00:00 CET 2015, Time: ,Wed Dec 02 20:00:00 CET 2015, Event: ,Aix v Chartres, Favorite: ,Aix, 6721925   size:2.83,Price: ,1.03,Chartres, 10169935   size:7.26,Price: ,1.24,Draw, 330157   size:7.26,Price: ,1.24,ok
1.122093498, Sport: ,Cricket, Time: ,Thu Dec 03 04:00:00 CET 2015, Time: ,Thu Dec 03 04:00:00 CET 2015, Event: ,Netherlands (W) v Papua New Guinea (W), Favorite: ,Netherlands (W), 10553013   size:1277.28,Price: ,1.04,Papua New Guinea (W), 10553014   size:1277.28,Price: ,1.04,x
1.122006404, Sport: ,Handball, Time: ,Wed Dec 02 20:00:00 CET 2015, Time: ,Wed Dec 02 20:00:00 CET 2015, Event: ,Ivry v Dunkerque, Favorite: ,Ivry, 4292473   size:18.0,Price: ,1.04,Dunkerque, 3786987   size:18.0,Price: ,1.04,Draw, 330157   size:18.0,Price: ,1.23,x
1.122006403, Sport: ,Handball, Time: ,Wed Dec 02 20:00:00 CET 2015, Time: ,Wed Dec 02 20:00:00 CET 2015, Event: ,Paris Saint German v Cesson Rennes, Favorite: ,Paris Saint German, 8835235   size:2.83,Price: ,1.03,Cesson Rennes, 6721923   size:6.12,Price: ,1.12,Draw, 330157   size:6.12,Price: ,1.12,ok
1.122058631, Sport: ,Ice Hockey, Time: ,Thu Dec 03 02:05:00 CET 2015, Time: ,Thu Dec 03 02:05:00 CET 2015, Event: ,NY Rangers @ NY Islanders, Favorite: ,NY Islanders, 60105   size:2.79,Price: ,2.36,NY Rangers, 60103   size:2.63,Price: ,2.5,Tie, 60104   size:7.95,Price: ,3.55,x
1.122092029, Sport: ,Soccer, Time: ,Wed Dec 02 21:00:00 CET 2015, Time: ,Wed Dec 02 21:00:00 CET 2015, Event: ,Nairn County v Wick Academy FC, Favorite: ,Nairn County, 6684881   size:6.9,Price: ,1.06,Wick Academy FC, 10580324   size:6.9,Price: ,1.06,The Draw, 58805   size:19.86,Price: ,3.1,x
