1.122115909, Sport: ,Soccer, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Twente (W) v ADO Den Haag (W), Favorite: ,Twente (W), 5272256   size:2.7,Price: ,1.12,ADO Den Haag (W), 5291062   size:2.72,Price: ,9.0,The Draw, 58805   size:2.72,Price: ,5.9,ok
1.122113737, Sport: ,Basketball, Time: ,Fri Dec 04 23:05:00 CET 2015, Time: ,Fri Dec 04 23:05:00 CET 2015, Event: ,Caxias do Sul v Sorocabana, Favorite: ,Caxias do Sul, 10484471   size:2.76,Price: ,1.03,Sorocabana, 8948842   size:2.76,Price: ,1.03,ok
1.122113614, Sport: ,Basketball, Time: ,Sat Dec 05 01:05:00 CET 2015, Time: ,Sat Dec 05 01:05:00 CET 2015, Event: ,Brooklyn @ New York, Favorite: ,New York, 13106   size:2.55,Price: ,1.34,Brooklyn, 6758557   size:5.94,Price: ,2.04,ok
1.122113735, Sport: ,Basketball, Time: ,Fri Dec 04 19:00:00 CET 2015, Time: ,Fri Dec 04 19:00:00 CET 2015, Event: ,Kapfenberg v Furstenfeld, Favorite: ,Kapfenberg, 7036688   size:2.76,Price: ,1.03,Furstenfeld, 7036686   size:2.76,Price: ,1.03,x
1.122113736, Sport: ,Basketball, Time: ,Fri Dec 04 23:00:00 CET 2015, Time: ,Fri Dec 04 23:00:00 CET 2015, Event: ,Brasilia v Mogi, Favorite: ,Brasilia, 8948838   size:2.76,Price: ,1.03,Mogi, 8948840   size:2.76,Price: ,1.03,x
1.122114144, Sport: ,Basketball, Time: ,Fri Dec 04 18:30:00 CET 2015, Time: ,Fri Dec 04 18:30:00 CET 2015, Event: ,Miskolc (W) v Valosun Brno (W), Favorite: ,Miskolc (W), 8997162   size:2.76,Price: ,1.03,Valosun Brno (W), 10462207   size:5.94,Price: ,1.34,ok
1.122115356, Sport: ,Soccer, Time: ,Fri Dec 04 12:15:00 CET 2015, Time: ,Fri Dec 04 12:15:00 CET 2015, Event: ,Maccabi Kabilio Jaffa v Hapoel Mahane Yehuda, Favorite: ,Hapoel Mahane Yehuda, 8197250   size:2.55,Price: ,2.38,Maccabi Kabilio Jaffa, 6269792   size:2.55,Price: ,2.7,The Draw, 58805   size:5.47,Price: ,3.2,x
1.122115235, Sport: ,Soccer, Time: ,Sat Dec 05 00:00:00 CET 2015, Time: ,Sat Dec 05 00:00:00 CET 2015, Event: ,Haiti U20 (W) v Panama U20 (W), Favorite: ,Haiti U20 (W), 10585749   size:6.7,Price: ,1.06,Panama U20 (W), 7103368   size:6.7,Price: ,1.06,The Draw, 58805   size:19.36,Price: ,3.1,ok
1.122117412, Sport: ,Ice Hockey, Time: ,Sat Dec 05 04:05:00 CET 2015, Time: ,Sat Dec 05 04:05:00 CET 2015, Event: ,San Jose @ Anaheim, Favorite: ,Anaheim, 60109   size:2.85,Price: ,2.24,San Jose, 2110001   size:2.45,Price: ,2.6,Tie, 60104   size:7.71,Price: ,3.55,ok
1.122092616, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,K Vantaa v Jokipojat, Favorite: ,K Vantaa, 2597484   size:5.17,Price: ,2.1,Jokipojat, 758155   size:5.94,Price: ,2.86,Tie, 60104   size:115.26,Price: ,4.0,ok
