1.120328116, Sport: ,Tennis, Time: ,Sat Aug 29 13:30:00 CEST 2015, Time: ,Sat Aug 29 13:30:00 CEST 2015, Event: ,Munoz-De La Nava v Volandri, Favorite: ,Daniel Munoz-de la Nava, 8259000   size:189.24,Price: ,1.69,Filippo Volandri, 2256483   size:2.93,Price: ,2.34,
1.120223438, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,SV Rodinghausen v Viktoria Koln, Favorite: ,Viktoria Koln, 6542379   size:2.23,Price: ,2.24,SV Rodinghausen, 7408853   size:15.77,Price: ,3.4,The Draw, 58805   size:5.0,Price: ,3.55,
1.120147115, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,Metz v Evian TG, Favorite: ,Metz, 44795   size:27.02,Price: ,1.89,The Draw, 58805   size:180.44,Price: ,3.35,Evian TG, 4864973   size:10.31,Price: ,5.5,
1.120143466, Sport: ,Soccer, Time: ,Sat Aug 29 14:00:00 CEST 2015, Time: ,Sat Aug 29 14:00:00 CEST 2015, Event: ,Solleftea v IFK Ostersund, Favorite: ,Solleftea, 6415350   size:4.33,Price: ,1.98,IFK Ostersund, 501183   size:3.62,Price: ,2.36,The Draw, 58805   size:2.71,Price: ,3.15,
1.120301664, Sport: ,Volleyball, Time: ,Sat Aug 29 14:30:00 CEST 2015, Time: ,Sat Aug 29 14:30:00 CEST 2015, Event: ,Iran v Egypt, Favorite: ,Iran, 2175257   size:29.96,Price: ,1.01,Egypt, 1185654   size:3.13,Price: ,1.03,
1.120217045, Sport: ,Rugby Union, Time: ,Sat Aug 29 14:45:00 CEST 2015, Time: ,Sat Aug 29 14:45:00 CEST 2015, Event: ,Agen v Toulouse, Favorite: ,Toulouse, 52259   size:2.67,Price: ,1.87,Agen, 690999   size:2.27,Price: ,2.2,Draw, 246289   size:3.21,Price: ,20.0,
1.120143540, Sport: ,Soccer, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Kristianstads v Oskarshamns AIK, Favorite: ,Kristianstads, 384100   size:2.77,Price: ,2.26,Oskarshamns AIK, 778920   size:40.39,Price: ,3.15,The Draw, 58805   size:6.73,Price: ,3.8,
1.120143378, Sport: ,Soccer, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Kvarnsvedens v Gamla Upsala, Favorite: ,Gamla Upsala, 788772   size:2.5,Price: ,2.0,Kvarnsvedens, 7179558   size:2.67,Price: ,2.54,The Draw, 58805   size:2.64,Price: ,3.25,
1.120143542, Sport: ,Soccer, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Qviding v Orgryte, Favorite: ,Orgryte, 30686   size:56.43,Price: ,1.78,The Draw, 58805   size:4.35,Price: ,3.85,Qviding, 384101   size:2.55,Price: ,4.8,
1.120231292, Sport: ,Ice Hockey, Time: ,Sat Aug 29 15:00:00 CEST 2015, Time: ,Sat Aug 29 15:00:00 CEST 2015, Event: ,Jokerit v CSKA, Favorite: ,CSKA, 2240050   size:22.0,Price: ,2.32,Jokerit, 66263   size:22.22,Price: ,2.94,Tie, 60104   size:24.0,Price: ,4.1,
1.120143760, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Newtown v Haverfordwest, Favorite: ,Newtown, 3667299   size:5.05,Price: ,1.59,The Draw, 58805   size:2.73,Price: ,4.2,Haverfordwest, 866240   size:2.73,Price: ,5.1,
1.120143756, Sport: ,Soccer, Time: ,Sat Aug 29 15:30:00 CEST 2015, Time: ,Sat Aug 29 15:30:00 CEST 2015, Event: ,Bangor City v Port Talbot, Favorite: ,Bangor City, 198751   size:13.76,Price: ,1.94,Port Talbot, 3667308   size:2.73,Price: ,3.25,The Draw, 58805   size:2.73,Price: ,3.9,
1.120143388, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Sollentuna FF v Enskede, Favorite: ,Sollentuna FF, 8438639   size:14.78,Price: ,1.99,Enskede, 788771   size:14.46,Price: ,2.42,The Draw, 58805   size:13.05,Price: ,3.35,
1.120143390, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Eskilstuna City v Varmdo IF, Favorite: ,Eskilstuna City, 6163989   size:2.0,Price: ,1.8,Varmdo IF, 4638397   size:3.34,Price: ,2.94,The Draw, 58805   size:2.98,Price: ,3.3,
1.120146452, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Albion v Brechin, Favorite: ,Albion, 729807   size:5.0,Price: ,2.16,Brechin, 238429   size:47.1,Price: ,3.45,The Draw, 58805   size:5.0,Price: ,3.75,
1.120147207, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Zenit St Petersburg v Kryliya Sovetov, Favorite: ,Zenit St Petersburg, 197960   size:3349.27,Price: ,1.21,The Draw, 58805   size:20.63,Price: ,7.0,Kryliya Sovetov, 579339   size:11.01,Price: ,21.0,
1.120143544, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,IS Halmia v Eskilsminne, Favorite: ,IS Halmia, 804931   size:30.99,Price: ,2.14,Eskilsminne, 6415384   size:39.96,Price: ,3.15,The Draw, 58805   size:52.87,Price: ,3.85,
1.120193628, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Hoverla v Stal Dniprod, Favorite: ,Stal Dniprod, 4994305   size:12.46,Price: ,1.08,Hoverla, 7397538   size:3.9,Price: ,2.34,The Draw, 58805   size:9.49,Price: ,3.0,
1.120146942, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Queens Park v East Fife, Favorite: ,Queens Park, 729809   size:7.7,Price: ,2.48,East Fife, 674743   size:14.35,Price: ,2.9,The Draw, 58805   size:14.46,Price: ,3.75,
1.120146522, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Ayr v Forfar, Favorite: ,Ayr, 48005   size:41.83,Price: ,2.44,Forfar, 729805   size:25.98,Price: ,2.98,The Draw, 58805   size:13.94,Price: ,3.65,
1.120146802, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Annan Ath v Montrose, Favorite: ,Annan Ath, 2214928   size:2.55,Price: ,1.84,The Draw, 58805   size:7.55,Price: ,4.1,
1.120141388, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Oxford City v Weston-super-Mare, Favorite: ,Weston-super-Mare, 597722   size:18.88,Price: ,1.09,Oxford City, 3396707   size:2.53,Price: ,1.41,The Draw, 58805   size:2.73,Price: ,4.5,
1.120141295, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Margate v Dartford, Favorite: ,Margate, 42002   size:2.73,Price: ,2.5,Dartford, 3491521   size:8.6,Price: ,2.6,The Draw, 58805   size:2.16,Price: ,3.55,
1.120231313, Sport: ,Ice Hockey, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Spartak v Lada, Favorite: ,Spartak, 2773599   size:36.26,Price: ,1.91,Lada, 2484346   size:64.0,Price: ,3.7,Tie, 60104   size:51.0,Price: ,4.3,
1.120147012, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Elgin v Stirling, Favorite: ,Elgin, 615041   size:40.74,Price: ,2.02,Stirling, 729811   size:12.51,Price: ,3.75,The Draw, 58805   size:5.0,Price: ,3.85,
1.120146592, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Stenhousemuir v Cowdenbeath, Favorite: ,Stenhousemuir, 729806   size:43.46,Price: ,2.3,Cowdenbeath, 674745   size:25.39,Price: ,3.15,The Draw, 58805   size:20.44,Price: ,3.6,
1.120223327, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Greuther Furth II v Burghausen, Favorite: ,Burghausen, 196544   size:18.85,Price: ,1.98,The Draw, 58805   size:5.0,Price: ,3.65,Greuther Furth II, 9884599   size:12.91,Price: ,3.95,
1.120146280, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Airdrieonians v Peterhead, Favorite: ,Peterhead, 729810   size:35.78,Price: ,2.5,Airdrieonians, 7394884   size:78.19,Price: ,2.8,The Draw, 58805   size:76.78,Price: ,3.6,
1.120231305, Sport: ,Ice Hockey, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,SKA v Torpedo, Favorite: ,SKA, 2296808   size:95.0,Price: ,1.52,Tie, 60104   size:5.0,Price: ,5.5,Torpedo, 2484355   size:3.24,Price: ,5.9,
1.120146872, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Berwick v Arbroath, Favorite: ,Berwick, 69812   size:35.84,Price: ,1.96,Arbroath, 306045   size:5.0,Price: ,3.65,The Draw, 58805   size:7.98,Price: ,4.0,
1.120231300, Sport: ,Ice Hockey, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Lokomotiv v Ak Bars, Favorite: ,Lokomotiv, 2240051   size:105.0,Price: ,2.36,AK Bars, 2582640   size:3.98,Price: ,2.86,Tie, 60104   size:60.99,Price: ,3.85,
1.120154650, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Brentford v Reading, Favorite: ,Brentford, 78864   size:80.95,Price: ,2.34,Reading, 103122   size:70.37,Price: ,3.4,The Draw, 58805   size:868.42,Price: ,3.5,
