1.121790534, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Uni Cluj v Targoviste, Favorite: ,Uni Cluj, 2491792   size:3.71,Price: ,2.38,Targoviste, 6803067   size:5.68,Price: ,2.44,The Draw, 58805   size:4.04,Price: ,3.55,ok
1.121833629, Sport: ,Soccer, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,AC Lumezzane U19 v Bassano Virtus U19, Favorite: ,AC Lumezzane U19, 10520417   size:16.7,Price: ,1.02,Bassano Virtus U19, 9509682   size:16.7,Price: ,1.02,The Draw, 58805   size:2.82,Price: ,1.25,x
1.121673478, Sport: ,Soccer, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Bromley v Altrincham, Favorite: ,Bromley, 1282856   size:440.33,Price: ,1.83,Altrincham, 62505   size:21.83,Price: ,4.6,The Draw, 58805   size:220.71,Price: ,4.1,x
1.121821403, Sport: ,Tennis, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Ana Bogdan v Gioia Barbieri, Favorite: ,Ana Bogdan, 3875013   size:15.93,Price: ,1.36,Gioia Barbieri, 8427391   size:16.44,Price: ,3.15,x
1.121675779, Sport: ,Soccer, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,SC Wiedenbruck v Wattenscheid, Favorite: ,Wattenscheid, 498547   size:5.19,Price: ,2.64,SC Wiedenbruck, 4064040   size:41.19,Price: ,2.72,The Draw, 58805   size:34.77,Price: ,3.55,x
1.121803936, Sport: ,Soccer, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Al Yarmouk Amman v Al Teeba, Favorite: ,Al Yarmouk Amman, 5650238   size:72.73,Price: ,1.11,Al Teeba, 8875656   size:72.73,Price: ,1.11,The Draw, 58805   size:10.11,Price: ,2.88,ok
1.121766669, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Shinshu Nagano v Akita, Favorite: ,Akita, 6736955   size:3.71,Price: ,1.09,Shinshu Nagano, 6736962   size:6.03,Price: ,1.22,ok
1.121799219, Sport: ,Soccer, Time: ,Sat Nov 14 13:30:00 CET 2015, Time: ,Sat Nov 14 13:30:00 CET 2015, Event: ,Lucko v Zadar, Favorite: ,Lucko, 5611652   size:2.12,Price: ,1.45,Zadar, 497968   size:13.53,Price: ,5.1,The Draw, 58805   size:2.65,Price: ,3.5,ok
1.121803486, Sport: ,Soccer, Time: ,Sat Nov 14 13:00:00 CET 2015, Time: ,Sat Nov 14 13:00:00 CET 2015, Event: ,MTK (W) v 1. FC Fem Hellotel (W), Favorite: ,MTK (W), 7741191   size:3.71,Price: ,1.09,1. FC Fem Hellotel (W), 7797865   size:3.71,Price: ,1.09,The Draw, 58805   size:10.11,Price: ,2.88,ok
1.121791971, Sport: ,Soccer, Time: ,Sat Nov 14 12:00:00 CET 2015, Time: ,Sat Nov 14 12:00:00 CET 2015, Event: ,KKS Lech Poznan U19 v Stelmet UKP U19, Favorite: ,KKS Lech Poznan U19, 6486120   size:5.0,Price: ,1.11,Stelmet UKP U19, 7236888   size:11.13,Price: ,1.32,The Draw, 58805   size:10.11,Price: ,2.88,ok
1.121766671, Sport: ,Basketball, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Yokohama v Gunma, Favorite: ,Yokohama, 6736964   size:4.17,Price: ,1.08,Gunma, 6718630   size:6.03,Price: ,1.24,x
1.121792023, Sport: ,Soccer, Time: ,Sat Nov 14 11:00:00 CET 2015, Time: ,Sat Nov 14 11:00:00 CET 2015, Event: ,FK Senica U19 v Dunajska Streda U19, Favorite: ,FK Senica U19, 6740651   size:11.13,Price: ,1.1,Dunajska Streda U19, 10210805   size:72.73,Price: ,1.11,The Draw, 58805   size:4.33,Price: ,2.94,ok
1.121790644, Sport: ,Soccer, Time: ,Sat Nov 14 12:30:00 CET 2015, Time: ,Sat Nov 14 12:30:00 CET 2015, Event: ,CS Balotesti v Rapid Bucharest, Favorite: ,Rapid Bucharest, 6394   size:6.71,Price: ,1.61,CS Balotesti, 7161082   size:5.92,Price: ,3.65,The Draw, 58805   size:3.77,Price: ,3.5,ok
1.121793238, Sport: ,Soccer, Time: ,Sat Nov 14 14:30:00 CET 2015, Time: ,Sat Nov 14 14:30:00 CET 2015, Event: ,Chambly Thelle v Golden Star, Favorite: ,Chambly Thelle, 6063132   size:3.59,Price: ,1.42,Golden Star, 10520056   size:5.94,Price: ,5.2,The Draw, 58805   size:15.22,Price: ,3.2,ok
1.121821415, Sport: ,Tennis, Time: ,Sat Nov 14 08:10:00 CET 2015, Time: ,Sat Nov 14 08:10:00 CET 2015, Event: ,Liang/Wang v Han/Zhang, Favorite: ,Liang/Wang, 9128675   size:7.72,Price: ,1.39,Han/Zhang, 8715742   size:3.99,Price: ,2.98,ok
1.121790759, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Farul Constanta v Ceahlaul, Favorite: ,Farul Constanta, 1556985   size:2.55,Price: ,1.28,Ceahlaul, 1557295   size:35.5,Price: ,5.9,The Draw, 58805   size:6.94,Price: ,4.3,ok
1.121757775, Sport: ,Soccer, Time: ,Sat Nov 14 12:00:00 CET 2015, Time: ,Sat Nov 14 12:00:00 CET 2015, Event: ,Hirnyk v Avangard Kramatorsk, Favorite: ,Hirnyk, 7709692   size:2.55,Price: ,1.75,Avangard Kramatorsk, 6686081   size:2.55,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.4,x
1.121813721, Sport: ,Tennis, Time: ,Sat Nov 14 09:30:00 CET 2015, Time: ,Sat Nov 14 09:30:00 CET 2015, Event: ,Maia Lumsden v Viktoriya Tomova, Favorite: ,Viktoriya Tomova, 4597116   size:1060.64,Price: ,1.04,Maia Lumsden, 9628654   size:56.81,Price: ,1.46,ok
1.121742965, Sport: ,Soccer, Time: ,Sat Nov 14 13:00:00 CET 2015, Time: ,Sat Nov 14 13:00:00 CET 2015, Event: ,Rozwoj Katowice v Sandecja Nowy Sacz, Favorite: ,Rozwoj Katowice, 7568776   size:4.07,Price: ,2.68,Sandecja Nowy Sacz, 4553548   size:159.32,Price: ,2.8,The Draw, 58805   size:77.17,Price: ,3.3,ok
1.121766797, Sport: ,Basketball, Time: ,Sat Nov 14 11:00:00 CET 2015, Time: ,Sat Nov 14 11:00:00 CET 2015, Event: ,Saigon Heat v Mono Vampire Basketball, Favorite: ,Saigon Heat, 7008882   size:8.35,Price: ,1.04,Mono Vampire Basketball, 10464262   size:8.35,Price: ,1.04,ok
1.121834166, Sport: ,Tennis, Time: ,Sat Nov 14 14:00:00 CET 2015, Time: ,Sat Nov 14 14:00:00 CET 2015, Event: ,Kohen v Xiviller, Favorite: ,Alan Kohen, 8979624   size:8.35,Price: ,1.04,Nicolas Xiviller, 8999316   size:8.35,Price: ,1.04,ok
1.121754814, Sport: ,Ice Hockey, Time: ,Sat Nov 14 15:00:00 CET 2015, Time: ,Sat Nov 14 15:00:00 CET 2015, Event: ,K Vantaa v Jokipojat, Favorite: ,Tie, 60104   size:36.88,Price: ,1.16,K Vantaa, 2597484   size:100.0,Price: ,1.24,Jokipojat, 758155   size:100.0,Price: ,1.24,ok
1.121803598, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Gyori ETO FC U19 v Ferencvarosi TC U19, Favorite: ,Gyori ETO FC U19, 10180917   size:11.13,Price: ,1.1,Ferencvarosi TC U19, 6302526   size:11.13,Price: ,1.1,The Draw, 58805   size:5.98,Price: ,3.55,x
1.121791088, Sport: ,Soccer, Time: ,Sat Nov 14 10:00:00 CET 2015, Time: ,Sat Nov 14 10:00:00 CET 2015, Event: ,Soimii Pancota v Unirea Tarlungeni, Favorite: ,Soimii Pancota, 6681487   size:4.24,Price: ,1.67,Unirea Tarlungeni, 7653661   size:7.15,Price: ,3.6,The Draw, 58805   size:4.15,Price: ,3.55,x
