1.122482754, Sport: ,Tennis, Time: ,Thu Jan 07 08:00:00 CET 2016, Time: ,Thu Jan 07 08:00:00 CET 2016, Event: ,A Radwanska v Q Wang, Favorite: ,Agnieszka Radwanska, 2263577   size:14329.4,Price: ,1.05,Qiang Wang, 6145777   size:63.04,Price: ,15.5,ok
1.122485903, Sport: ,Tennis, Time: ,Thu Jan 07 05:00:00 CET 2016, Time: ,Thu Jan 07 05:00:00 CET 2016, Event: ,Kowalczyk/Marcan v Skupski/Skupski, Favorite: ,Skupski/Skupski, 7824202   size:6.02,Price: ,1.69,Kowalczyk/Marcan, 10431867   size:6.02,Price: ,1.97,ok
1.122459833, Sport: ,Basketball, Time: ,Thu Jan 07 12:00:00 CET 2016, Time: ,Thu Jan 07 12:00:00 CET 2016, Event: ,Rain or Shine v San Miguel Beermen, Favorite: ,San Miguel Beermen, 3803247   size:85.71,Price: ,1.68,Rain Or Shine, 3880438   size:2.55,Price: ,2.32,x
1.122460106, Sport: ,Soccer, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Al Ahly v El Shorta, Favorite: ,Al Ahly, 1328423   size:2.88,Price: ,1.46,El Shorta, 6021913   size:10.69,Price: ,7.0,The Draw, 58805   size:23.13,Price: ,4.9,ok
1.122480573, Sport: ,Soccer, Time: ,Thu Jan 07 22:00:00 CET 2016, Time: ,Thu Jan 07 22:00:00 CET 2016, Event: ,Uniao Mogi U20 v Flamengo U20, Favorite: ,Flamengo U20, 6006854   size:4.28,Price: ,1.13,Uniao Mogi U20, 10681267   size:32.42,Price: ,7.0,The Draw, 58805   size:41.69,Price: ,7.0,ok
1.122479389, Sport: ,Soccer, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Desportiva Alianca U20 v Sabia FC Caxias U20, Favorite: ,Desportiva Alianca U20, 10681013   size:10.06,Price: ,1.16,Sabia FC Caxias U20, 10681063   size:10.06,Price: ,1.16,The Draw, 58805   size:16.27,Price: ,2.88,x
1.122459235, Sport: ,Basketball, Time: ,Thu Jan 07 01:00:00 CET 2016, Time: ,Thu Jan 07 01:00:00 CET 2016, Event: ,Instituto Atletico Cent v Quimsa, Favorite: ,Instituto Atletico Cent, 10346458   size:3.25,Price: ,1.54,Quimsa, 6243645   size:39.22,Price: ,2.6,ok
1.122480499, Sport: ,Soccer, Time: ,Thu Jan 07 15:30:00 CET 2016, Time: ,Thu Jan 07 15:30:00 CET 2016, Event: ,Twente v Genk, Favorite: ,Genk, 14072   size:18.02,Price: ,1.17,Twente, 48446   size:2.0,Price: ,2.4,The Draw, 58805   size:10.83,Price: ,3.3,x
1.122484636, Sport: ,Tennis, Time: ,Thu Jan 07 06:45:00 CET 2016, Time: ,Thu Jan 07 06:45:00 CET 2016, Event: ,Halys v Brands, Favorite: ,Daniel Brands, 2395076   size:6.02,Price: ,1.53,Quentin Halys, 7287690   size:36.41,Price: ,2.62,ok
1.122475692, Sport: ,Volleyball, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Poland v Belgium, Favorite: ,Poland, 678742   size:2.71,Price: ,1.03,Belgium, 1216423   size:2.71,Price: ,1.03,ok
1.122407259, Sport: ,Basketball, Time: ,Thu Jan 07 03:00:00 CET 2016, Time: ,Thu Jan 07 03:00:00 CET 2016, Event: ,Texas Tech @ Iowa State, Favorite: ,Iowa State, 708779   size:972.91,Price: ,1.15,Texas Tech, 284244   size:58.61,Price: ,6.4,ok
1.122481849, Sport: ,Snooker, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Mark Selby v Mark Williams, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.72,Mark Williams, 2278795   size:2.55,Price: ,2.14,ok
1.122480351, Sport: ,Soccer, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,SC Atibaia U20 v Goiania EC Goiania U20, Favorite: ,SC Atibaia U20, 10251776   size:10.06,Price: ,1.16,Goiania EC Goiania U20, 10681109   size:10.06,Price: ,1.16,The Draw, 58805   size:16.75,Price: ,2.88,x
