1.122371587, Sport: ,Tennis, Time: ,Wed Dec 23 07:00:00 CET 2015, Time: ,Wed Dec 23 07:00:00 CET 2015, Event: ,Katarina Zavatska v Hiroko Kuwata, Favorite: ,Hiroko Kuwata, 8732124   size:361.85,Price: ,1.19,Katarina Zavatska, 9635149   size:2.55,Price: ,5.1,ok
1.122316081, Sport: ,Volleyball, Time: ,Tue Dec 22 20:30:00 CET 2015, Time: ,Tue Dec 22 20:30:00 CET 2015, Event: ,Club Italia v Casalmaggiore, Favorite: ,Casalmaggiore, 7906928   size:0.0,Price: ,0.0,Club Italia, 9020006   size:2.7,Price: ,1.03,ok
1.122371586, Sport: ,Tennis, Time: ,Wed Dec 23 05:30:00 CET 2015, Time: ,Wed Dec 23 05:30:00 CET 2015, Event: ,Jing Jing LU v Patty Schnyder, Favorite: ,Patty Schnyder, 4843506   size:3.62,Price: ,1.38,Jing Jing Lu, 10648594   size:4.16,Price: ,3.05,x
1.122295814, Sport: ,Soccer, Time: ,Tue Dec 22 20:30:00 CET 2015, Time: ,Tue Dec 22 20:30:00 CET 2015, Event: ,Avellino v Entella, Favorite: ,Avellino, 501202   size:3.65,Price: ,1.39,Entella, 4893589   size:179.1,Price: ,14.0,The Draw, 58805   size:112.95,Price: ,4.7,ok
1.122371740, Sport: ,Tennis, Time: ,Wed Dec 23 04:30:00 CET 2015, Time: ,Wed Dec 23 04:30:00 CET 2015, Event: ,Yan Wang v ZI Yang, Favorite: ,Yan Wang, 8938265   size:75.12,Price: ,1.54,Zi Yang, 10655345   size:60.54,Price: ,1.67,ok
1.122371589, Sport: ,Tennis, Time: ,Wed Dec 23 04:00:00 CET 2015, Time: ,Wed Dec 23 04:00:00 CET 2015, Event: ,Myrtille Georges v Na-Lae Han, Favorite: ,Myrtille Georges, 7283251   size:2.55,Price: ,1.51,Na-Lae Han, 8842650   size:2.55,Price: ,2.72,x
1.122093070, Sport: ,Darts, Time: ,Tue Dec 22 22:00:00 CET 2015, Time: ,Tue Dec 22 22:00:00 CET 2015, Event: ,Dave Chisnall v Rowby John Rodriguez, Favorite: ,Dave Chisnall, 3535216   size:4254.84,Price: ,1.19,Rowby John Rodriguez, 8368572   size:50.28,Price: ,6.0,ok
1.122351214, Sport: ,Soccer, Time: ,Wed Dec 23 17:45:00 CET 2015, Time: ,Wed Dec 23 17:45:00 CET 2015, Event: ,Fenerbahce v Antalyaspor, Favorite: ,Fenerbahce, 46726   size:21.06,Price: ,1.29,Antalyaspor, 113188   size:24.82,Price: ,7.4,The Draw, 58805   size:2.55,Price: ,4.4,ok
1.122355897, Sport: ,Basketball, Time: ,Wed Dec 23 18:45:00 CET 2015, Time: ,Wed Dec 23 18:45:00 CET 2015, Event: ,Trabzonspor v Usak Sportif, Favorite: ,Trabzonspor, 5048068   size:22.9,Price: ,1.42,Usak Sportif, 7756133   size:11.72,Price: ,3.05,ok
1.122307898, Sport: ,Basketball, Time: ,Wed Dec 23 05:00:00 CET 2015, Time: ,Wed Dec 23 05:00:00 CET 2015, Event: ,McNeese State @ UCLA, Favorite: ,UCLA, 697690   size:0.0,Price: ,0.0,McNeese State, 739711   size:2.1,Price: ,80.0,ok
1.122356741, Sport: ,Basketball, Time: ,Tue Dec 22 23:30:00 CET 2015, Time: ,Tue Dec 22 23:30:00 CET 2015, Event: ,Cearense v Caxias do Sul, Favorite: ,Cearense, 8948837   size:5.93,Price: ,1.13,Caxias do Sul, 10484471   size:14.46,Price: ,4.1,ok
1.122306967, Sport: ,Ice Hockey, Time: ,Wed Dec 23 19:45:00 CET 2015, Time: ,Wed Dec 23 19:45:00 CET 2015, Event: ,Lugano v Davos, Favorite: ,Lugano, 243259   size:942.78,Price: ,1.01,Davos, 243249   size:942.78,Price: ,1.01,Tie, 60104   size:945.48,Price: ,1.01,ok
1.122316087, Sport: ,Volleyball, Time: ,Tue Dec 22 20:30:00 CET 2015, Time: ,Tue Dec 22 20:30:00 CET 2015, Event: ,VB Sudtirol Bolzano v Volley Bergamo, Favorite: ,VB Sudtirol Bolzano, 10381560   size:2.7,Price: ,1.03,Volley Bergamo, 3416141   size:2.7,Price: ,1.03,x
1.122355891, Sport: ,Basketball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,Istanbul BSB v Kolejliler, Favorite: ,Kolejliler, 2720799   size:2.55,Price: ,1.8,Istanbul Bsb, 8931331   size:2.55,Price: ,2.1,x
1.122344806, Sport: ,Soccer, Time: ,Tue Dec 22 20:45:00 CET 2015, Time: ,Tue Dec 22 20:45:00 CET 2015, Event: ,Poole Town v Hitchin Town, Favorite: ,Poole Town, 5051238   size:9.2,Price: ,1.61,Hitchin Town, 4317865   size:4.13,Price: ,5.6,The Draw, 58805   size:4.31,Price: ,4.1,x
1.122316084, Sport: ,Volleyball, Time: ,Tue Dec 22 20:30:00 CET 2015, Time: ,Tue Dec 22 20:30:00 CET 2015, Event: ,Minetti Vicenza v Gorgonzola Novara, Favorite: ,Minetti Vicenza, 10381561   size:2.7,Price: ,1.03,Gorgonzola Novara, 10368510   size:2.7,Price: ,1.03,x
1.122307780, Sport: ,Basketball, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,California @ Virginia, Favorite: ,Virginia, 332651   size:4.7,Price: ,1.14,California, 352410   size:5.99,Price: ,7.0,ok
1.122360576, Sport: ,Basketball, Time: ,Wed Dec 23 18:00:00 CET 2015, Time: ,Wed Dec 23 18:00:00 CET 2015, Event: ,Neptunas v Juventus, Favorite: ,Neptunas, 5261523   size:10.24,Price: ,1.04,Juventus, 5244996   size:9.21,Price: ,1.1,ok
1.122358499, Sport: ,Soccer, Time: ,Tue Dec 22 20:45:00 CET 2015, Time: ,Tue Dec 22 20:45:00 CET 2015, Event: ,AFC Rushden & Diamonds v Egham Town FC, Favorite: ,AFC Rushden & Diamonds, 10296977   size:140.64,Price: ,1.95,Egham Town FC, 8328759   size:24.34,Price: ,3.7,The Draw, 58805   size:13.52,Price: ,3.5,x
1.122308990, Sport: ,Ice Hockey, Time: ,Wed Dec 23 01:35:00 CET 2015, Time: ,Wed Dec 23 01:35:00 CET 2015, Event: ,New Jersey @ Detroit, Favorite: ,Detroit, 975676   size:300.17,Price: ,2.04,New Jersey, 2112200   size:322.32,Price: ,3.4,Tie, 60104   size:256.51,Price: ,4.1,x
1.122360612, Sport: ,Basketball, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,PAOK v Trikala, Favorite: ,PAOK, 281533   size:485.61,Price: ,1.14,Trikala, 3315196   size:35.52,Price: ,3.05,ok
1.122307784, Sport: ,Basketball, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,UMKC @ Louisville, Favorite: ,Louisville, 332190   size:4516.74,Price: ,1.01,UMKC, 284195   size:17.63,Price: ,3.3,ok
1.122316259, Sport: ,Basketball, Time: ,Tue Dec 22 21:30:00 CET 2015, Time: ,Tue Dec 22 21:30:00 CET 2015, Event: ,Gran Canaria v Unicaja Malaga, Favorite: ,Gran Canaria, 945506   size:35.85,Price: ,1.84,Unicaja Malaga, 266279   size:9.27,Price: ,2.1,ok
1.122371729, Sport: ,Tennis, Time: ,Wed Dec 23 03:00:00 CET 2015, Time: ,Wed Dec 23 03:00:00 CET 2015, Event: ,Deria NUR Haliza v Xinyu Jiang, Favorite: ,Xinyu Jiang, 9634383   size:31.95,Price: ,1.58,Deria Nur Haliza, 10628657   size:18.62,Price: ,2.0,ok
