1.121835825, Sport: ,Soccer, Time: ,Sun Nov 15 12:00:00 CET 2015, Time: ,Sun Nov 15 12:00:00 CET 2015, Event: ,Korea Rep Uni Sel v Bangu, Favorite: ,Korea Rep Uni Sel, 6776282   size:8.75,Price: ,2.08,Bangu, 3624446   size:3.04,Price: ,2.8,The Draw, 58805   size:5.67,Price: ,3.45,x
1.121766321, Sport: ,Basketball, Time: ,Sun Nov 15 13:10:00 CET 2015, Time: ,Sun Nov 15 13:10:00 CET 2015, Event: ,Enisey v Vita Tbilisi, Favorite: ,Enisey, 5850555   size:4280.77,Price: ,1.01,Vita Tbilisi, 10369608   size:5.81,Price: ,8.2,ok
1.121829262, Sport: ,Soccer, Time: ,Sun Nov 15 12:00:00 CET 2015, Time: ,Sun Nov 15 12:00:00 CET 2015, Event: ,FK Krumkachy Minsk v Dnepr Mogilev, Favorite: ,FK Krumkachy Minsk, 9414498   size:12.87,Price: ,1.6,Dnepr Mogilev, 4814923   size:12.47,Price: ,2.1,The Draw, 58805   size:4.87,Price: ,2.92,ok
1.121822510, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Bergantinos CF v UD Barbadas-Bentraces, Favorite: ,UD Barbadas-Bentraces, 8325330   size:2.75,Price: ,1.11,Bergantinos CF, 6884141   size:2.75,Price: ,1.76,The Draw, 58805   size:2.96,Price: ,2.94,x
1.121694263, Sport: ,Soccer, Time: ,Sun Nov 15 15:00:00 CET 2015, Time: ,Sun Nov 15 15:00:00 CET 2015, Event: ,Union St Gilloise v Roeselare, Favorite: ,Union St Gilloise, 892024   size:2.72,Price: ,1.79,Roeselare, 505719   size:43.11,Price: ,4.4,The Draw, 58805   size:2.54,Price: ,3.65,x
1.121696411, Sport: ,Soccer, Time: ,Sun Nov 15 14:00:00 CET 2015, Time: ,Sun Nov 15 14:00:00 CET 2015, Event: ,Hamburg II v Luneburg, Favorite: ,Hamburg II, 5375314   size:8.27,Price: ,2.08,Luneburg, 8710317   size:105.81,Price: ,3.65,The Draw, 58805   size:4.04,Price: ,3.65,x
1.121697865, Sport: ,Soccer, Time: ,Sun Nov 15 17:00:00 CET 2015, Time: ,Sun Nov 15 17:00:00 CET 2015, Event: ,Oviedo v Gimnastic, Favorite: ,Oviedo, 21678   size:289.02,Price: ,2.14,Gimnastic, 912116   size:25.42,Price: ,4.1,The Draw, 58805   size:122.86,Price: ,3.35,ok
1.121696413, Sport: ,Soccer, Time: ,Sun Nov 15 14:00:00 CET 2015, Time: ,Sun Nov 15 14:00:00 CET 2015, Event: ,TSV Havelse v St Pauli II, Favorite: ,TSV Havelse, 5340376   size:3.12,Price: ,1.72,St Pauli II, 5801013   size:3.84,Price: ,5.3,The Draw, 58805   size:35.75,Price: ,4.1,x
1.121696656, Sport: ,Soccer, Time: ,Sun Nov 15 16:00:00 CET 2015, Time: ,Sun Nov 15 16:00:00 CET 2015, Event: ,Equatorial Guinea v Morocco, Favorite: ,Morocco, 75103   size:28.72,Price: ,1.97,Equatorial Guinea, 2110436   size:2.59,Price: ,5.0,The Draw, 58805   size:16.88,Price: ,3.4,x
1.121766325, Sport: ,Basketball, Time: ,Sun Nov 15 15:00:00 CET 2015, Time: ,Sun Nov 15 15:00:00 CET 2015, Event: ,Lokomotiv Kuban v Nizhny Novgorod, Favorite: ,Lokomotiv Kuban, 5508059   size:6.04,Price: ,1.32,Nizhny Novgorod, 5877533   size:10.97,Price: ,3.55,ok
