1.119107219, Sport: ,Tennis, Time: ,Wed Jun 10 12:30:00 CEST 2015, Time: ,Wed Jun 10 12:30:00 CEST 2015, Event: ,De Vroome/Kerkhove v Rodionova/Rodionova, Favorite: ,Rodionova/Rodionova, 2031353   size:3.75,Price: ,1.32,De Vroome/Kerkhove, 9568212   size:2.55,Price: ,3.65,ok
1.119103535, Sport: ,Tennis, Time: ,Wed Jun 10 14:30:00 CEST 2015, Time: ,Wed Jun 10 14:30:00 CEST 2015, Event: ,Seppi/Troicki v Pavic/Venus, Favorite: ,Seppi/Troicki, 6590901   size:4.29,Price: ,1.86,Pavic/Venus, 9363716   size:4.21,Price: ,1.9,x
1.119053453, Sport: ,Baseball, Time: ,Wed Jun 10 18:35:00 CEST 2015, Time: ,Wed Jun 10 18:35:00 CEST 2015, Event: ,PHI @ CIN, Favorite: ,Cincinnati (J Moscot), 9564926   size:336.0,Price: ,1.72,Philadelphia (J Williams), 8769955   size:102.57,Price: ,2.28,ok
1.118847346, Sport: ,Rugby Union, Time: ,Wed Jun 10 16:30:00 CEST 2015, Time: ,Wed Jun 10 16:30:00 CEST 2015, Event: ,Argentina U20 v Scotland U20, Favorite: ,Argentina U20, 7324018   size:6.45,Price: ,1.24,Scotland U20, 2818060   size:4.52,Price: ,4.1,Draw, 246289   size:11.0,Price: ,22.0,x
1.119113040, Sport: ,Tennis, Time: ,Wed Jun 10 15:00:00 CEST 2015, Time: ,Wed Jun 10 15:00:00 CEST 2015, Event: ,Rice v Kudla, Favorite: ,Denis Kudla, 4829260   size:8.46,Price: ,1.26,David Rice, 7366957   size:2.55,Price: ,4.2,ok
1.119117832, Sport: ,Tennis, Time: ,Wed Jun 10 12:30:00 CEST 2015, Time: ,Wed Jun 10 12:30:00 CEST 2015, Event: ,R Haase v Verdasco, Favorite: ,Fernando Verdasco, 2256480   size:3.39,Price: ,1.55,Robin Haase, 2309796   size:67.59,Price: ,2.72,x
1.119053461, Sport: ,Baseball, Time: ,Wed Jun 10 18:37:00 CEST 2015, Time: ,Wed Jun 10 18:37:00 CEST 2015, Event: ,MIA @ TOR, Favorite: ,Toronto (A Sanchez), 9391061   size:2.57,Price: ,1.64,Miami (T Koehler), 6720895   size:5.19,Price: ,2.44,x
1.119101785, Sport: ,Tennis, Time: ,Wed Jun 10 15:00:00 CEST 2015, Time: ,Wed Jun 10 15:00:00 CEST 2015, Event: ,Rojer/Tecau v Lu/Marach, Favorite: ,Rojer/Tecau, 8176467   size:7.42,Price: ,1.33,Lu/Marach, 8597195   size:2.55,Price: ,3.05,ok
1.119116699, Sport: ,Tennis, Time: ,Wed Jun 10 12:00:00 CEST 2015, Time: ,Wed Jun 10 12:00:00 CEST 2015, Event: ,Carreras v F Stephenson, Favorite: ,Amanda Carreras, 7364002   size:7.43,Price: ,1.19,Francesca Stephenson, 6437210   size:6.33,Price: ,5.3,ok
1.119118684, Sport: ,Tennis, Time: ,Wed Jun 10 11:00:00 CEST 2015, Time: ,Wed Jun 10 11:00:00 CEST 2015, Event: ,Podlipnik-Castillo v Kovalik, Favorite: ,Jozef Kovalik, 7287668   size:8.57,Price: ,1.47,Hans Podlipnik-Castillo, 8461633   size:5.78,Price: ,2.74,ok
1.119051039, Sport: ,Basketball, Time: ,Wed Jun 10 10:15:00 CEST 2015, Time: ,Wed Jun 10 10:15:00 CEST 2015, Event: ,Barako Bull Energy v Kia Sorento, Favorite: ,Barako Bull Energy, 5087272   size:7.2,Price: ,1.23,Kia Sorento, 8911706   size:35.87,Price: ,4.8,x
