1.122400026, Sport: ,Basketball, Time: ,Tue Dec 29 18:00:00 CET 2015, Time: ,Tue Dec 29 18:00:00 CET 2015, Event: ,Khimki v CSKA Moscow, Favorite: ,CSKA Moscow, 266272   size:5.91,Price: ,1.57,Khimki, 2154546   size:15.28,Price: ,2.56,x
1.122399997, Sport: ,Basketball, Time: ,Tue Dec 29 12:35:00 CET 2015, Time: ,Tue Dec 29 12:35:00 CET 2015, Event: ,Foshan v Beijing, Favorite: ,Beijing, 6254117   size:2.55,Price: ,1.16,Foshan, 8926911   size:2.55,Price: ,4.0,ok
1.122316685, Sport: ,Handball, Time: ,Tue Dec 29 20:30:00 CET 2015, Time: ,Tue Dec 29 20:30:00 CET 2015, Event: ,Lugi v Savehof, Favorite: ,Savehof, 374429   size:23.91,Price: ,1.25,Lugi, 2930210   size:5.84,Price: ,1.55,Draw, 330157   size:23.91,Price: ,1.3,ok
1.122309637, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:05:00 CET 2015, Time: ,Wed Dec 30 01:05:00 CET 2015, Event: ,NY Islanders @ Toronto, Favorite: ,NY Islanders, 60105   size:2.17,Price: ,2.3,Toronto, 2108073   size:2.0,Price: ,2.5,Tie, 60104   size:5.91,Price: ,3.95,ok
1.122376154, Sport: ,Basketball, Time: ,Wed Dec 30 02:05:00 CET 2015, Time: ,Wed Dec 30 02:05:00 CET 2015, Event: ,Miami @ Memphis, Favorite: ,Memphis, 119812   size:2.55,Price: ,1.3,Miami, 13109   size:2.55,Price: ,1.75,ok
1.122399991, Sport: ,Basketball, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Levski Sofia v Spartak Pleven, Favorite: ,Levski Sofia, 8783027   size:13.25,Price: ,1.03,Spartak Pleven, 7753535   size:13.25,Price: ,1.03,ok
1.122316681, Sport: ,Handball, Time: ,Tue Dec 29 19:16:00 CET 2015, Time: ,Tue Dec 29 19:16:00 CET 2015, Event: ,Redbergslids v Malmo, Favorite: ,Malmo, 3374028   size:2.71,Price: ,1.03,Redbergslids, 3771721   size:6.3,Price: ,1.51,Draw, 330157   size:222.0,Price: ,1.04,x
1.122204268, Sport: ,American Football, Time: ,Wed Dec 30 01:30:00 CET 2015, Time: ,Wed Dec 30 01:30:00 CET 2015, Event: ,Nevada v Colorado State, Favorite: ,Colorado State, 567121   size:2.55,Price: ,1.61,Nevada, 1339616   size:2.55,Price: ,2.36,x
1.122389218, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Timra v Hasten, Favorite: ,Hasten, 5427573   size:5.91,Price: ,1.15,Timra, 237393   size:2.06,Price: ,1.97,Tie, 60104   size:5.91,Price: ,3.75,ok
1.122369904, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Fulham v Rotherham, Favorite: ,Fulham, 56764   size:357.31,Price: ,2.08,Rotherham, 18565   size:242.36,Price: ,3.85,The Draw, 58805   size:325.02,Price: ,3.75,ok
1.122309643, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:05:00 CET 2015, Time: ,Wed Dec 30 01:05:00 CET 2015, Event: ,Carolina @ New Jersey, Favorite: ,New Jersey, 2112200   size:2.67,Price: ,2.1,Carolina, 2108027   size:2.63,Price: ,2.8,Tie, 60104   size:2.63,Price: ,3.95,ok
1.122400012, Sport: ,Basketball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,BK Stevnsgade v SISU, Favorite: ,BK Stevnsgade, 10379235   size:65.52,Price: ,1.62,Sisu, 6719078   size:94.09,Price: ,2.44,ok
1.122389215, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Bjorkloven v AIK, Favorite: ,Bjorkloven, 247108   size:5.91,Price: ,1.15,AIK, 2075196   size:2.0,Price: ,2.0,Tie, 60104   size:5.91,Price: ,3.8,x
1.122400016, Sport: ,Basketball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Naestved v Svendborg, Favorite: ,Naestved, 6719080   size:2.55,Price: ,1.34,Svendborg, 6719075   size:2.55,Price: ,3.5,ok
