1.122303974, Sport: ,Soccer, Time: ,Thu Dec 17 02:00:00 CET 2015, Time: ,Thu Dec 17 02:00:00 CET 2015, Event: ,USA (W) v China (W), Favorite: ,USA (W), 541859   size:95.0,Price: ,1.17,China (W), 541867   size:5.41,Price: ,15.5,The Draw, 58805   size:5.0,Price: ,5.4,x
1.122287484, Sport: ,Basketball, Time: ,Thu Dec 17 18:00:00 CET 2015, Time: ,Thu Dec 17 18:00:00 CET 2015, Event: ,Dynamo Moscow (W) v TTT Riga (W), Favorite: ,TTT Riga (W), 10388076   size:2.84,Price: ,1.45,Dynamo Moscow (W), 10462208   size:2.65,Price: ,1.55,x
1.122249329, Sport: ,Soccer, Time: ,Thu Dec 17 12:45:00 CET 2015, Time: ,Thu Dec 17 12:45:00 CET 2015, Event: ,1461 Trabzon v Sivas Belediyespor, Favorite: ,1461 Trabzon, 5289229   size:6.68,Price: ,1.61,Sivas Belediyespor, 6781573   size:13.23,Price: ,4.5,The Draw, 58805   size:13.3,Price: ,3.35,ok
1.122204171, Sport: ,Basketball, Time: ,Thu Dec 17 02:00:00 CET 2015, Time: ,Thu Dec 17 02:00:00 CET 2015, Event: ,Nicholls State @ SMU, Favorite: ,SMU, 723285   size:42.92,Price: ,1.01,Nicholls State, 739710   size:2.74,Price: ,1.03,ok
1.122286435, Sport: ,Basketball, Time: ,Thu Dec 17 04:35:00 CET 2015, Time: ,Thu Dec 17 04:35:00 CET 2015, Event: ,Milwaukee @ LA Clippers, Favorite: ,LA Clippers, 237489   size:1576.19,Price: ,1.14,Milwaukee, 13115   size:56.17,Price: ,7.2,ok
1.122226871, Sport: ,Snooker, Time: ,Thu Dec 17 15:30:00 CET 2015, Time: ,Thu Dec 17 15:30:00 CET 2015, Event: ,Zhou Yuelong v Zhang Yong, Favorite: ,Zhou Yuelong, 6185914   size:2.55,Price: ,1.19,Zhang Yong, 8789272   size:38.17,Price: ,4.6,ok
1.122226872, Sport: ,Snooker, Time: ,Thu Dec 17 15:30:00 CET 2015, Time: ,Thu Dec 17 15:30:00 CET 2015, Event: ,Barry Hawkins v Luke Simmonds, Favorite: ,Barry Hawkins, 2278801   size:2.55,Price: ,1.05,Luke Simmonds, 10063638   size:36.36,Price: ,9.6,ok
1.122226631, Sport: ,Snooker, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Dominic Dale v Andy Hicks, Favorite: ,Dominic Dale, 2278875   size:145.99,Price: ,1.26,Andy Hicks, 2281451   size:2.55,Price: ,3.95,x
1.122226632, Sport: ,Snooker, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Thepchaiya Un Nooh v Steven Hallworth, Favorite: ,Thepchaiya Un Nooh, 4322596   size:2.55,Price: ,1.19,Steven Hallworth, 7597037   size:38.17,Price: ,4.6,x
1.122226633, Sport: ,Snooker, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Stephen Maguire v Chris Wakelin, Favorite: ,Stephen Maguire, 2278793   size:5.11,Price: ,1.26,Chris Wakelin, 7304578   size:2.55,Price: ,3.65,ok
1.122226634, Sport: ,Snooker, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Andrew Higginson v Joe OConnor, Favorite: ,Andrew Higginson, 2278819   size:2.55,Price: ,1.17,Joe OConnor, 9024084   size:38.17,Price: ,4.6,ok
1.122209911, Sport: ,Soccer, Time: ,Thu Dec 17 14:00:00 CET 2015, Time: ,Thu Dec 17 14:00:00 CET 2015, Event: ,Haras El Hodood v Zamalek, Favorite: ,Zamalek, 5174134   size:45.14,Price: ,1.23,Haras El Hodood, 5168506   size:2.28,Price: ,9.6,The Draw, 58805   size:2.55,Price: ,4.7,ok
1.122214130, Sport: ,Soccer, Time: ,Thu Dec 17 18:30:00 CET 2015, Time: ,Thu Dec 17 18:30:00 CET 2015, Event: ,Panelefsiniakos v Xanthi, Favorite: ,Xanthi, 728086   size:12.55,Price: ,1.35,Panelefsiniakos, 10309707   size:10.0,Price: ,6.8,The Draw, 58805   size:23.4,Price: ,4.8,ok
1.122274993, Sport: ,Rugby Union, Time: ,Thu Dec 17 20:45:00 CET 2015, Time: ,Thu Dec 17 20:45:00 CET 2015, Event: ,Montpellier v Cardiff, Favorite: ,Montpellier, 632441   size:2.68,Price: ,1.17,Cardiff, 8880   size:2.68,Price: ,5.0,Draw, 246289   size:6.8,Price: ,23.0,ok
1.122299877, Sport: ,Soccer, Time: ,Thu Dec 17 17:00:00 CET 2015, Time: ,Thu Dec 17 17:00:00 CET 2015, Event: ,MC Alger v USM Oran, Favorite: ,MC Alger, 5177434   size:2.57,Price: ,1.17,USM Oran, 9074148   size:16.49,Price: ,9.8,The Draw, 58805   size:30.23,Price: ,5.5,ok
1.122294617, Sport: ,Basketball, Time: ,Thu Dec 17 19:00:00 CET 2015, Time: ,Thu Dec 17 19:00:00 CET 2015, Event: ,SISU v Hoersholm, Favorite: ,Hoersholm, 6719077   size:3.38,Price: ,1.25,Sisu, 6719078   size:2.11,Price: ,2.0,ok
1.122214014, Sport: ,Soccer, Time: ,Thu Dec 17 19:30:00 CET 2015, Time: ,Thu Dec 17 19:30:00 CET 2015, Event: ,Viitorul Constanta v Steaua Bucharest, Favorite: ,Steaua Bucharest, 489080   size:25.19,Price: ,2.66,Viitorul Constanta, 5431165   size:2.74,Price: ,3.0,The Draw, 58805   size:43.27,Price: ,3.35,ok
1.122291505, Sport: ,Soccer, Time: ,Thu Dec 17 00:00:00 CET 2015, Time: ,Thu Dec 17 00:00:00 CET 2015, Event: ,Five Islands FC v Empire FC, Favorite: ,Empire FC, 10454839   size:2.0,Price: ,1.37,Five Islands FC, 8870555   size:5.0,Price: ,5.7,The Draw, 58805   size:11.87,Price: ,4.1,x
1.122286449, Sport: ,Basketball, Time: ,Thu Dec 17 01:35:00 CET 2015, Time: ,Thu Dec 17 01:35:00 CET 2015, Event: ,Miami @ Brooklyn, Favorite: ,Miami, 13109   size:164.59,Price: ,1.57,Brooklyn, 6758557   size:97.04,Price: ,2.72,ok
1.122230605, Sport: ,Snooker, Time: ,Thu Dec 17 20:00:00 CET 2015, Time: ,Thu Dec 17 20:00:00 CET 2015, Event: ,Gerard Greene v Nigel Bond, Favorite: ,Gerard Greene, 2278864   size:16.26,Price: ,1.56,Nigel Bond, 2278814   size:2.55,Price: ,2.62,x
1.122228377, Sport: ,Snooker, Time: ,Thu Dec 17 20:00:00 CET 2015, Time: ,Thu Dec 17 20:00:00 CET 2015, Event: ,Ali Carter v Barry Pinches, Favorite: ,Ali Carter, 2278802   size:2.55,Price: ,1.15,Barry Pinches, 2278860   size:2.55,Price: ,5.4,ok
1.122299486, Sport: ,Soccer, Time: ,Thu Dec 17 20:45:00 CET 2015, Time: ,Thu Dec 17 20:45:00 CET 2015, Event: ,Ciudad Rodrigo CF v Club Rapido de Bouzas, Favorite: ,Ciudad Rodrigo CF, 10185166   size:44.91,Price: ,1.18,CLub Rapido de Bouzas, 7592360   size:44.91,Price: ,1.18,The Draw, 58805   size:3.66,Price: ,2.9,ok
1.122274987, Sport: ,Rugby Union, Time: ,Thu Dec 17 20:45:00 CET 2015, Time: ,Thu Dec 17 20:45:00 CET 2015, Event: ,Gloucester v Worcester, Favorite: ,Gloucester, 168   size:2.64,Price: ,1.06,Worcester, 283308   size:2.64,Price: ,9.4,Draw, 246289   size:4.12,Price: ,55.0,ok
1.122294631, Sport: ,Basketball, Time: ,Thu Dec 17 16:00:00 CET 2015, Time: ,Thu Dec 17 16:00:00 CET 2015, Event: ,Spartak MR (W) v Piestanske Cajky (W), Favorite: ,Spartak MR (W), 8978715   size:4.51,Price: ,1.06,Piestanske Cajky (W), 10462196   size:6.93,Price: ,1.24,ok
1.122299767, Sport: ,Soccer, Time: ,Thu Dec 17 19:00:00 CET 2015, Time: ,Thu Dec 17 19:00:00 CET 2015, Event: ,Maccabi Holon FC (W) v Bnot Sahnin (W), Favorite: ,Maccabi Holon FC (W), 6921676   size:11.06,Price: ,1.13,Bnot Sahnin (W), 6921649   size:11.06,Price: ,1.13,The Draw, 58805   size:3.66,Price: ,2.9,ok
1.122114716, Sport: ,Darts, Time: ,Thu Dec 17 20:10:00 CET 2015, Time: ,Thu Dec 17 20:10:00 CET 2015, Event: ,Andy Boulton v Per Laursen, Favorite: ,Andy Boulton, 2717137   size:365.23,Price: ,1.57,Per Laursen, 2676648   size:19.98,Price: ,2.74,ok
