1.120996375, Sport: ,Soccer, Time: ,Sun Oct 04 20:30:00 CEST 2015, Time: ,Sun Oct 04 20:30:00 CEST 2015, Event: ,Club Atletico Talleres v Club Lujan, Favorite: ,The Draw, 58805   size:14.3,Price: ,2.18,Club Atletico Talleres, 9619493   size:2.05,Price: ,2.44,Club Lujan, 9670720   size:6.97,Price: ,2.22,x
1.121061811, Sport: ,Tennis, Time: ,Sun Oct 04 09:30:00 CEST 2015, Time: ,Sun Oct 04 09:30:00 CEST 2015, Event: ,Halep v Arruabarrena, Favorite: ,Simona Halep, 4625563   size:8707.1,Price: ,1.07,Lara Arruabarrena, 7137471   size:125.58,Price: ,11.5,x
1.120983586, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Burgos v Tudelano, Favorite: ,Burgos, 968180   size:4.22,Price: ,1.68,Tudelano, 4923754   size:6.64,Price: ,5.9,The Draw, 58805   size:2.55,Price: ,3.75,x
1.120941822, Sport: ,Soccer, Time: ,Sun Oct 04 11:00:00 CEST 2015, Time: ,Sun Oct 04 11:00:00 CEST 2015, Event: ,Preussen Munster U19 v Leverkusen U19, Favorite: ,Leverkusen U19, 7653282   size:4.84,Price: ,1.71,Preussen Munster U19, 6275209   size:2.55,Price: ,2.9,The Draw, 58805   size:2.55,Price: ,3.5,ok
1.120983589, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Pena Sport FC v Arandina CF, Favorite: ,Pena Sport FC, 9310977   size:23.84,Price: ,2.42,Arandina CF, 9320411   size:2.55,Price: ,3.05,The Draw, 58805   size:2.55,Price: ,3.4,x
1.120983625, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Pobla de Mafumet CF v Huracan CF, Favorite: ,Huracan CF, 5759749   size:4.3,Price: ,2.52,Pobla de Mafumet CF, 9359728   size:18.58,Price: ,2.98,The Draw, 58805   size:17.13,Price: ,3.15,ok
1.120943512, Sport: ,Soccer, Time: ,Sun Oct 04 13:00:00 CEST 2015, Time: ,Sun Oct 04 13:00:00 CEST 2015, Event: ,Man City U21 v Leicester U21, Favorite: ,Man City U21, 6584787   size:2.77,Price: ,1.09,Leicester U21, 6843888   size:5.79,Price: ,1.26,The Draw, 58805   size:5.79,Price: ,1.26,x
1.121036371, Sport: ,Tennis, Time: ,Sun Oct 04 07:00:00 CEST 2015, Time: ,Sun Oct 04 07:00:00 CEST 2015, Event: ,Berdych v Robredo, Favorite: ,Tomas Berdych, 2256470   size:5945.8,Price: ,1.26,Tommy Robredo, 2257298   size:103.89,Price: ,4.7,ok
1.120916473, Sport: ,Soccer, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Brondby v Esbjerg, Favorite: ,Brondby, 28223   size:746.28,Price: ,1.84,Esbjerg, 113193   size:99.14,Price: ,4.7,The Draw, 58805   size:12.25,Price: ,3.75,x
1.120919628, Sport: ,Soccer, Time: ,Sun Oct 04 15:00:00 CEST 2015, Time: ,Sun Oct 04 15:00:00 CEST 2015, Event: ,IFK Goteborg v Halmstads, Favorite: ,IFK Goteborg, 30689   size:1814.66,Price: ,1.24,Halmstads, 10765   size:2.24,Price: ,15.5,The Draw, 58805   size:3.75,Price: ,7.0,x
1.121060467, Sport: ,Tennis, Time: ,Sun Oct 04 11:00:00 CEST 2015, Time: ,Sun Oct 04 11:00:00 CEST 2015, Event: ,R Barbosa v Nys, Favorite: ,Hugo Nys, 7445712   size:39.67,Price: ,1.08,Romain Barbosa, 8490661   size:13.54,Price: ,2.0,x
1.120910773, Sport: ,Soccer, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Slovan Liberec v Bohemians 1905, Favorite: ,Slovan Liberec, 10503   size:512.98,Price: ,1.53,Bohemians 1905, 2467701   size:3.92,Price: ,7.4,The Draw, 58805   size:5.0,Price: ,4.5,ok
1.121060545, Sport: ,Tennis, Time: ,Sun Oct 04 10:30:00 CEST 2015, Time: ,Sun Oct 04 10:30:00 CEST 2015, Event: ,D Ferrer v Fel Lopez, Favorite: ,David Ferrer, 2257314   size:106.0,Price: ,1.63,Feliciano Lopez, 2265109   size:74.21,Price: ,2.52,ok
1.121008243, Sport: ,Basketball, Time: ,Sun Oct 04 21:30:00 CEST 2015, Time: ,Sun Oct 04 21:30:00 CEST 2015, Event: ,Dinamo Sassari v Cremona, Favorite: ,Dinamo Sassari, 5520916   size:2.77,Price: ,1.09,Cremona, 4325205   size:5.79,Price: ,1.29,ok
1.121061796, Sport: ,Tennis, Time: ,Sun Oct 04 08:00:00 CEST 2015, Time: ,Sun Oct 04 08:00:00 CEST 2015, Event: ,Gavrilova v Falconi, Favorite: ,Daria Gavrilova, 5053424   size:6.95,Price: ,1.45,Irina Falconi, 4946384   size:2.7,Price: ,3.1,x
1.120911544, Sport: ,Soccer, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Aalesunds v Sandefjord, Favorite: ,Aalesunds, 3038746   size:302.11,Price: ,1.65,Sandefjord, 199646   size:2.69,Price: ,5.5,The Draw, 58805   size:6.25,Price: ,4.5,ok
1.121008240, Sport: ,Basketball, Time: ,Sun Oct 04 19:15:00 CEST 2015, Time: ,Sun Oct 04 19:15:00 CEST 2015, Event: ,Bologna v Venezia, Favorite: ,Venezia, 5878119   size:4.97,Price: ,1.62,Bologna, 978665   size:37.56,Price: ,2.38,x
1.120916632, Sport: ,Soccer, Time: ,Sun Oct 04 07:00:00 CEST 2015, Time: ,Sun Oct 04 07:00:00 CEST 2015, Event: ,Kawasaki v G-Osaka, Favorite: ,Kawasaki, 1080507   size:6.93,Price: ,2.46,G-Osaka, 441083   size:19.69,Price: ,2.92,The Draw, 58805   size:161.53,Price: ,3.75,ok
1.120911024, Sport: ,Soccer, Time: ,Sun Oct 04 14:00:00 CEST 2015, Time: ,Sun Oct 04 14:00:00 CEST 2015, Event: ,Lahti v FC Inter, Favorite: ,Lahti, 139506   size:456.24,Price: ,2.16,FC Inter, 139505   size:6.64,Price: ,3.65,The Draw, 58805   size:19.21,Price: ,3.55,ok
1.121061828, Sport: ,Tennis, Time: ,Sun Oct 04 08:00:00 CEST 2015, Time: ,Sun Oct 04 08:00:00 CEST 2015, Event: ,Puig v Diyas, Favorite: ,Monica Puig, 5374368   size:20.7,Price: ,1.82,Zarina Diyas, 4045175   size:6.3,Price: ,2.18,ok
1.120983615, Sport: ,Soccer, Time: ,Sun Oct 04 12:00:00 CEST 2015, Time: ,Sun Oct 04 12:00:00 CEST 2015, Event: ,Getafe B v Talavera CF, Favorite: ,Getafe B, 4943234   size:27.74,Price: ,2.22,Talavera CF, 7309192   size:3.84,Price: ,3.4,The Draw, 58805   size:3.88,Price: ,3.3,x
1.120983617, Sport: ,Soccer, Time: ,Sun Oct 04 12:15:00 CEST 2015, Time: ,Sun Oct 04 12:15:00 CEST 2015, Event: ,Socuellamos v La Roda, Favorite: ,Socuellamos, 8792387   size:102.7,Price: ,1.59,La Roda, 4923750   size:2.7,Price: ,6.4,The Draw, 58805   size:17.94,Price: ,3.9,ok
1.120911943, Sport: ,Soccer, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Ranheim v Levanger, Favorite: ,Ranheim, 2440426   size:17.0,Price: ,1.6,Levanger, 398353   size:13.02,Price: ,6.2,The Draw, 58805   size:39.92,Price: ,4.4,ok
1.120983619, Sport: ,Soccer, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Barakaldo v SD Gernika Club, Favorite: ,Barakaldo, 565023   size:8.43,Price: ,1.65,SD Gernika Club, 7654057   size:5.4,Price: ,6.2,The Draw, 58805   size:2.55,Price: ,3.75,ok
1.120983611, Sport: ,Soccer, Time: ,Sun Oct 04 12:00:00 CEST 2015, Time: ,Sun Oct 04 12:00:00 CEST 2015, Event: ,Fuenlabrada v Leioa, Favorite: ,Fuenlabrada, 2250336   size:2.4,Price: ,1.63,Leioa, 8792389   size:5.0,Price: ,6.2,The Draw, 58805   size:11.67,Price: ,3.9,x
1.120983613, Sport: ,Soccer, Time: ,Sun Oct 04 12:00:00 CEST 2015, Time: ,Sun Oct 04 12:00:00 CEST 2015, Event: ,CD Mensajero v Real Union, Favorite: ,Real Union, 247970   size:2.55,Price: ,2.14,CD Mensajero, 8532028   size:28.81,Price: ,3.35,The Draw, 58805   size:2.55,Price: ,3.45,x
1.120941972, Sport: ,Soccer, Time: ,Sun Oct 04 14:00:00 CEST 2015, Time: ,Sun Oct 04 14:00:00 CEST 2015, Event: ,Singapore U19 v Thailand U19, Favorite: ,Singapore U19, 6912845   size:27.48,Price: ,1.02,Thailand U19, 6800141   size:27.48,Price: ,1.02,The Draw, 58805   size:3.56,Price: ,1.26,x
1.120918105, Sport: ,Soccer, Time: ,Sun Oct 04 17:00:00 CEST 2015, Time: ,Sun Oct 04 17:00:00 CEST 2015, Event: ,Caen v St Etienne, Favorite: ,Caen, 310510   size:13.52,Price: ,2.6,St Etienne, 309689   size:173.73,Price: ,3.05,The Draw, 58805   size:506.88,Price: ,3.35,ok
1.120942027, Sport: ,Soccer, Time: ,Sun Oct 04 10:30:00 CEST 2015, Time: ,Sun Oct 04 10:30:00 CEST 2015, Event: ,FC Spartak Trnava II v SK Sered, Favorite: ,FC Spartak Trnava II, 7577400   size:2.04,Price: ,2.18,SK Sered, 6676698   size:12.12,Price: ,2.82,The Draw, 58805   size:19.84,Price: ,3.4,ok
1.121020997, Sport: ,Basketball, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Ratiopharm Ulm v sOliver Wurzburg, Favorite: ,Ratiopharm Ulm, 2114275   size:310.27,Price: ,1.11,sOliver Wurzburg, 10371127   size:50.9,Price: ,1.7,x
1.120998918, Sport: ,Ice Hockey, Time: ,Sun Oct 04 16:30:00 CEST 2015, Time: ,Sun Oct 04 16:30:00 CEST 2015, Event: ,Dusseldorfer v Augsburger, Favorite: ,Dusseldorfer, 6671675   size:21.43,Price: ,1.83,Augsburg, 1031532   size:52.29,Price: ,3.45,Tie, 60104   size:70.91,Price: ,4.8,x
1.121058916, Sport: ,Tennis, Time: ,Sun Oct 04 06:30:00 CEST 2015, Time: ,Sun Oct 04 06:30:00 CEST 2015, Event: ,Istomin v Zhang, Favorite: ,Denis Istomin, 2765780   size:522.88,Price: ,1.12,Zhizhen Zhang, 9628959   size:2.61,Price: ,8.4,ok
1.120910950, Sport: ,Soccer, Time: ,Sun Oct 04 18:00:00 CEST 2015, Time: ,Sun Oct 04 18:00:00 CEST 2015, Event: ,Vysocina Jihlava v Plzen, Favorite: ,Plzen, 471040   size:4.95,Price: ,1.57,Vysocina Jihlava, 770021   size:51.73,Price: ,6.8,The Draw, 58805   size:81.72,Price: ,4.3,ok
