1.121732752, Sport: ,Tennis, Time: ,Mon Nov 09 16:00:00 CET 2015, Time: ,Mon Nov 09 16:00:00 CET 2015, Event: ,Sarmiento v Ma Willis, Favorite: ,Raymond Sarmiento, 8355894   size:4.17,Price: ,1.08,Marcus Willis, 3985839   size:4.17,Price: ,1.08,x
1.121588000, Sport: ,Soccer, Time: ,Mon Nov 09 12:30:00 CET 2015, Time: ,Mon Nov 09 12:30:00 CET 2015, Event: ,Geylang International v Hougang Utd, Favorite: ,Hougang Utd, 5339978   size:2.16,Price: ,2.22,Geylang International, 8279004   size:58.1,Price: ,3.2,The Draw, 58805   size:66.0,Price: ,3.9,x
1.121679747, Sport: ,Volleyball, Time: ,Mon Nov 09 21:30:00 CET 2015, Time: ,Mon Nov 09 21:30:00 CET 2015, Event: ,Lebes/Gedore v Sesi SP, Favorite: ,Lebes/Gedore, 10488616   size:0.0,Price: ,0.0,SESI SP, 5885834   size:0.0,Price: ,0.0,x
1.121732992, Sport: ,Tennis, Time: ,Mon Nov 09 16:00:00 CET 2015, Time: ,Mon Nov 09 16:00:00 CET 2015, Event: ,Bossel v Nevolo, Favorite: ,Adrien Bossel, 7364079   size:4.17,Price: ,1.08,Dennis Nevolo, 8258597   size:4.17,Price: ,1.08,ok
1.121733242, Sport: ,Tennis, Time: ,Mon Nov 09 10:30:00 CET 2015, Time: ,Mon Nov 09 10:30:00 CET 2015, Event: ,Gibson v Okuda, Favorite: ,Aimee Gibson, 9630104   size:6.77,Price: ,1.54,Akiko Okuda, 10116462   size:2.66,Price: ,2.44,x
1.121733240, Sport: ,Tennis, Time: ,Mon Nov 09 09:00:00 CET 2015, Time: ,Mon Nov 09 09:00:00 CET 2015, Event: ,Yang v Bunea, Favorite: ,Nicole Bunea, 10348532   size:555.0,Price: ,1.09,Yifei Yang, 9633612   size:1111.0,Price: ,1.62,x
1.121720777, Sport: ,Soccer, Time: ,Mon Nov 09 14:00:00 CET 2015, Time: ,Mon Nov 09 14:00:00 CET 2015, Event: ,AGF (Res) v Hobro IK (Res), Favorite: ,AGF (Res), 5373346   size:4.64,Price: ,1.1,Hobro IK (Res), 8749422   size:4.64,Price: ,1.1,The Draw, 58805   size:6.99,Price: ,3.4,ok
1.121720851, Sport: ,Soccer, Time: ,Mon Nov 09 16:00:00 CET 2015, Time: ,Mon Nov 09 16:00:00 CET 2015, Event: ,FC Midtjylland (Res) v Vejle BK (Res), Favorite: ,FC Midtjylland (Res), 5372986   size:4.77,Price: ,1.07,Vejle BK (Res), 5463818   size:4.77,Price: ,1.07,The Draw, 58805   size:6.99,Price: ,3.4,x
1.121721145, Sport: ,Soccer, Time: ,Mon Nov 09 12:00:00 CET 2015, Time: ,Mon Nov 09 12:00:00 CET 2015, Event: ,Ulisses Yerevan FC II v Pyunik Yerevan FC II, Favorite: ,Pyunik Yerevan FC II, 7453415   size:3.4,Price: ,1.47,Ulisses Yerevan FC II, 8802560   size:6.19,Price: ,5.5,The Draw, 58805   size:3.84,Price: ,4.4,ok
1.121587680, Sport: ,Soccer, Time: ,Mon Nov 09 20:30:00 CET 2015, Time: ,Mon Nov 09 20:30:00 CET 2015, Event: ,Ath Bilbao B v Llagostera, Favorite: ,Ath Bilbao B, 4943238   size:86.78,Price: ,1.86,Llagostera, 5759756   size:31.18,Price: ,5.4,The Draw, 58805   size:611.92,Price: ,3.6,ok
1.121733012, Sport: ,Tennis, Time: ,Mon Nov 09 17:45:00 CET 2015, Time: ,Mon Nov 09 17:45:00 CET 2015, Event: ,Milton v T Stodder, Favorite: ,Joshua Milton, 3985858   size:8.35,Price: ,1.04,Timo Stodder, 10506880   size:8.35,Price: ,1.04,ok
1.121728979, Sport: ,Tennis, Time: ,Mon Nov 09 13:15:00 CET 2015, Time: ,Mon Nov 09 13:15:00 CET 2015, Event: ,Neuchrist v Go Oliveira, Favorite: ,Maximilian Neuchrist, 7797896   size:2.55,Price: ,1.32,Goncalo Oliveira, 9493180   size:2.19,Price: ,2.96,ok
1.121720628, Sport: ,Soccer, Time: ,Mon Nov 09 13:00:00 CET 2015, Time: ,Mon Nov 09 13:00:00 CET 2015, Event: ,FC Hradec Kralove U21 v SK Slavia Praha U21, Favorite: ,SK Slavia Praha U21, 6551108   size:3.27,Price: ,1.8,FC Hradec Kralove U21, 6563655   size:5.96,Price: ,3.95,The Draw, 58805   size:2.92,Price: ,4.4,ok
1.121695253, Sport: ,Basketball, Time: ,Mon Nov 09 11:00:00 CET 2015, Time: ,Mon Nov 09 11:00:00 CET 2015, Event: ,KB Stars v Samsung Life Blue Minx, Favorite: ,KB Stars, 6739926   size:170.0,Price: ,1.44,Samsung Life Blue Minx, 7894748   size:40.0,Price: ,2.86,x
1.121733114, Sport: ,Tennis, Time: ,Mon Nov 09 18:00:00 CET 2015, Time: ,Mon Nov 09 18:00:00 CET 2015, Event: ,Laaksonen v C Thompson, Favorite: ,Henri Laaksonen, 6344314   size:4.17,Price: ,1.08,Clay Thompson, 8260758   size:4.17,Price: ,1.08,ok
