1.122400062, Sport: ,Basketball, Time: ,Tue Dec 29 11:00:00 CET 2015, Time: ,Tue Dec 29 11:00:00 CET 2015, Event: ,Busan Sonicboom v Seoul Thunders, Favorite: ,Seoul Thunders, 8000107   size:2.55,Price: ,1.48,Busan Sonicboom, 8941900   size:2.55,Price: ,2.38,x
1.122370777, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Heinolan Peliitat v TuTo, Favorite: ,TuTo, 4196542   size:466.26,Price: ,1.16,Heinolan Peliitat, 6022874   size:74.6,Price: ,1.91,Tie, 60104   size:19.12,Price: ,4.9,x
1.122316685, Sport: ,Handball, Time: ,Tue Dec 29 20:30:00 CET 2015, Time: ,Tue Dec 29 20:30:00 CET 2015, Event: ,Lugi v Savehof, Favorite: ,Savehof, 374429   size:222.0,Price: ,1.04,Lugi, 2930210   size:6.29,Price: ,1.51,Draw, 330157   size:222.0,Price: ,1.04,ok
1.122399990, Sport: ,Basketball, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Academic Bulteks 99 v Cherno More Port Varna, Favorite: ,Academic Bulteks 99, 10393950   size:13.25,Price: ,1.03,Cherno More Port Varna, 8466972   size:13.25,Price: ,1.03,x
1.122309637, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:05:00 CET 2015, Time: ,Wed Dec 30 01:05:00 CET 2015, Event: ,NY Islanders @ Toronto, Favorite: ,NY Islanders, 60105   size:2.16,Price: ,2.3,Toronto, 2108073   size:5.91,Price: ,2.48,Tie, 60104   size:7.3,Price: ,3.55,ok
1.122285504, Sport: ,American Football, Time: ,Tue Dec 29 02:30:00 CET 2015, Time: ,Tue Dec 29 02:30:00 CET 2015, Event: ,Cincinnati @ Denver, Favorite: ,Cincinnati Bengals, 50210   size:385.69,Price: ,1.86,Denver Broncos, 50211   size:700.36,Price: ,2.16,x
1.122399991, Sport: ,Basketball, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Levski Sofia v Spartak Pleven, Favorite: ,Levski Sofia, 8783027   size:13.25,Price: ,1.03,Spartak Pleven, 7753535   size:13.25,Price: ,1.03,ok
1.122316681, Sport: ,Handball, Time: ,Tue Dec 29 19:16:00 CET 2015, Time: ,Tue Dec 29 19:16:00 CET 2015, Event: ,Redbergslids v Malmo, Favorite: ,Malmo, 3374028   size:2.71,Price: ,1.03,Redbergslids, 3771721   size:5.82,Price: ,1.55,Draw, 330157   size:222.0,Price: ,1.04,x
1.122376114, Sport: ,Basketball, Time: ,Tue Dec 29 04:35:00 CET 2015, Time: ,Tue Dec 29 04:35:00 CET 2015, Event: ,Sacramento @ Golden State, Favorite: ,Golden State, 13126   size:21558.38,Price: ,1.07,Sacramento, 13127   size:2.93,Price: ,13.5,ok
1.122360838, Sport: ,Basketball, Time: ,Tue Dec 29 02:00:00 CET 2015, Time: ,Tue Dec 29 02:00:00 CET 2015, Event: ,Elon @ Duke, Favorite: ,Duke, 29829   size:0.0,Price: ,0.0,Elon, 671872   size:69.74,Price: ,1.42,ok
