1.119968625, Sport: ,Soccer, Time: ,Wed Aug 12 20:00:00 CEST 2015, Time: ,Wed Aug 12 20:00:00 CEST 2015, Event: ,Fluminense U20 v Vasco de Gama U20, Favorite: ,Vasco de Gama U20, 5185919   size:140.23,Price: ,1.06,Fluminense U20, 5181413   size:3.41,Price: ,1.44,The Draw, 58805   size:2.71,Price: ,4.1,x
1.119864294, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Levanger v Baerum, Favorite: ,Levanger, 398353   size:592.18,Price: ,2.12,Baerum, 168740   size:5.63,Price: ,3.5,The Draw, 58805   size:21.3,Price: ,3.85,ok
1.119985028, Sport: ,Tennis, Time: ,Wed Aug 12 20:45:00 CEST 2015, Time: ,Wed Aug 12 20:45:00 CEST 2015, Event: ,Millman v Andreozzi, Favorite: ,John Millman, 4415206   size:10.83,Price: ,1.26,Guido Andreozzi, 6603914   size:22.07,Price: ,4.2,ok
1.119949248, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Crvena Zvezda v Cukaricki, Favorite: ,Crvena Zvezda, 6399   size:27.78,Price: ,1.83,The Draw, 58805   size:9.66,Price: ,3.9,Cukaricki, 2503611   size:2.07,Price: ,4.6,ok
1.119967933, Sport: ,Soccer, Time: ,Wed Aug 12 23:30:00 CEST 2015, Time: ,Wed Aug 12 23:30:00 CEST 2015, Event: ,CD Atletico Marte v Juventud Independiente, Favorite: ,CD Atletico Marte, 8459079   size:2.37,Price: ,2.52,Juventud Independiente, 8517476   size:7.28,Price: ,2.62,The Draw, 58805   size:2.55,Price: ,2.78,x
1.119962049, Sport: ,Soccer, Time: ,Wed Aug 12 16:00:00 CEST 2015, Time: ,Wed Aug 12 16:00:00 CEST 2015, Event: ,Angusht Nazran v Mashuk-KMV Pyatigorsk, Favorite: ,Angusht Nazran, 7405512   size:10.46,Price: ,2.04,The Draw, 58805   size:4.07,Price: ,3.2,Mashuk-KMV Pyatigorsk, 6400349   size:8.2,Price: ,3.35,x
1.119866628, Sport: ,Soccer, Time: ,Wed Aug 12 20:45:00 CEST 2015, Time: ,Wed Aug 12 20:45:00 CEST 2015, Event: ,Astra Giurgiu v Steaua Bucharest, Favorite: ,Steaua Bucharest, 489080   size:2.24,Price: ,2.74,Astra Giurgiu, 4991412   size:8.99,Price: ,2.92,The Draw, 58805   size:345.04,Price: ,3.2,x
1.119965486, Sport: ,Soccer, Time: ,Wed Aug 12 19:30:00 CEST 2015, Time: ,Wed Aug 12 19:30:00 CEST 2015, Event: ,Guijuelo v Merida AD, Favorite: ,Guijuelo, 2250340   size:5.83,Price: ,1.74,The Draw, 58805   size:4.07,Price: ,3.55,Merida AD, 9534731   size:48.45,Price: ,3.9,x
1.119867681, Sport: ,Soccer, Time: ,Wed Aug 12 17:30:00 CEST 2015, Time: ,Wed Aug 12 17:30:00 CEST 2015, Event: ,FC Inter v Ilves, Favorite: ,FC Inter, 139505   size:391.96,Price: ,1.65,The Draw, 58805   size:75.34,Price: ,4.3,Ilves, 1229635   size:81.93,Price: ,5.9,x
1.119970309, Sport: ,Tennis, Time: ,Wed Aug 12 15:40:00 CEST 2015, Time: ,Wed Aug 12 15:40:00 CEST 2015, Event: ,Darcis v Satral, Favorite: ,Steve Darcis, 2481589   size:136.7,Price: ,1.35,Jan Satral, 8490613   size:17.15,Price: ,3.5,ok
1.119865496, Sport: ,Soccer, Time: ,Wed Aug 12 20:30:00 CEST 2015, Time: ,Wed Aug 12 20:30:00 CEST 2015, Event: ,Eupen v Deinze, Favorite: ,Eupen, 505721   size:550.66,Price: ,1.41,The Draw, 58805   size:7.14,Price: ,5.0,Deinze, 505713   size:38.94,Price: ,9.2,ok
1.119867190, Sport: ,Soccer, Time: ,Wed Aug 12 19:00:00 CEST 2015, Time: ,Wed Aug 12 19:00:00 CEST 2015, Event: ,Ranheim v Honefoss, Favorite: ,Ranheim, 2440426   size:52.2,Price: ,1.47,The Draw, 58805   size:4.49,Price: ,4.9,Honefoss, 572779   size:4.34,Price: ,8.0,ok
1.119985190, Sport: ,Tennis, Time: ,Wed Aug 12 18:30:00 CEST 2015, Time: ,Wed Aug 12 18:30:00 CEST 2015, Event: ,J Sock v G Dimitrov, Favorite: ,Grigor Dimitrov, 3120169   size:464.56,Price: ,1.62,Jack Sock, 4596957   size:7.99,Price: ,2.6,x
