1.122095998, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,Lokomotiva v Rijeka, Favorite: ,Rijeka, 166890   size:10.45,Price: ,1.79,Lokomotiva, 4057235   size:2.55,Price: ,4.7,The Draw, 58805   size:5.82,Price: ,3.8,ok
1.122184846, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,CD Choco v Ribadumia, Favorite: ,CD Choco, 8041120   size:2.55,Price: ,1.13,Ribadumia, 10601352   size:6.89,Price: ,2.32,The Draw, 58805   size:19.42,Price: ,3.15,ok
1.122124883, Sport: ,Ice Hockey, Time: ,Tue Dec 08 03:05:00 CET 2015, Time: ,Tue Dec 08 03:05:00 CET 2015, Event: ,Minnesota @ Colorado, Favorite: ,Minnesota, 2109894   size:75.16,Price: ,2.56,Colorado, 2108117   size:107.52,Price: ,2.7,Tie, 60104   size:58.0,Price: ,3.85,x
1.122180645, Sport: ,Handball, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Sweden v Netherlands, Favorite: ,Sweden, 624135   size:2.67,Price: ,1.65,Netherlands, 626085   size:2.68,Price: ,2.4,Draw, 330157   size:2.65,Price: ,8.6,x
1.122184459, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,Atletico Sanluqueno CF v Lebrijana, Favorite: ,Atletico Sanluqueno CF, 6399727   size:2.55,Price: ,1.22,Lebrijana, 9315717   size:10.0,Price: ,5.0,The Draw, 58805   size:10.0,Price: ,3.55,ok
1.122098511, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,CD Cebrerena v Zamora, Favorite: ,Zamora, 565025   size:40.0,Price: ,1.23,CD Cebrerena, 8479497   size:9.23,Price: ,2.3,The Draw, 58805   size:11.1,Price: ,3.15,ok
1.122094276, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Avellino v Pro Vercelli, Favorite: ,Avellino, 501202   size:39.09,Price: ,1.88,Pro Vercelli, 5369664   size:15.76,Price: ,5.2,The Draw, 58805   size:5.95,Price: ,3.4,ok
1.122186629, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,SD Almazan v SD Atletico Tordesillas, Favorite: ,SD Atletico Tordesillas, 7794974   size:12.64,Price: ,1.72,SD Almazan, 7636401   size:12.13,Price: ,1.75,The Draw, 58805   size:11.1,Price: ,3.15,x
1.122095005, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Fleetwood Town v Morecambe, Favorite: ,Fleetwood Town, 3396710   size:53.84,Price: ,1.87,Morecambe, 51311   size:21.46,Price: ,4.4,The Draw, 58805   size:4.3,Price: ,3.9,ok
1.122095765, Sport: ,Soccer, Time: ,Tue Dec 08 16:00:00 CET 2015, Time: ,Tue Dec 08 16:00:00 CET 2015, Event: ,Wolfsburg U19 v Man Utd U19, Favorite: ,Wolfsburg U19, 6569328   size:2.55,Price: ,1.71,Man Utd U19, 2502332   size:8.55,Price: ,2.3,The Draw, 58805   size:2.55,Price: ,3.3,x
1.121988051, Sport: ,Ice Hockey, Time: ,Tue Dec 08 16:30:00 CET 2015, Time: ,Tue Dec 08 16:30:00 CET 2015, Event: ,Lukko v TPS, Favorite: ,Lukko, 66603   size:5.99,Price: ,2.1,TPS, 66803   size:70.09,Price: ,2.98,Tie, 60104   size:5.99,Price: ,3.7,x
1.122184295, Sport: ,Soccer, Time: ,Tue Dec 08 02:40:00 CET 2015, Time: ,Tue Dec 08 02:40:00 CET 2015, Event: ,Arnett Gardens FC v Humble Lions, Favorite: ,Arnett Gardens FC, 7666192   size:4.53,Price: ,1.82,Humble Lions, 7666195   size:6.09,Price: ,2.6,The Draw, 58805   size:7.67,Price: ,3.35,x
1.122098198, Sport: ,Soccer, Time: ,Tue Dec 08 17:00:00 CET 2015, Time: ,Tue Dec 08 17:00:00 CET 2015, Event: ,CD Tropezon v UM Escobedo, Favorite: ,CD Tropezon, 6343368   size:3.68,Price: ,1.11,UM Escobedo, 8535260   size:11.97,Price: ,1.76,The Draw, 58805   size:18.04,Price: ,3.15,ok
1.122162590, Sport: ,Basketball, Time: ,Tue Dec 08 01:30:00 CET 2015, Time: ,Tue Dec 08 01:30:00 CET 2015, Event: ,Estudiantes (C) v Lanus, Favorite: ,Estudiantes (C), 7753473   size:132.0,Price: ,1.57,Lanus, 6719117   size:52.95,Price: ,2.52,x
1.122124876, Sport: ,Ice Hockey, Time: ,Tue Dec 08 01:05:00 CET 2015, Time: ,Tue Dec 08 01:05:00 CET 2015, Event: ,Nashville @ Boston, Favorite: ,Boston, 2112316   size:117.66,Price: ,2.42,Nashville, 2109832   size:14.15,Price: ,2.84,Tie, 60104   size:65.3,Price: ,4.0,x
1.122055893, Sport: ,Cricket, Time: ,Tue Dec 08 09:00:00 CET 2015, Time: ,Tue Dec 08 09:00:00 CET 2015, Event: ,Chittagong v Dhaka, Favorite: ,Chittagong, 6119242   size:276.32,Price: ,1.92,Dhaka, 3388305   size:130.45,Price: ,1.95,x
1.122186684, Sport: ,Soccer, Time: ,Tue Dec 08 12:00:00 CET 2015, Time: ,Tue Dec 08 12:00:00 CET 2015, Event: ,Silva SD v CD Barco, Favorite: ,Silva SD, 8889598   size:5.99,Price: ,1.47,CD Barco, 8717585   size:8.58,Price: ,2.06,The Draw, 58805   size:40.0,Price: ,3.35,x
