1.121320488, Sport: ,Soccer, Time: ,Sun Oct 18 18:45:00 CEST 2015, Time: ,Sun Oct 18 18:45:00 CEST 2015, Event: ,Lekhwiya v Al Arabi, Favorite: ,Al Arabi, 3922362   size:18.0,Price: ,1.08,Lekhwiya, 5168555   size:18.0,Price: ,1.1,The Draw, 58805   size:15.99,Price: ,3.1,ok
1.121060463, Sport: ,Cricket, Time: ,Mon Oct 19 03:30:00 CEST 2015, Time: ,Mon Oct 19 03:30:00 CEST 2015, Event: ,Ireland U19 v Uganda U19, Favorite: ,Ireland U19, 10380956   size:113.36,Price: ,1.03,Uganda U19, 10380954   size:113.36,Price: ,1.03,ok
1.121329564, Sport: ,Tennis, Time: ,Mon Oct 19 05:00:00 CEST 2015, Time: ,Mon Oct 19 05:00:00 CEST 2015, Event: ,F Sun v Gojowczyk, Favorite: ,Peter Gojowczyk, 4691416   size:6.16,Price: ,1.04,Fajing Sun, 8812610   size:3.08,Price: ,1.08,ok
1.121276817, Sport: ,Soccer, Time: ,Mon Oct 19 02:30:00 CEST 2015, Time: ,Mon Oct 19 02:30:00 CEST 2015, Event: ,Atl Tucuman v Sportivo Belgrano, Favorite: ,Atl Tucuman, 5181445   size:4.68,Price: ,1.44,Sportivo Belgrano, 5971675   size:29.88,Price: ,10.0,The Draw, 58805   size:27.63,Price: ,4.3,ok
1.121165724, Sport: ,Soccer, Time: ,Sun Oct 18 08:00:00 CEST 2015, Time: ,Sun Oct 18 08:00:00 CEST 2015, Event: ,Jef Utd Chiba v Oita, Favorite: ,Oita, 441089   size:822.07,Price: ,1.96,Jef Utd Chiba, 5021203   size:75.32,Price: ,4.6,The Draw, 58805   size:2.72,Price: ,3.45,x
1.121240255, Sport: ,Soccer, Time: ,Sun Oct 18 23:00:00 CEST 2015, Time: ,Sun Oct 18 23:00:00 CEST 2015, Event: ,Penarol v Rentistas, Favorite: ,Penarol, 328191   size:3.29,Price: ,1.52,Rentistas, 5790002   size:8.85,Price: ,5.9,The Draw, 58805   size:3.7,Price: ,4.2,ok
1.121229239, Sport: ,Ice Hockey, Time: ,Sun Oct 18 16:30:00 CEST 2015, Time: ,Sun Oct 18 16:30:00 CEST 2015, Event: ,Eisbaren Berlin v EHC Munchen, Favorite: ,Eisbaren Berlin, 233923   size:66.0,Price: ,2.14,EHC Munchen, 4923560   size:39.61,Price: ,2.9,Tie, 60104   size:132.89,Price: ,4.6,ok
1.121240137, Sport: ,Soccer, Time: ,Sun Oct 18 20:30:00 CEST 2015, Time: ,Sun Oct 18 20:30:00 CEST 2015, Event: ,River Plate (Uru) v Danubio, Favorite: ,River Plate (Uru), 3206731   size:4.54,Price: ,1.88,Danubio, 504779   size:3.92,Price: ,3.6,The Draw, 58805   size:3.94,Price: ,3.55,ok
1.121313831, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,FC Banik Ostrava U21 v Ceske Budejovice U21, Favorite: ,FC Banik Ostrava U21, 6550998   size:2.55,Price: ,1.15,Ceske Budejovice U21, 6553192   size:21.15,Price: ,7.6,The Draw, 58805   size:17.18,Price: ,5.9,x
1.121229914, Sport: ,Ice Hockey, Time: ,Sun Oct 18 17:45:00 CEST 2015, Time: ,Sun Oct 18 17:45:00 CEST 2015, Event: ,Adler Mannheim v Hamburg, Favorite: ,Adler Mannheim, 233924   size:58.0,Price: ,1.96,Hamburg, 1031535   size:3.58,Price: ,3.4,Tie, 60104   size:69.0,Price: ,4.5,x
1.121340246, Sport: ,Tennis, Time: ,Sun Oct 18 22:45:00 CEST 2015, Time: ,Sun Oct 18 22:45:00 CEST 2015, Event: ,Escobedo v Bangoura, Favorite: ,Ernesto Escobedo, 8700174   size:3.08,Price: ,1.08,Sekou Bangoura, 7066127   size:3.08,Price: ,1.08,x
1.121060471, Sport: ,Cricket, Time: ,Mon Oct 19 03:30:00 CEST 2015, Time: ,Mon Oct 19 03:30:00 CEST 2015, Event: ,Nepal U19 v USA U19, Favorite: ,Nepal U19, 8149307   size:113.36,Price: ,1.03,USA U19, 10380955   size:113.36,Price: ,1.03,ok
1.121207134, Sport: ,Soccer, Time: ,Sun Oct 18 16:00:00 CEST 2015, Time: ,Sun Oct 18 16:00:00 CEST 2015, Event: ,Loures v Boavista, Favorite: ,Boavista, 10761   size:5.65,Price: ,1.51,Loures, 7680557   size:9.55,Price: ,5.6,The Draw, 58805   size:2.55,Price: ,3.9,x
1.121207132, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,Atletico Arcos v Caldas, Favorite: ,Atletico Arcos, 10309729   size:3.52,Price: ,1.07,Caldas, 7680567   size:3.52,Price: ,1.07,The Draw, 58805   size:2.72,Price: ,3.05,x
1.121321205, Sport: ,Soccer, Time: ,Sun Oct 18 14:30:00 CEST 2015, Time: ,Sun Oct 18 14:30:00 CEST 2015, Event: ,FK Sileks v Metalurg Skopje, Favorite: ,FK Sileks, 866282   size:3.52,Price: ,1.07,Metalurg Skopje, 4807181   size:3.52,Price: ,1.07,The Draw, 58805   size:5.83,Price: ,3.1,ok
1.121207130, Sport: ,Soccer, Time: ,Sun Oct 18 16:00:00 CEST 2015, Time: ,Sun Oct 18 16:00:00 CEST 2015, Event: ,Lusitania v Maritimo, Favorite: ,Maritimo, 46964   size:12.67,Price: ,1.4,Lusitania, 2694165   size:5.98,Price: ,5.6,The Draw, 58805   size:3.67,Price: ,4.3,x
1.121163869, Sport: ,Soccer, Time: ,Sun Oct 18 15:00:00 CEST 2015, Time: ,Sun Oct 18 15:00:00 CEST 2015, Event: ,Union St Gilloise v Cercle Brugge, Favorite: ,Cercle Brugge, 259394   size:11.86,Price: ,2.14,Union St Gilloise, 892024   size:7.48,Price: ,3.5,The Draw, 58805   size:3.53,Price: ,3.65,x
