1.122097150, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Gentofte v Herlev, Favorite: ,Gentofte, 8834861   size:138.38,Price: ,1.98,Herlev, 227439   size:9.29,Price: ,2.6,Tie, 60104   size:115.31,Price: ,4.0,ok
1.122060733, Sport: ,Ice Hockey, Time: ,Fri Dec 04 01:35:00 CET 2015, Time: ,Fri Dec 04 01:35:00 CET 2015, Event: ,Washington @ Montreal, Favorite: ,Washington, 2109756   size:266.0,Price: ,2.56,Montreal, 2112345   size:4.08,Price: ,2.66,Tie, 60104   size:528.0,Price: ,3.85,ok
1.122076174, Sport: ,Basketball, Time: ,Thu Dec 03 21:00:00 CET 2015, Time: ,Thu Dec 03 21:00:00 CET 2015, Event: ,Olympiacos v Armani Milano, Favorite: ,Olympiacos, 278582   size:932.32,Price: ,1.2,Armani Milano, 952727   size:27.64,Price: ,5.5,ok
1.122115301, Sport: ,Soccer, Time: ,Fri Dec 04 10:00:00 CET 2015, Time: ,Fri Dec 04 10:00:00 CET 2015, Event: ,Lod Rakevet Tvaz O U19 v Hapoel Ashkelon U19, Favorite: ,Lod Rakevet Tvaz O U19, 10587679   size:3.66,Price: ,1.11,Hapoel Ashkelon U19, 10587681   size:3.66,Price: ,1.11,The Draw, 58805   size:13.83,Price: ,3.1,x
1.122113761, Sport: ,Basketball, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,Salon Vilpas v Korikobrat, Favorite: ,Salon Vilpas, 7749341   size:2.76,Price: ,1.03,Korikobrat, 7749535   size:2.76,Price: ,1.03,x
1.122116460, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Al-Hilal v Najran (KSA), Favorite: ,Al-Hilal, 3725113   size:3.66,Price: ,1.11,Najran (KSA), 7857483   size:3.66,Price: ,1.11,The Draw, 58805   size:20.24,Price: ,3.1,ok
1.122116184, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Farul Constanta v Dunarea Calarasi, Favorite: ,Farul Constanta, 1556985   size:2.55,Price: ,1.88,Dunarea Calarasi, 10238185   size:2.55,Price: ,2.4,The Draw, 58805   size:2.55,Price: ,3.25,x
1.121991586, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Kuban Krasnodar v FK Krasnodar, Favorite: ,FK Krasnodar, 4020902   size:364.54,Price: ,2.06,Kuban Krasnodar, 5246807   size:56.32,Price: ,4.1,The Draw, 58805   size:346.38,Price: ,3.6,ok
1.122096845, Sport: ,Basketball, Time: ,Fri Dec 04 01:05:00 CET 2015, Time: ,Fri Dec 04 01:05:00 CET 2015, Event: ,Oklahoma City @ Miami, Favorite: ,Oklahoma City, 3363394   size:63.68,Price: ,1.63,Miami, 13109   size:26.7,Price: ,2.5,x
1.122102995, Sport: ,Volleyball, Time: ,Thu Dec 03 20:30:00 CET 2015, Time: ,Thu Dec 03 20:30:00 CET 2015, Event: ,Casalmaggiore v VB Sudtirol Bolzano, Favorite: ,Casalmaggiore, 7906928   size:2.76,Price: ,1.03,VB Sudtirol Bolzano, 10381560   size:2.76,Price: ,1.03,ok
1.122102874, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,Chomutov v Sparta Prague, Favorite: ,Sparta Prague, 284689   size:5.96,Price: ,2.26,Chomutov, 4645019   size:5.96,Price: ,2.52,Tie, 60104   size:39.53,Price: ,4.5,x
1.122102871, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,Zlin v Plzen, Favorite: ,Plzen, 563267   size:15.25,Price: ,2.22,Zlin, 563266   size:76.1,Price: ,2.66,Tie, 60104   size:40.69,Price: ,4.4,x
1.122096855, Sport: ,Basketball, Time: ,Fri Dec 04 03:05:00 CET 2015, Time: ,Fri Dec 04 03:05:00 CET 2015, Event: ,Orlando @ Utah, Favorite: ,Utah, 13119   size:360.27,Price: ,1.6,Orlando, 13104   size:439.13,Price: ,2.62,x
1.122113758, Sport: ,Basketball, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,KTP Basket v Helsinki, Favorite: ,KTP Basket, 7976086   size:2.76,Price: ,1.03,Helsinki, 9042443   size:2.76,Price: ,1.03,ok
1.122113752, Sport: ,Basketball, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Opava v Nymburk, Favorite: ,Nymburk, 2586030   size:2.76,Price: ,1.03,Opava, 7758596   size:9.17,Price: ,1.25,ok
1.122092410, Sport: ,Tennis, Time: ,Fri Dec 04 14:30:00 CET 2015, Time: ,Fri Dec 04 14:30:00 CET 2015, Event: ,Sebastien Grosjean v Xavier Malisse, Favorite: ,Sebastien Grosjean, 2256479   size:2.55,Price: ,1.15,Xavier Malisse, 2256475   size:2.55,Price: ,1.15,x
1.122007542, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Spartak Myjava v MFK Skalica, Favorite: ,Spartak Myjava, 4247363   size:10.0,Price: ,1.39,MFK Skalica, 8690761   size:14.28,Price: ,8.2,The Draw, 58805   size:6.43,Price: ,4.6,ok
1.122092891, Sport: ,Basketball, Time: ,Fri Dec 04 02:00:00 CET 2015, Time: ,Fri Dec 04 02:00:00 CET 2015, Event: ,Instituto Atletico Cent v Quilmes, Favorite: ,Instituto Atletico Cent, 10346458   size:326.0,Price: ,1.23,Quilmes, 7753472   size:21.0,Price: ,4.6,x
1.122092890, Sport: ,Basketball, Time: ,Fri Dec 04 02:00:00 CET 2015, Time: ,Fri Dec 04 02:00:00 CET 2015, Event: ,Libertad v Lanus, Favorite: ,Libertad, 6719116   size:2.55,Price: ,1.2,Lanus, 6719117   size:16.0,Price: ,5.7,x
1.122114045, Sport: ,Basketball, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Smederevo v OKK Beograd, Favorite: ,Smederevo, 7735927   size:2.76,Price: ,1.03,OKK Beograd, 7735982   size:2.76,Price: ,1.03,ok
1.122076182, Sport: ,Basketball, Time: ,Thu Dec 03 20:45:00 CET 2015, Time: ,Thu Dec 03 20:45:00 CET 2015, Event: ,Real Madrid v Fenerbahce, Favorite: ,Real Madrid, 266274   size:20.0,Price: ,1.64,Fenerbahce, 631290   size:94.0,Price: ,2.06,ok
1.122115411, Sport: ,Soccer, Time: ,Fri Dec 04 12:00:00 CET 2015, Time: ,Fri Dec 04 12:00:00 CET 2015, Event: ,Beitar Kfar Saba Shlomi v Sektzia Nes Tziona, Favorite: ,Beitar Kfar Saba Shlomi, 6132669   size:3.66,Price: ,1.11,Sektzia Nes Tziona, 5195928   size:3.66,Price: ,1.11,The Draw, 58805   size:17.98,Price: ,3.15,x
