1.121443433, Sport: ,Soccer, Time: ,Sun Nov 01 14:00:00 CET 2015, Time: ,Sun Nov 01 14:00:00 CET 2015, Event: ,Ruzomberok v Slovan Bratislava, Favorite: ,Slovan Bratislava, 46933   size:12.68,Price: ,2.16,Ruzomberok, 52764   size:14.31,Price: ,3.25,The Draw, 58805   size:4.25,Price: ,3.4,x
1.121594631, Sport: ,Soccer, Time: ,Sun Nov 01 14:00:00 CET 2015, Time: ,Sun Nov 01 14:00:00 CET 2015, Event: ,Hoffenheim (W) v Potsdam (W), Favorite: ,Potsdam (W), 4714293   size:2.23,Price: ,1.95,Hoffenheim (W), 7636672   size:70.87,Price: ,2.36,The Draw, 58805   size:53.12,Price: ,3.2,ok
1.121599763, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,CF Soller v CE Mercadal, Favorite: ,CF Soller, 8870825   size:4.15,Price: ,1.07,CE Mercadal, 6884052   size:80.0,Price: ,1.1,The Draw, 58805   size:30.77,Price: ,1.26,x
1.121598312, Sport: ,Soccer, Time: ,Sun Nov 01 12:00:00 CET 2015, Time: ,Sun Nov 01 12:00:00 CET 2015, Event: ,CD Castellon v Orihuela CF, Favorite: ,CD Castellon, 8916596   size:4.15,Price: ,1.07,Orihuela CF, 9320423   size:4.15,Price: ,1.07,The Draw, 58805   size:2.8,Price: ,1.25,x
1.121445178, Sport: ,Soccer, Time: ,Sun Nov 01 13:00:00 CET 2015, Time: ,Sun Nov 01 13:00:00 CET 2015, Event: ,Strommen v Kristiansund, Favorite: ,Strommen, 1146634   size:14.85,Price: ,2.64,Kristiansund, 2440424   size:5.0,Price: ,2.74,The Draw, 58805   size:116.2,Price: ,3.6,ok
1.121510723, Sport: ,Ice Hockey, Time: ,Sun Nov 01 15:30:00 CET 2015, Time: ,Sun Nov 01 15:30:00 CET 2015, Event: ,Karlovy Vary v Kometa Brno, Favorite: ,Tie, 60104   size:14.53,Price: ,1.02,Karlovy Vary, 1366079   size:18.74,Price: ,2.7,Kometa Brno, 3304802   size:18.0,Price: ,1.47,x
1.121450733, Sport: ,Soccer, Time: ,Sun Nov 01 15:30:00 CET 2015, Time: ,Sun Nov 01 15:30:00 CET 2015, Event: ,Stuttgart v SV Darmstadt, Favorite: ,Stuttgart, 44519   size:1320.48,Price: ,1.71,SV Darmstadt, 993093   size:213.75,Price: ,5.3,The Draw, 58805   size:367.58,Price: ,4.2,ok
1.121447565, Sport: ,Soccer, Time: ,Sun Nov 01 08:00:00 CET 2015, Time: ,Sun Nov 01 08:00:00 CET 2015, Event: ,Tokushima v Tochigi SC, Favorite: ,Tokushima, 5026012   size:5.18,Price: ,2.28,Tochigi SC, 5945153   size:7.3,Price: ,3.6,The Draw, 58805   size:23.55,Price: ,3.4,x
1.121444175, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Lausanne v Le Mont, Favorite: ,Lausanne, 2093796   size:16.95,Price: ,1.84,Le Mont, 4976338   size:2.78,Price: ,4.7,The Draw, 58805   size:2.7,Price: ,3.7,x
1.121529102, Sport: ,Basketball, Time: ,Sun Nov 01 08:00:00 CET 2015, Time: ,Sun Nov 01 08:00:00 CET 2015, Event: ,Seoul Thunders v Goyang Orions, Favorite: ,Goyang Orions, 5889518   size:10.0,Price: ,1.45,Seoul Thunders, 8000107   size:48.18,Price: ,2.92,ok
1.121492094, Sport: ,Soccer, Time: ,Sun Nov 01 12:15:00 CET 2015, Time: ,Sun Nov 01 12:15:00 CET 2015, Event: ,Portimonense v Famalicao, Favorite: ,Portimonense, 505982   size:26.61,Price: ,1.95,Famalicao, 5875376   size:74.14,Price: ,4.6,The Draw, 58805   size:113.43,Price: ,3.45,x
1.121529107, Sport: ,Basketball, Time: ,Sun Nov 01 06:00:00 CET 2015, Time: ,Sun Nov 01 06:00:00 CET 2015, Event: ,KB Stars v Shinhan Bank S Birds, Favorite: ,KB Stars, 6739926   size:70.08,Price: ,1.05,Shinhan Bank S Birds, 5154533   size:70.08,Price: ,1.05,x
1.121607045, Sport: ,Tennis, Time: ,Sun Nov 01 11:00:00 CET 2015, Time: ,Sun Nov 01 11:00:00 CET 2015, Event: ,R Ram v Carreno Busta, Favorite: ,Pablo Carreno Busta, 5479878   size:92.23,Price: ,1.65,Rajeev Ram, 2488011   size:8.28,Price: ,2.28,ok
1.121450293, Sport: ,Soccer, Time: ,Sun Nov 01 15:00:00 CET 2015, Time: ,Sun Nov 01 15:00:00 CET 2015, Event: ,Dag and Red v Luton, Favorite: ,Luton, 223467   size:166.52,Price: ,2.18,Dag and Red, 66244   size:127.02,Price: ,3.5,The Draw, 58805   size:50.49,Price: ,3.8,ok
1.121572927, Sport: ,Basketball, Time: ,Sun Nov 01 12:35:00 CET 2015, Time: ,Sun Nov 01 12:35:00 CET 2015, Event: ,Shanghai v Zhejiang Chouzhou, Favorite: ,Zhejiang Chouzhou, 8926899   size:3.23,Price: ,1.09,Shanghai, 8926900   size:2.55,Price: ,1.33,x
1.121600368, Sport: ,Soccer, Time: ,Sun Nov 01 11:30:00 CET 2015, Time: ,Sun Nov 01 11:30:00 CET 2015, Event: ,Ath Bilbao (W) v Fundacion Albacete (W), Favorite: ,Ath Bilbao (W), 6122153   size:4.02,Price: ,1.13,Fundacion Albacete (W), 7156577   size:5.1,Price: ,10.5,The Draw, 58805   size:5.38,Price: ,6.0,ok
1.121572929, Sport: ,Basketball, Time: ,Sun Nov 01 12:35:00 CET 2015, Time: ,Sun Nov 01 12:35:00 CET 2015, Event: ,Sichuan v JiangSu Tongxi, Favorite: ,Sichuan, 8926907   size:9.69,Price: ,1.03,JiangSu Tongxi, 8926916   size:9.69,Price: ,1.03,ok
