1.121403627, Sport: ,Soccer, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,SCR Altach v Red Bull Salzburg, Favorite: ,Red Bull Salzburg, 3158851   size:128.3,Price: ,1.44,SCR Altach, 872710   size:24.4,Price: ,7.8,The Draw, 58805   size:80.56,Price: ,5.3,x
1.121556447, Sport: ,Basketball, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Dabrowa Gornicza v Anwil, Favorite: ,Anwil, 1312084   size:2.55,Price: ,1.75,Dabrowa Gornicza, 8889616   size:42.0,Price: ,2.18,x
1.121522275, Sport: ,Basketball, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Pau Lacq Orthez v Nancy, Favorite: ,Nancy, 1293966   size:5.58,Price: ,1.68,Pau Lacq Orthez, 4999746   size:38.0,Price: ,2.32,x
1.121413672, Sport: ,Soccer, Time: ,Sat Oct 31 17:45:00 CET 2015, Time: ,Sat Oct 31 17:45:00 CET 2015, Event: ,Grasshoppers Zurich v Thun, Favorite: ,Grasshoppers Zurich, 373489   size:178.35,Price: ,1.95,Thun, 176184   size:158.41,Price: ,4.0,The Draw, 58805   size:31.72,Price: ,3.9,x
1.121421978, Sport: ,Volleyball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Olympiakos v AO Orestiadas, Favorite: ,Olympiakos, 1107070   size:33.26,Price: ,1.01,Ao Orestiadas, 10395510   size:33.26,Price: ,1.01,ok
1.121603514, Sport: ,Tennis, Time: ,Sat Oct 31 17:03:00 CET 2015, Time: ,Sat Oct 31 17:03:00 CET 2015, Event: ,Al Bedene v Barrere, Favorite: ,Aljaz Bedene, 5706996   size:1770.02,Price: ,1.24,Gregoire Barrere, 8842295   size:122.78,Price: ,4.6,ok
1.121411493, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Koper v Krka, Favorite: ,Koper, 166903   size:47.28,Price: ,1.77,Krka, 3346298   size:5.0,Price: ,5.3,The Draw, 58805   size:12.3,Price: ,3.75,x
1.121405480, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,Ferencvaros v Vasas, Favorite: ,Ferencvaros, 198748   size:184.17,Price: ,1.17,Vasas, 886340   size:40.9,Price: ,19.0,The Draw, 58805   size:6.83,Price: ,5.9,ok
1.121522279, Sport: ,Basketball, Time: ,Sat Oct 31 18:30:00 CET 2015, Time: ,Sat Oct 31 18:30:00 CET 2015, Event: ,Crailsheim v Giessen, Favorite: ,Crailsheim, 8782588   size:2.55,Price: ,1.13,Giessen, 2114278   size:2.55,Price: ,1.62,x
1.121413432, Sport: ,Soccer, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Podbrezova v MFK Skalica, Favorite: ,Podbrezova, 8672708   size:2.13,Price: ,2.32,MFK Skalica, 8690761   size:50.71,Price: ,3.2,The Draw, 58805   size:3.01,Price: ,3.4,ok
1.121564633, Sport: ,Soccer, Time: ,Sat Oct 31 18:00:00 CET 2015, Time: ,Sat Oct 31 18:00:00 CET 2015, Event: ,CD Arnedo v CD Pradejon, Favorite: ,CD Arnedo, 7708971   size:138.75,Price: ,1.06,CD Pradejon, 7708972   size:138.75,Price: ,1.06,The Draw, 58805   size:5.6,Price: ,2.88,ok
1.121422136, Sport: ,Volleyball, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Panathinaikos v PAOK Thessaloniki, Favorite: ,Panathinaikos, 2276375   size:33.26,Price: ,1.01,PAOK Thessaloniki, 1359847   size:33.26,Price: ,1.01,x
1.121403997, Sport: ,Soccer, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Patro Eisden v Verbroedering Geel, Favorite: ,Verbroedering Geel, 505724   size:2.78,Price: ,2.62,Patro Eisden, 7441124   size:56.51,Price: ,2.74,The Draw, 58805   size:15.55,Price: ,3.65,x
1.121604100, Sport: ,Tennis, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Wiersholm v N Rubin, Favorite: ,Noah Rubin, 7593248   size:2.55,Price: ,1.14,Henrik Wiersholm, 8942112   size:2.55,Price: ,5.9,ok
1.121493516, Sport: ,American Football, Time: ,Sat Oct 31 17:00:00 CET 2015, Time: ,Sat Oct 31 17:00:00 CET 2015, Event: ,Ole Miss @ Auburn, Favorite: ,Ole Miss, 4385068   size:381.05,Price: ,1.01,Auburn, 484732   size:33.24,Price: ,2.28,ok
1.121522263, Sport: ,Basketball, Time: ,Sat Oct 31 20:00:00 CET 2015, Time: ,Sat Oct 31 20:00:00 CET 2015, Event: ,Le Havre v Antibes, Favorite: ,Le Havre, 1292696   size:28.56,Price: ,1.28,Antibes, 5467755   size:28.56,Price: ,1.28,x
