1.122277561, Sport: ,Tennis, Time: ,Mon Dec 14 12:30:00 CET 2015, Time: ,Mon Dec 14 12:30:00 CET 2015, Event: ,Anu Ayegbusi v Shivika Burman, Favorite: ,Shivika Burman, 9626259   size:2.61,Price: ,1.15,Anu Ayegbusi, 10626447   size:2.55,Price: ,1.64,ok
1.122277560, Sport: ,Tennis, Time: ,Mon Dec 14 11:00:00 CET 2015, Time: ,Mon Dec 14 11:00:00 CET 2015, Event: ,Ronke Akingbade v Blessing Samuel, Favorite: ,Ronke Akingbade, 10601293   size:2.55,Price: ,1.59,Blessing Samuel, 10601291   size:8.47,Price: ,2.4,x
1.122194190, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Charleroi (Y) v KVC Westerlo (Youth), Favorite: ,Charleroi (Y), 7167644   size:10.94,Price: ,1.13,KVC Westerlo (Youth), 8764419   size:10.94,Price: ,1.13,The Draw, 58805   size:17.55,Price: ,2.88,x
1.122217025, Sport: ,Basketball, Time: ,Mon Dec 14 18:00:00 CET 2015, Time: ,Mon Dec 14 18:00:00 CET 2015, Event: ,Pinar Karsiyaka v Darussafaka, Favorite: ,Pinar Karsiyaka, 631283   size:3.28,Price: ,1.72,Darussafaka, 631285   size:2.38,Price: ,2.1,x
1.122271465, Sport: ,Soccer, Time: ,Mon Dec 14 15:45:00 CET 2015, Time: ,Mon Dec 14 15:45:00 CET 2015, Event: ,Al-Shabab (KSA) v Al-Faisaly (KSA), Favorite: ,Al-Shabab (KSA), 5344868   size:2.45,Price: ,2.04,Al-Faisaly (KSA), 7899434   size:4.16,Price: ,3.6,The Draw, 58805   size:2.0,Price: ,3.4,x
1.122271740, Sport: ,Soccer, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Ilkeston v Lincoln United FC, Favorite: ,Ilkeston, 4864968   size:4.21,Price: ,1.13,Lincoln United FC, 7853878   size:4.21,Price: ,1.13,The Draw, 58805   size:5.53,Price: ,2.9,x
1.122260294, Sport: ,Basketball, Time: ,Tue Dec 15 01:35:00 CET 2015, Time: ,Tue Dec 15 01:35:00 CET 2015, Event: ,Orlando @ Brooklyn, Favorite: ,Brooklyn, 6758557   size:2.68,Price: ,1.5,Orlando, 13104   size:2.54,Price: ,1.78,x
1.122263560, Sport: ,Basketball, Time: ,Mon Dec 14 18:15:00 CET 2015, Time: ,Mon Dec 14 18:15:00 CET 2015, Event: ,Bakken v Naestved, Favorite: ,Bakken, 7224123   size:2.55,Price: ,1.25,Naestved, 6719080   size:2.55,Price: ,4.3,ok
1.122268451, Sport: ,Handball, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Montenegro v Angola, Favorite: ,Montenegro, 2261747   size:13689.95,Price: ,1.01,Angola, 620389   size:188.6,Price: ,55.0,Draw, 330157   size:2.65,Price: ,60.0,ok
1.122260336, Sport: ,Basketball, Time: ,Tue Dec 15 02:35:00 CET 2015, Time: ,Tue Dec 15 02:35:00 CET 2015, Event: ,Utah @ San Antonio, Favorite: ,San Antonio, 13121   size:2.54,Price: ,1.13,Utah, 13119   size:2.66,Price: ,6.4,ok
1.122247530, Sport: ,Basketball, Time: ,Mon Dec 14 11:00:00 CET 2015, Time: ,Mon Dec 14 11:00:00 CET 2015, Event: ,KDB Life Winnus v Woori Bank Hansae, Favorite: ,Woori Bank Hansae, 5154535   size:40.0,Price: ,1.24,KDB Life Winnus, 5166575   size:20.0,Price: ,4.7,ok
1.122260211, Sport: ,Basketball, Time: ,Tue Dec 15 01:35:00 CET 2015, Time: ,Tue Dec 15 01:35:00 CET 2015, Event: ,LA Clippers @ Detroit, Favorite: ,LA Clippers, 237489   size:2.65,Price: ,1.81,Detroit, 13111   size:27.37,Price: ,2.12,ok
1.122277554, Sport: ,Tennis, Time: ,Mon Dec 14 12:30:00 CET 2015, Time: ,Mon Dec 14 12:30:00 CET 2015, Event: ,Valeria Bhunu v Alexandra Riley, Favorite: ,Valeria Bhunu, 9628326   size:1408.44,Price: ,1.06,Alexandra Riley, 8961735   size:5.47,Price: ,7.4,ok
1.122277553, Sport: ,Tennis, Time: ,Mon Dec 14 09:30:00 CET 2015, Time: ,Mon Dec 14 09:30:00 CET 2015, Event: ,Nina Kolar v Xiaoxi Zhao, Favorite: ,Xiaoxi Zhao, 10554766   size:2145.33,Price: ,1.09,Nina Kolar, 10350136   size:7.58,Price: ,11.0,ok
1.122277552, Sport: ,Tennis, Time: ,Mon Dec 14 11:00:00 CET 2015, Time: ,Mon Dec 14 11:00:00 CET 2015, Event: ,Margarita Lazareva v Eden D Oliveira, Favorite: ,Margarita Lazareva, 7168429   size:1506.63,Price: ,1.1,Eden D Oliveira, 10601242   size:380.94,Price: ,1.13,ok
1.122247582, Sport: ,Basketball, Time: ,Mon Dec 14 20:30:00 CET 2015, Time: ,Mon Dec 14 20:30:00 CET 2015, Event: ,Gravelines v Pau Lacq Orthez, Favorite: ,Gravelines, 1293964   size:2.54,Price: ,1.17,Pau Lacq Orthez, 4999746   size:2.54,Price: ,5.3,ok
1.122277550, Sport: ,Tennis, Time: ,Mon Dec 14 09:30:00 CET 2015, Time: ,Mon Dec 14 09:30:00 CET 2015, Event: ,Osariemen Airhunmwunde v Ushna Suhail, Favorite: ,Ushna Suhail, 9627498   size:8.49,Price: ,1.2,Osariemen Airhunmwunde, 10601292   size:2.54,Price: ,4.9,ok
1.122163188, Sport: ,Soccer, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Everton U21 v Tottenham U21, Favorite: ,Everton U21, 6689709   size:2.29,Price: ,2.18,Tottenham U21, 6615322   size:2.21,Price: ,2.26,The Draw, 58805   size:2.52,Price: ,3.05,x
1.122163221, Sport: ,Soccer, Time: ,Mon Dec 14 20:00:00 CET 2015, Time: ,Mon Dec 14 20:00:00 CET 2015, Event: ,Man City U21 v Southampton U21, Favorite: ,Man City U21, 6584787   size:3.75,Price: ,1.7,Southampton U21, 6728422   size:50.2,Price: ,3.4,The Draw, 58805   size:53.04,Price: ,3.2,ok
1.122163186, Sport: ,Soccer, Time: ,Mon Dec 14 13:00:00 CET 2015, Time: ,Mon Dec 14 13:00:00 CET 2015, Event: ,Colchester U21 v QPR U21, Favorite: ,Colchester U21, 6820442   size:10.94,Price: ,1.16,QPR U21, 6808103   size:10.94,Price: ,1.36,The Draw, 58805   size:13.85,Price: ,3.15,x
1.122273515, Sport: ,Soccer, Time: ,Mon Dec 14 21:00:00 CET 2015, Time: ,Mon Dec 14 21:00:00 CET 2015, Event: ,Dumbarton U20 v Queen of South U20, Favorite: ,Queen of South U20, 9220053   size:4.42,Price: ,1.74,Dumbarton U20, 9220048   size:2.35,Price: ,3.3,The Draw, 58805   size:42.27,Price: ,4.0,x
1.122165769, Sport: ,Soccer, Time: ,Mon Dec 14 20:15:00 CET 2015, Time: ,Mon Dec 14 20:15:00 CET 2015, Event: ,Arminia Bielefeld v St Pauli, Favorite: ,Arminia Bielefeld, 347829   size:13.86,Price: ,2.8,St Pauli, 44526   size:14.25,Price: ,2.9,The Draw, 58805   size:2752.83,Price: ,3.25,x
1.122164955, Sport: ,Soccer, Time: ,Mon Dec 14 14:00:00 CET 2015, Time: ,Mon Dec 14 14:00:00 CET 2015, Event: ,Barnsley U21 v Nottm Forest U21, Favorite: ,Nottm Forest U21, 6815552   size:10.94,Price: ,1.13,Barnsley U21, 6667038   size:10.94,Price: ,1.32,The Draw, 58805   size:5.0,Price: ,2.9,x
