1.121959596, Sport: ,Cricket, Time: ,Sat Jan 02 09:30:00 CET 2016, Time: ,Sat Jan 02 09:30:00 CET 2016, Event: ,South Africa v England (2nd Test), Favorite: ,England, 10301   size:397.07,Price: ,2.34,South Africa, 349   size:654.22,Price: ,2.76,The Draw, 60443   size:1083.69,Price: ,4.6,x
1.122424767, Sport: ,Soccer, Time: ,Sat Jan 02 19:00:00 CET 2016, Time: ,Sat Jan 02 19:00:00 CET 2016, Event: ,CA Linense U20 v Sobradinho EC U20, Favorite: ,CA Linense U20, 9468404   size:3.82,Price: ,1.31,Sobradinho EC U20, 10676980   size:14.7,Price: ,5.9,The Draw, 58805   size:20.51,Price: ,4.5,x
1.122450063, Sport: ,Tennis, Time: ,Sat Jan 02 09:00:00 CET 2016, Time: ,Sat Jan 02 09:00:00 CET 2016, Event: ,B Becker v Cipolla, Favorite: ,Benjamin Becker, 2249398   size:9.22,Price: ,1.06,Flavio Cipolla, 2424788   size:5.99,Price: ,1.51,ok
1.122287933, Sport: ,American Football, Time: ,Sat Jan 02 21:20:00 CET 2016, Time: ,Sat Jan 02 21:20:00 CET 2016, Event: ,Kansas State v Arkansas, Favorite: ,Arkansas, 2583910   size:5.02,Price: ,1.22,Kansas State, 484726   size:5.0,Price: ,4.9,ok
1.122287936, Sport: ,American Football, Time: ,Sun Jan 03 00:45:00 CET 2016, Time: ,Sun Jan 03 00:45:00 CET 2016, Event: ,Oregon v TCU, Favorite: ,Oregon, 547399   size:68.68,Price: ,1.43,TCU, 567126   size:5.0,Price: ,3.15,x
1.122439846, Sport: ,Tennis, Time: ,Sat Jan 02 04:04:00 CET 2016, Time: ,Sat Jan 02 04:04:00 CET 2016, Event: ,Miedler v Congcar, Favorite: ,Lucas Miedler, 7797904   size:121.15,Price: ,1.01,Congsup Congcar, 8795655   size:184.57,Price: ,1.2,ok
1.122414603, Sport: ,Basketball, Time: ,Sat Jan 02 20:30:00 CET 2016, Time: ,Sat Jan 02 20:30:00 CET 2016, Event: ,Armani Milano v Dinamo Sassari, Favorite: ,Armani Milano, 952727   size:138.27,Price: ,1.28,Dinamo Sassari, 5520916   size:2.55,Price: ,4.0,ok
1.122429491, Sport: ,Soccer, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,UD Rotlet Molinar v CF Soller, Favorite: ,UD Rotlet Molinar, 8212936   size:10.0,Price: ,1.15,CF Soller, 8870825   size:10.0,Price: ,1.15,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.122415537, Sport: ,Basketball, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,Trabzonspor v Darussafaka, Favorite: ,Darussafaka, 631285   size:19.82,Price: ,1.66,Trabzonspor, 5048068   size:2.55,Price: ,2.32,x
1.122421090, Sport: ,Soccer, Time: ,Sat Jan 02 16:30:00 CET 2016, Time: ,Sat Jan 02 16:30:00 CET 2016, Event: ,Al Najma Manama v Manama, Favorite: ,Al Najma Manama, 5308020   size:10.0,Price: ,1.15,Manama, 9231968   size:10.0,Price: ,1.15,The Draw, 58805   size:2.72,Price: ,1.25,x
1.122381043, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Billericay Town v Leiston, Favorite: ,Billericay Town, 1034114   size:2.55,Price: ,2.14,Leiston, 3396719   size:2.7,Price: ,3.15,The Draw, 58805   size:2.7,Price: ,3.6,x
1.122417684, Sport: ,Mixed Martial Arts, Time: ,Sun Jan 03 02:00:00 CET 2016, Time: ,Sun Jan 03 02:00:00 CET 2016, Event: ,Holtzman v Dober, Favorite: ,Scott Holtzman, 10082297   size:2.65,Price: ,1.56,Drew Dober, 8066975   size:10.95,Price: ,2.48,x
1.122381041, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Staines Town v VCD Athletic, Favorite: ,Staines Town, 2608906   size:2.55,Price: ,2.48,VCD Athletic, 10525359   size:2.55,Price: ,2.48,The Draw, 58805   size:2.7,Price: ,3.55,x
1.122439231, Sport: ,Soccer, Time: ,Sat Jan 02 15:45:00 CET 2016, Time: ,Sat Jan 02 15:45:00 CET 2016, Event: ,CD River Ega v CA Osasuna II, Favorite: ,CD River Ega, 10238409   size:9.29,Price: ,1.06,CA Osasuna II, 9310975   size:9.29,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,1.25,x
1.122383865, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Morton v St Mirren, Favorite: ,Morton, 46283   size:11.21,Price: ,2.34,St Mirren, 674748   size:26.5,Price: ,3.25,The Draw, 58805   size:4.62,Price: ,3.5,x
1.122424896, Sport: ,Soccer, Time: ,Sat Jan 02 21:00:00 CET 2016, Time: ,Sat Jan 02 21:00:00 CET 2016, Event: ,Botafogo U20 v EC Sao Bento U20, Favorite: ,Botafogo U20, 5181561   size:2.55,Price: ,1.32,EC Sao Bento U20, 7328218   size:103.18,Price: ,6.6,The Draw, 58805   size:19.42,Price: ,4.7,ok
1.122381049, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Grays Athletic v East Thurrock, Favorite: ,Grays Athletic, 62644   size:2.55,Price: ,2.12,East Thurrock, 1338701   size:2.7,Price: ,2.98,The Draw, 58805   size:2.7,Price: ,3.6,x
1.122429546, Sport: ,Soccer, Time: ,Sat Jan 02 17:00:00 CET 2016, Time: ,Sat Jan 02 17:00:00 CET 2016, Event: ,Zalla UC v CD Vitoria, Favorite: ,Zalla UC, 6058005   size:47.23,Price: ,2.44,CD Vitoria, 6044983   size:44.16,Price: ,2.54,The Draw, 58805   size:35.06,Price: ,2.94,x
1.122423445, Sport: ,Soccer, Time: ,Sat Jan 02 22:00:00 CET 2016, Time: ,Sat Jan 02 22:00:00 CET 2016, Event: ,Internacional U20 v Botafogo SP U20, Favorite: ,Internacional U20, 6006866   size:3.05,Price: ,1.64,Botafogo SP U20, 7345608   size:3.98,Price: ,3.45,The Draw, 58805   size:3.9,Price: ,3.65,ok
1.122381047, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Enfield Town v Brentwood Town, Favorite: ,Enfield Town, 7133935   size:2.55,Price: ,1.6,Brentwood Town, 10296970   size:2.14,Price: ,4.8,The Draw, 58805   size:3.32,Price: ,3.9,ok
1.122441952, Sport: ,Soccer, Time: ,Sat Jan 02 15:00:00 CET 2016, Time: ,Sat Jan 02 15:00:00 CET 2016, Event: ,MO Bejaia v CRB Ain Fakroun, Favorite: ,MO Bejaia, 8300127   size:33.53,Price: ,1.02,CRB Ain Fakroun, 8951181   size:33.53,Price: ,1.02,The Draw, 58805   size:2.72,Price: ,1.25,ok
1.122407634, Sport: ,Soccer, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,Compostela v Arandina CF, Favorite: ,Compostela, 309090   size:2.7,Price: ,2.26,Arandina CF, 9320411   size:2.55,Price: ,2.92,The Draw, 58805   size:2.7,Price: ,3.2,x
1.122400160, Sport: ,Rugby Union, Time: ,Sat Jan 02 14:30:00 CET 2016, Time: ,Sat Jan 02 14:30:00 CET 2016, Event: ,Agen v Clermont, Favorite: ,Clermont, 1275770   size:5.99,Price: ,1.54,Agen, 690999   size:5.0,Price: ,3.0,Draw, 246289   size:23.4,Price: ,22.0,ok
1.122439918, Sport: ,Tennis, Time: ,Sat Jan 02 07:30:00 CET 2016, Time: ,Sat Jan 02 07:30:00 CET 2016, Event: ,Mektic v Kaewsuto, Favorite: ,Nikola Mektic, 3658467   size:4.52,Price: ,1.06,Chayanon Kaewsuto, 7689549   size:4.52,Price: ,1.06,ok
1.122441829, Sport: ,Soccer, Time: ,Sat Jan 02 09:30:00 CET 2016, Time: ,Sat Jan 02 09:30:00 CET 2016, Event: ,Maccabi Kiryat Ata U19 v Hapoel Kfar Saba U19, Favorite: ,Hapoel Kfar Saba U19, 6939835   size:2.55,Price: ,1.38,Maccabi Kiryat Ata U19, 10617275   size:2.55,Price: ,2.24,The Draw, 58805   size:5.0,Price: ,3.65,x
