1.122494401, Sport: ,Soccer, Time: ,Fri Jan 15 19:00:00 CET 2016, Time: ,Fri Jan 15 19:00:00 CET 2016, Event: ,Wehen Wiesbaden v Braunschweig, Favorite: ,Wehen Wiesbaden, 6500322   size:7.87,Price: ,1.07,Braunschweig, 199184   size:4.59,Price: ,1.12,The Draw, 58805   size:15.88,Price: ,2.88,x
1.122571371, Sport: ,Ice Hockey, Time: ,Fri Jan 15 19:30:00 CET 2016, Time: ,Fri Jan 15 19:30:00 CET 2016, Event: ,Gentofte Stars v Rungsted Ishockey, Favorite: ,Rungsted Ishockey, 10651673   size:14.78,Price: ,2.28,Gentofte Stars, 8870557   size:13.58,Price: ,2.4,Tie, 60104   size:6.01,Price: ,4.3,ok
1.122507405, Sport: ,Soccer, Time: ,Sat Jan 16 04:30:00 CET 2016, Time: ,Sat Jan 16 04:30:00 CET 2016, Event: ,Coras Tepic v Cafetaleros, Favorite: ,Coras Tepic, 8692848   size:4.15,Price: ,1.71,Cafetaleros, 9988646   size:2.03,Price: ,4.0,The Draw, 58805   size:2.37,Price: ,3.4,x
1.122492227, Sport: ,Soccer, Time: ,Fri Jan 15 20:00:00 CET 2016, Time: ,Fri Jan 15 20:00:00 CET 2016, Event: ,Dijon v Bourg-Peronnas, Favorite: ,Dijon, 305995   size:262.1,Price: ,1.84,Bourg-Peronnas, 676431   size:35.1,Price: ,5.1,The Draw, 58805   size:141.05,Price: ,3.75,ok
1.122579897, Sport: ,Soccer, Time: ,Fri Jan 15 15:00:00 CET 2016, Time: ,Fri Jan 15 15:00:00 CET 2016, Event: ,JSM Bejaia v JSM Skikda, Favorite: ,JSM Bejaia, 8036605   size:4.27,Price: ,1.6,JSM Skikda, 8096636   size:15.95,Price: ,5.5,The Draw, 58805   size:3.98,Price: ,3.45,x
1.122468359, Sport: ,Basketball, Time: ,Sat Jan 16 01:00:00 CET 2016, Time: ,Sat Jan 16 01:00:00 CET 2016, Event: ,George Washington @ Dayton, Favorite: ,George Washington, 751441   size:12.64,Price: ,1.03,Dayton, 352103   size:12.64,Price: ,1.03,x
1.122571374, Sport: ,Ice Hockey, Time: ,Fri Jan 15 19:30:00 CET 2016, Time: ,Fri Jan 15 19:30:00 CET 2016, Event: ,Herning Blue Fox v IK Sonderjyske, Favorite: ,IK Sonderjyske, 1049234   size:14.0,Price: ,2.36,Herning Blue Fox, 2513298   size:13.81,Price: ,2.38,Tie, 60104   size:6.19,Price: ,4.2,x
1.122571377, Sport: ,Ice Hockey, Time: ,Fri Jan 15 19:00:00 CET 2016, Time: ,Fri Jan 15 19:00:00 CET 2016, Event: ,Rodovre Mighty Bulls v Esbjerg Energy, Favorite: ,Rodovre Mighty Bulls, 2584385   size:2.37,Price: ,2.1,Esbjerg Energy, 10179230   size:11.99,Price: ,2.62,Tie, 60104   size:5.77,Price: ,4.5,x
1.122578440, Sport: ,Soccer, Time: ,Fri Jan 15 13:35:00 CET 2016, Time: ,Fri Jan 15 13:35:00 CET 2016, Event: ,Jeonbuk Motors v Dortmund, Favorite: ,Dortmund, 44785   size:229.04,Price: ,1.27,Jeonbuk Motors, 2224159   size:42.69,Price: ,11.0,The Draw, 58805   size:39.14,Price: ,7.6,ok
1.122581861, Sport: ,Soccer, Time: ,Fri Jan 15 19:15:00 CET 2016, Time: ,Fri Jan 15 19:15:00 CET 2016, Event: ,Club Santos Laguna U20 v Jaguares de Chiapas U20, Favorite: ,Club Santos Laguna U20, 6144871   size:3.28,Price: ,1.4,Jaguares de Chiapas U20, 5232579   size:14.86,Price: ,5.7,The Draw, 58805   size:3.59,Price: ,4.3,ok
1.122584577, Sport: ,Soccer, Time: ,Sat Jan 16 01:00:00 CET 2016, Time: ,Sat Jan 16 01:00:00 CET 2016, Event: ,Universitario (Sucre) v Real Potosi, Favorite: ,Universitario (Sucre), 8858487   size:4.19,Price: ,1.22,Real Potosi, 2295425   size:25.33,Price: ,7.0,The Draw, 58805   size:2.37,Price: ,4.6,x
1.122571383, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,RoKi v Heinolan Peliitat, Favorite: ,Heinolan Peliitat, 6022874   size:2.04,Price: ,2.24,Roki, 10672367   size:6.92,Price: ,2.38,Tie, 60104   size:111.43,Price: ,4.0,x
