1.121488737, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Ayr U20 v Queens Park U20, Favorite: ,Ayr U20, 9220049   size:222.0,Price: ,1.08,Queens Park U20, 8983806   size:24.0,Price: ,3.2,The Draw, 58805   size:22.0,Price: ,3.0
1.121485491, Sport: ,Tennis, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Uchida v El Mihdawy, Favorite: ,Adam El Mihdawy, 8428926   size:8.43,Price: ,1.87,Kaichi Uchida, 8957119   size:5.69,Price: ,2.02
1.121367259, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Oostende v Genk, Favorite: ,Oostende, 505717   size:2.55,Price: ,2.6,Genk, 14072   size:178.46,Price: ,3.05,The Draw, 58805   size:1224.44,Price: ,3.2
1.121485487, Sport: ,Tennis, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,M Arevalo v Patino, Favorite: ,Marcelo Arevalo, 7430966   size:270.65,Price: ,1.21,Luis Patino, 7083127   size:2.55,Price: ,4.8
1.121367355, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Lokeren v Gent, Favorite: ,Gent, 350594   size:2.77,Price: ,2.4,Lokeren, 43430   size:2.77,Price: ,3.5,The Draw, 58805   size:168.47,Price: ,3.2
1.121367451, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Mouscron v Westerlo, Favorite: ,Mouscron, 67186   size:2.42,Price: ,1.06,Westerlo, 51406   size:44.03,Price: ,1.82,The Draw, 58805   size:2.42,Price: ,1.06
1.121416327, Sport: ,Volleyball, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Hermes Oostende v Dinamo Krasnodar, Favorite: ,Dinamo Krasnodar, 5326346   size:32.94,Price: ,1.01,Hermes Oostende, 10410556   size:1115.37,Price: ,1.11
1.121481423, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Workington v Skelmersdale United FC, Favorite: ,Workington, 1222684   size:2.42,Price: ,1.06,Skelmersdale United FC, 7727722   size:2.42,Price: ,1.06,The Draw, 58805   size:2.42,Price: ,1.06
1.121481296, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Crewe Alexandra FC B v Witton Albion, Favorite: ,Crewe Alexandra FC B, 8894674   size:3.0,Price: ,1.03,Witton Albion, 2097812   size:3.0,Price: ,1.03,The Draw, 58805   size:2.42,Price: ,1.06
1.121488999, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Ards v Larne, Favorite: ,Ards, 539987   size:137.33,Price: ,1.06,Larne, 539984   size:137.33,Price: ,1.06,The Draw, 58805   size:8.82,Price: ,2.9
