1.121638603, Sport: ,Soccer, Time: ,Wed Nov 11 00:30:00 CET 2015, Time: ,Wed Nov 11 00:30:00 CET 2015, Event: ,Luverdense v Botafogo RJ, Favorite: ,Botafogo RJ, 786906   size:49.13,Price: ,2.72,Luverdense, 4525645   size:3.2,Price: ,2.88,The Draw, 58805   size:819.44,Price: ,3.4,ok
1.121747524, Sport: ,Tennis, Time: ,Wed Nov 11 06:30:00 CET 2015, Time: ,Wed Nov 11 06:30:00 CET 2015, Event: ,Kudryavtsev v T Daniel, Favorite: ,Taro Daniel, 8173434   size:2.55,Price: ,1.51,Alexander Kudryavtsev, 5908538   size:8.71,Price: ,2.62,ok
1.121638796, Sport: ,Soccer, Time: ,Wed Nov 11 00:30:00 CET 2015, Time: ,Wed Nov 11 00:30:00 CET 2015, Event: ,Santa Cruz PE v Oeste, Favorite: ,Santa Cruz PE, 6132724   size:86.85,Price: ,1.42,Oeste, 3618374   size:30.04,Price: ,10.0,The Draw, 58805   size:53.27,Price: ,5.0,ok
1.121724732, Sport: ,Tennis, Time: ,Wed Nov 11 06:30:00 CET 2015, Time: ,Wed Nov 11 06:30:00 CET 2015, Event: ,Bai/Li v Ghedin/Robert, Favorite: ,Bai/Li, 10506892   size:2.55,Price: ,1.64,Ghedin/Robert, 10506893   size:2.55,Price: ,1.74,ok
1.121723844, Sport: ,Basketball, Time: ,Tue Nov 10 23:00:00 CET 2015, Time: ,Tue Nov 10 23:00:00 CET 2015, Event: ,Mogi v Caxias do Sul, Favorite: ,Mogi, 8948840   size:184.81,Price: ,1.13,Caxias do Sul, 10484471   size:11.17,Price: ,5.1,ok
1.121723843, Sport: ,Basketball, Time: ,Tue Nov 10 22:30:00 CET 2015, Time: ,Tue Nov 10 22:30:00 CET 2015, Event: ,Minas v Franca, Favorite: ,Minas, 8948839   size:136.0,Price: ,1.55,Franca, 8948836   size:49.0,Price: ,2.52,x
1.121664426, Sport: ,Basketball, Time: ,Wed Nov 11 01:00:00 CET 2015, Time: ,Wed Nov 11 01:00:00 CET 2015, Event: ,Ferro Carril Oeste v Argentino, Favorite: ,Ferro Carril Oeste, 10312212   size:2.55,Price: ,1.31,Argentino, 6719106   size:2.55,Price: ,3.75,ok
1.121638315, Sport: ,Soccer, Time: ,Wed Nov 11 00:30:00 CET 2015, Time: ,Wed Nov 11 00:30:00 CET 2015, Event: ,Bahia v ABC, Favorite: ,Bahia, 198139   size:49.64,Price: ,1.34,abc, 3794139   size:42.42,Price: ,12.5,The Draw, 58805   size:132.93,Price: ,5.6,x
1.121723845, Sport: ,Basketball, Time: ,Tue Nov 10 23:00:00 CET 2015, Time: ,Tue Nov 10 23:00:00 CET 2015, Event: ,Sao Jose v Pinheiros, Favorite: ,Sao Jose, 7072335   size:214.0,Price: ,1.35,Pinheiros, 6733502   size:2.55,Price: ,3.35,x
1.121724739, Sport: ,Tennis, Time: ,Wed Nov 11 08:15:00 CET 2015, Time: ,Wed Nov 11 08:15:00 CET 2015, Event: ,Ochi/Tanuma v Kondo/Onishi, Favorite: ,Ochi/Tanuma, 10506898   size:2.55,Price: ,1.85,Kondo/Onishi, 10506899   size:2.55,Price: ,1.85,x
1.121695987, Sport: ,Ice Hockey, Time: ,Wed Nov 11 01:30:00 CET 2015, Time: ,Wed Nov 11 01:30:00 CET 2015, Event: ,Buffalo @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:115.56,Price: ,1.84,Buffalo, 4427593   size:105.59,Price: ,4.1,Tie, 60104   size:10.54,Price: ,4.4,x
1.121695942, Sport: ,Ice Hockey, Time: ,Wed Nov 11 01:00:00 CET 2015, Time: ,Wed Nov 11 01:00:00 CET 2015, Event: ,Colorado @ Philadelphia, Favorite: ,Philadelphia, 2109791   size:5.0,Price: ,2.36,Colorado, 2108117   size:4.15,Price: ,2.92,Tie, 60104   size:318.82,Price: ,4.0,x
1.121733968, Sport: ,Basketball, Time: ,Wed Nov 11 01:00:00 CET 2015, Time: ,Wed Nov 11 01:00:00 CET 2015, Event: ,Utah @ Cleveland, Favorite: ,Cleveland, 13112   size:791.99,Price: ,1.41,Utah, 13119   size:28.77,Price: ,3.4,ok
1.121732714, Sport: ,Tennis, Time: ,Tue Nov 10 23:30:00 CET 2015, Time: ,Tue Nov 10 23:30:00 CET 2015, Event: ,L Valero v Tiafoe, Favorite: ,Frances Tiafoe, 9399490   size:17.08,Price: ,1.06,Luis Valero, 8964097   size:5.69,Price: ,14.0,ok
1.121730217, Sport: ,Soccer, Time: ,Tue Nov 10 21:00:00 CET 2015, Time: ,Tue Nov 10 21:00:00 CET 2015, Event: ,Airdrieonians U20 v Dumbarton U20, Favorite: ,Airdrieonians U20, 9220054   size:27.94,Price: ,1.26,Dumbarton U20, 9220048   size:3.42,Price: ,6.6,The Draw, 58805   size:6.39,Price: ,4.6,ok
1.121664427, Sport: ,Basketball, Time: ,Wed Nov 11 01:30:00 CET 2015, Time: ,Wed Nov 11 01:30:00 CET 2015, Event: ,Regatas v Estudiantes (C), Favorite: ,Regatas, 6718792   size:6.07,Price: ,1.12,Estudiantes (C), 7753473   size:4.0,Price: ,7.6,ok
1.121716432, Sport: ,Tennis, Time: ,Wed Nov 11 03:00:00 CET 2015, Time: ,Wed Nov 11 03:00:00 CET 2015, Event: ,Skugor v B Klein, Favorite: ,Franko Skugor, 2862839   size:2.64,Price: ,1.66,Brydan Klein, 2759763   size:4.42,Price: ,2.32,x
1.121734776, Sport: ,Tennis, Time: ,Wed Nov 11 08:00:00 CET 2015, Time: ,Wed Nov 11 08:00:00 CET 2015, Event: ,F Liu v Amanmuradova, Favorite: ,Fangzhou Liu, 8174145   size:95.99,Price: ,1.63,Akgul Amanmuradova, 2301144   size:76.6,Price: ,2.3,ok
