1.121971989, Sport: ,Soccer, Time: ,Sat Nov 28 17:30:00 CET 2015, Time: ,Sat Nov 28 17:30:00 CET 2015, Event: ,Ittihad Tanger v Olympic Safi, Favorite: ,Ittihad Tanger, 8717798   size:19.72,Price: ,2.02,Olympic Safi, 6666958   size:2.0,Price: ,4.5,The Draw, 58805   size:10.86,Price: ,3.1,x
1.121989940, Sport: ,Basketball, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Vojvodina v Borac, Favorite: ,Borac, 8400163   size:2.55,Price: ,1.76,Vojvodina, 1275949   size:2.55,Price: ,1.93,ok
1.122060603, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Coria CF v CD Utrera, Favorite: ,Coria CF, 6450526   size:5.08,Price: ,1.05,CD Utrera, 10185250   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,x
1.121914555, Sport: ,Handball, Time: ,Sat Nov 28 17:30:00 CET 2015, Time: ,Sat Nov 28 17:30:00 CET 2015, Event: ,Celje Pivovarna Lasko v Kiel, Favorite: ,Kiel, 2027628   size:1060.31,Price: ,1.36,Celje Pivovarna Lasko, 623997   size:141.37,Price: ,3.7,Draw, 330157   size:38.17,Price: ,11.0,x
1.121895153, Sport: ,Soccer, Time: ,Sat Nov 28 20:30:00 CET 2015, Time: ,Sat Nov 28 20:30:00 CET 2015, Event: ,Oeste v Paysandu, Favorite: ,Oeste, 3618374   size:52.58,Price: ,1.82,Paysandu, 189951   size:124.8,Price: ,5.1,The Draw, 58805   size:152.78,Price: ,3.9,x
1.122061651, Sport: ,Soccer, Time: ,Sun Nov 29 11:45:00 CET 2015, Time: ,Sun Nov 29 11:45:00 CET 2015, Event: ,UD Maracena v CD Rincon, Favorite: ,UD Maracena, 7895800   size:5.08,Price: ,1.05,CD Rincon, 10185082   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,ok
1.121970137, Sport: ,American Football, Time: ,Sat Nov 28 20:30:00 CET 2015, Time: ,Sat Nov 28 20:30:00 CET 2015, Event: ,Colorado @ Utah, Favorite: ,Utah, 532780   size:4.75,Price: ,1.16,Colorado, 998003   size:8.75,Price: ,6.0,ok
1.122027105, Sport: ,Soccer, Time: ,Sun Nov 29 00:15:00 CET 2015, Time: ,Sun Nov 29 00:15:00 CET 2015, Event: ,Lanus v Gimnasia La Plata, Favorite: ,Lanus, 194513   size:5.0,Price: ,2.5,Gimnasia La Plata, 1213581   size:60.26,Price: ,3.35,The Draw, 58805   size:106.17,Price: ,3.1,ok
1.121888334, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hampton and Richmond v Maidstone Utd, Favorite: ,The Draw, 58805   size:3.97,Price: ,1.25,Hampton and Richmond, 2439369   size:2.55,Price: ,3.7,Maidstone Utd, 6555176   size:2.55,Price: ,1.95,x
1.121967366, Sport: ,Handball, Time: ,Sat Nov 28 19:00:00 CET 2015, Time: ,Sat Nov 28 19:00:00 CET 2015, Event: ,N Lubbecke v Lemgo, Favorite: ,Lemgo, 2201967   size:18.0,Price: ,1.04,N Lubbecke, 4196313   size:7.59,Price: ,1.68,Draw, 330157   size:18.0,Price: ,1.04,ok
