1.122191078, Sport: ,Volleyball, Time: ,Wed Dec 09 18:00:00 CET 2015, Time: ,Wed Dec 09 18:00:00 CET 2015, Event: ,AO Kifisias v Foinikas Syroy, Favorite: ,AO Kifisias, 2569563   size:2.75,Price: ,1.03,Foinikas Syroy, 4353342   size:2.75,Price: ,1.03,ok
1.122164011, Sport: ,Soccer, Time: ,Wed Dec 09 16:30:00 CET 2015, Time: ,Wed Dec 09 16:30:00 CET 2015, Event: ,Beroe Stara Za v Cherno More, Favorite: ,Beroe Stara Za, 4127866   size:14.45,Price: ,1.96,Cherno More, 427650   size:2.64,Price: ,4.5,The Draw, 58805   size:3.83,Price: ,3.45,x
1.122166799, Sport: ,Basketball, Time: ,Thu Dec 10 01:35:00 CET 2015, Time: ,Thu Dec 10 01:35:00 CET 2015, Event: ,San Antonio @ Toronto, Favorite: ,San Antonio, 13121   size:3.31,Price: ,1.48,Toronto, 13113   size:2.01,Price: ,2.48,x
1.122109123, Sport: ,Soccer, Time: ,Wed Dec 09 16:00:00 CET 2015, Time: ,Wed Dec 09 16:00:00 CET 2015, Event: ,Atletico CP v Farense, Favorite: ,Atletico CP, 5037331   size:10.3,Price: ,2.36,Farense, 48788   size:6.57,Price: ,3.65,The Draw, 58805   size:314.83,Price: ,3.15,x
1.122123422, Sport: ,Handball, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Montpellier v Ivry, Favorite: ,Montpellier, 3379953   size:2.75,Price: ,1.03,Ivry, 4292473   size:15.99,Price: ,1.16,Draw, 330157   size:15.99,Price: ,1.77,ok
1.122123423, Sport: ,Handball, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Dunkerque v Saint Raphael, Favorite: ,Saint Raphael, 3786983   size:18.0,Price: ,1.12,Dunkerque, 3786987   size:8.79,Price: ,1.57,Draw, 330157   size:18.0,Price: ,1.22,ok
1.122197174, Sport: ,Soccer, Time: ,Wed Dec 09 16:20:00 CET 2015, Time: ,Wed Dec 09 16:20:00 CET 2015, Event: ,Najran (KSA) v Al-Faisaly (KSA), Favorite: ,Al-Faisaly (KSA), 7899434   size:2.55,Price: ,1.75,Najran (KSA), 7857483   size:2.55,Price: ,3.75,The Draw, 58805   size:4.28,Price: ,3.7,ok
1.122199591, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Ronke Akingbade v Ulrikke Eikeri, Favorite: ,Ulrikke Eikeri, 8679187   size:5.24,Price: ,1.05,Ronke Akingbade, 10601293   size:9.16,Price: ,13.0,ok
1.122123421, Sport: ,Handball, Time: ,Wed Dec 09 20:30:00 CET 2015, Time: ,Wed Dec 09 20:30:00 CET 2015, Event: ,Chartres v Creteil, Favorite: ,Chartres, 10169935   size:2.75,Price: ,1.03,Creteil, 4292472   size:2.75,Price: ,1.03,Draw, 330157   size:75.0,Price: ,1.04,x
1.122199590, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Ines Murta v Prarthana G Thombare, Favorite: ,Ines Murta, 8490637   size:6.87,Price: ,1.08,Prarthana G Thombare, 9002344   size:6.87,Price: ,1.08,x
1.122134847, Sport: ,Soccer, Time: ,Wed Dec 09 18:30:00 CET 2015, Time: ,Wed Dec 09 18:30:00 CET 2015, Event: ,Le Mont v Biel-Bienne, Favorite: ,Le Mont, 4976338   size:8.7,Price: ,2.42,Biel-Bienne, 6494650   size:8.08,Price: ,2.92,The Draw, 58805   size:4.54,Price: ,3.45,x
1.122112530, Sport: ,Ice Hockey, Time: ,Wed Dec 09 20:00:00 CET 2015, Time: ,Wed Dec 09 20:00:00 CET 2015, Event: ,Medvescak Zagreb v Lokomotiv, Favorite: ,Lokomotiv, 2240051   size:59.0,Price: ,2.08,Medvescak Zagreb, 4182882   size:3.35,Price: ,3.2,Tie, 60104   size:63.99,Price: ,4.2,x
