1.121143547, Sport: ,Handball, Time: ,Sun Oct 11 17:00:00 CEST 2015, Time: ,Sun Oct 11 17:00:00 CEST 2015, Event: ,Paris Saint German v Zagreb, Favorite: ,Paris Saint German, 8835235   size:5.12,Price: ,1.01,Zagreb, 4292683   size:5.12,Price: ,1.01,Draw, 330157   size:5.12,Price: ,1.01
1.121075108, Sport: ,Volleyball, Time: ,Sun Oct 11 17:00:00 CEST 2015, Time: ,Sun Oct 11 17:00:00 CEST 2015, Event: ,Belarus v Poland, Favorite: ,Poland, 678742   size:678.97,Price: ,1.01,Belarus, 2550291   size:18.0,Price: ,1.14
1.121114969, Sport: ,Ice Hockey, Time: ,Sun Oct 11 17:30:00 CEST 2015, Time: ,Sun Oct 11 17:30:00 CEST 2015, Event: ,Innsbruck v Dornbirn, Favorite: ,Innsbruck, 563236   size:5.72,Price: ,2.22,Dornbirn, 6602890   size:5.72,Price: ,2.44,Tie, 60104   size:113.84,Price: ,4.0
1.121041644, Sport: ,Soccer, Time: ,Sun Oct 11 17:30:00 CEST 2015, Time: ,Sun Oct 11 17:30:00 CEST 2015, Event: ,Martina Franca v Juve Stabia, Favorite: ,Juve Stabia, 1270340   size:2.23,Price: ,2.76,Martina Franca, 8188317   size:2.6,Price: ,2.84,The Draw, 58805   size:9.23,Price: ,3.05
1.121114979, Sport: ,Ice Hockey, Time: ,Sun Oct 11 17:30:00 CEST 2015, Time: ,Sun Oct 11 17:30:00 CEST 2015, Event: ,Olimpija Ljubljana v SAPA Fehervar AV19, Favorite: ,SAPA Fehervar AV19, 4182888   size:38.75,Price: ,2.02,Olimpija Ljubljana, 2513196   size:18.51,Price: ,2.82,Tie, 60104   size:117.71,Price: ,3.9
1.121114987, Sport: ,Ice Hockey, Time: ,Sun Oct 11 17:30:00 CEST 2015, Time: ,Sun Oct 11 17:30:00 CEST 2015, Event: ,Graz 99ers v Liwest Linz, Favorite: ,Liwest Linz, 1266781   size:5.72,Price: ,1.94,Graz 99ers, 748396   size:22.74,Price: ,2.98,Tie, 60104   size:9.62,Price: ,4.5
1.121075118, Sport: ,Volleyball, Time: ,Sun Oct 11 18:00:00 CEST 2015, Time: ,Sun Oct 11 18:00:00 CEST 2015, Event: ,France v Italy, Favorite: ,Italy, 1176459   size:5.72,Price: ,1.76,France, 678721   size:2.55,Price: ,2.08
1.121075125, Sport: ,Volleyball, Time: ,Sun Oct 11 18:00:00 CEST 2015, Time: ,Sun Oct 11 18:00:00 CEST 2015, Event: ,Serbia v Russia, Favorite: ,Russia, 678741   size:8.27,Price: ,1.43,Serbia, 2010254   size:18.51,Price: ,2.82
1.121075122, Sport: ,Volleyball, Time: ,Sun Oct 11 19:45:00 CEST 2015, Time: ,Sun Oct 11 19:45:00 CEST 2015, Event: ,Netherlands v Bulgaria, Favorite: ,Bulgaria, 678720   size:55.11,Price: ,1.34,Netherlands, 678723   size:14.97,Price: ,3.25
1.121111308, Sport: ,Basketball, Time: ,Sun Oct 11 21:00:00 CEST 2015, Time: ,Sun Oct 11 21:00:00 CEST 2015, Event: ,Union Olimpija v Krka, Favorite: ,Union Olimpija, 266278   size:8.21,Price: ,1.03,Krka, 3315294   size:8.21,Price: ,1.03
1.121181900, Sport: ,Soccer, Time: ,Sun Oct 11 11:00:00 CEST 2015, Time: ,Sun Oct 11 11:00:00 CEST 2015, Event: ,FK Bayterek Astana v FK CSKA Almaty, Favorite: ,FK Bayterek Astana, 7375956   size:2.55,Price: ,1.46,FK CSKA Almaty, 7375974   size:2.55,Price: ,1.46,The Draw, 58805   size:5.0,Price: ,3.55
1.121103929, Sport: ,Soccer, Time: ,Sun Oct 11 11:30:00 CEST 2015, Time: ,Sun Oct 11 11:30:00 CEST 2015, Event: ,Almeria B v Marbella, Favorite: ,Almeria B, 5756672   size:37.94,Price: ,2.36,Marbella, 2250362   size:12.25,Price: ,3.75,The Draw, 58805   size:5.0,Price: ,3.1
1.121177863, Sport: ,Soccer, Time: ,Sun Oct 11 11:30:00 CEST 2015, Time: ,Sun Oct 11 11:30:00 CEST 2015, Event: ,Muleno CF v Club Atletico Pulpileno, Favorite: ,Muleno CF, 8343595   size:3.52,Price: ,1.07,Club Atletico Pulpileno, 8041147   size:3.52,Price: ,1.07,The Draw, 58805   size:31.25,Price: ,1.32
