1.122447927, Sport: ,Tennis, Time: ,Sat Jan 02 14:00:00 CET 2016, Time: ,Sat Jan 02 14:00:00 CET 2016, Event: ,Stan Wawrinka v David Ferrer, Favorite: ,Stan Wawrinka, 8597476   size:2.55,Price: ,1.64,David Ferrer, 2257314   size:1117.34,Price: ,2.1,x
1.122381035, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Hapoel Raanana v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 197970   size:5.97,Price: ,1.53,Hapoel Raanana, 5281185   size:10.45,Price: ,5.7,The Draw, 58805   size:7.17,Price: ,3.95,ok
1.122381155, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Nantwich Town v Whitby Town, Favorite: ,Nantwich Town, 1433861   size:5.93,Price: ,1.52,Whitby Town, 62653   size:2.55,Price: ,5.0,The Draw, 58805   size:3.98,Price: ,4.4,x
1.122439909, Sport: ,Tennis, Time: ,Sat Jan 02 09:15:00 CET 2016, Time: ,Sat Jan 02 09:15:00 CET 2016, Event: ,Vatutin v C Tanasugarn, Favorite: ,Alexey Vatutin, 7797764   size:9.19,Price: ,1.06,Chaleechan Tanasugarn, 8795635   size:9.19,Price: ,1.06,ok
1.122439866, Sport: ,Tennis, Time: ,Sat Jan 02 05:45:00 CET 2016, Time: ,Sat Jan 02 05:45:00 CET 2016, Event: ,Giustino v Ivashka, Favorite: ,Lorenzo Giustino, 7534093   size:9.19,Price: ,1.06,Ilya Ivashka, 8304047   size:9.19,Price: ,1.06,x
1.122410025, Sport: ,Darts, Time: ,Fri Jan 01 20:30:00 CET 2016, Time: ,Fri Jan 01 20:30:00 CET 2016, Event: ,Van Barneveld v M Smith, Favorite: ,Raymond van Barneveld, 2401318   size:506.05,Price: ,1.98,Michael Smith, 3066962   size:5347.84,Price: ,2.0,ok
1.122429271, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,DHJ El Jadida v FAR Rabat, Favorite: ,DHJ El Jadida, 6845213   size:4.99,Price: ,1.91,FAR Rabat, 6670769   size:4.99,Price: ,2.56,The Draw, 58805   size:12.5,Price: ,2.22,x
1.122445413, Sport: ,Tennis, Time: ,Sat Jan 02 11:45:00 CET 2016, Time: ,Sat Jan 02 11:45:00 CET 2016, Event: ,San Singh v Myneni, Favorite: ,Sanam Singh, 6596565   size:5.51,Price: ,1.1,Saketh Myneni, 7445661   size:5.51,Price: ,1.1,x
1.122381065, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Cheltenham v Kidderminster, Favorite: ,Cheltenham, 18559   size:542.73,Price: ,1.32,Kidderminster, 18560   size:6.45,Price: ,11.5,The Draw, 58805   size:29.29,Price: ,6.0,x
1.122382791, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Bolton v Huddersfield, Favorite: ,Huddersfield, 78984   size:72.15,Price: ,2.72,Bolton, 48322   size:78.07,Price: ,2.88,The Draw, 58805   size:64.42,Price: ,3.45,ok
1.122381063, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Braintree v Boreham Wood, Favorite: ,Braintree, 1282860   size:100.07,Price: ,1.91,Boreham Wood, 256120   size:350.72,Price: ,4.5,The Draw, 58805   size:2.69,Price: ,3.65,x
1.122383643, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Dumbarton v Rangers, Favorite: ,Rangers, 56085   size:28.78,Price: ,1.23,Dumbarton, 2152   size:2.0,Price: ,13.5,The Draw, 58805   size:9.33,Price: ,6.0,ok
1.122381061, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Tonbridge Angels v Dulwich Hamlet, Favorite: ,Tonbridge Angels, 1034135   size:195.68,Price: ,2.28,Dulwich Hamlet, 7744599   size:2.69,Price: ,2.72,The Draw, 58805   size:29.65,Price: ,3.35,x
1.122381986, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Kilmarnock v Hearts, Favorite: ,Hearts, 47993   size:368.66,Price: ,1.83,Kilmarnock, 56086   size:51.23,Price: ,4.9,The Draw, 58805   size:107.7,Price: ,3.95,x
1.122400144, Sport: ,Rugby Union, Time: ,Sat Jan 02 18:30:00 CET 2016, Time: ,Sat Jan 02 18:30:00 CET 2016, Event: ,Sale v Wasps, Favorite: ,Sale Sharks, 5972677   size:2.61,Price: ,1.97,London Wasps, 4844433   size:2.61,Price: ,2.02,Draw, 246289   size:21.74,Price: ,23.0,ok
1.122429326, Sport: ,Soccer, Time: ,Sat Jan 02 10:30:00 CET 2016, Time: ,Sat Jan 02 10:30:00 CET 2016, Event: ,ONGC v Mumbai, Favorite: ,ONGC, 6719086   size:4.59,Price: ,1.12,Mumbai, 5969072   size:4.59,Price: ,1.12,The Draw, 58805   size:9.99,Price: ,3.55,x
1.122429601, Sport: ,Soccer, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,UD San Fernando v CD Santa Ursula, Favorite: ,UD San Fernando, 10185305   size:9.99,Price: ,1.15,CD Santa Ursula, 8822719   size:9.99,Price: ,1.15,The Draw, 58805   size:2.71,Price: ,1.25,x
1.122445417, Sport: ,Tennis, Time: ,Sat Jan 02 13:30:00 CET 2016, Time: ,Sat Jan 02 13:30:00 CET 2016, Event: ,Kudryavtsev v Nielsen, Favorite: ,Alexander Kudryavtsev, 5908538   size:5.51,Price: ,1.1,Frederik Nielsen, 2444574   size:5.51,Price: ,1.1,ok
