1.121722358, Sport: ,Soccer, Time: ,Mon Nov 09 21:00:00 CET 2015, Time: ,Mon Nov 09 21:00:00 CET 2015, Event: ,Queens Park U20 v Queen of South U20, Favorite: ,Queen of South U20, 9220053   size:7.68,Price: ,1.66,Queens Park U20, 8983806   size:7.56,Price: ,1.79,The Draw, 58805   size:7.97,Price: ,2.88,x
1.121495113, Sport: ,American Football, Time: ,Tue Nov 10 02:30:00 CET 2015, Time: ,Tue Nov 10 02:30:00 CET 2015, Event: ,Chicago @ San Diego, Favorite: ,San Diego Chargers, 50215   size:223.27,Price: ,1.49,Chicago Bears, 50194   size:32.3,Price: ,3.0,x
1.121724737, Sport: ,Tennis, Time: ,Tue Nov 10 08:15:00 CET 2015, Time: ,Tue Nov 10 08:15:00 CET 2015, Event: ,Matsui/Rungkat v Chen/Skugor, Favorite: ,Chen/Skugor, 10082607   size:3.01,Price: ,1.71,Matsui/Rungkat, 10458488   size:2.6,Price: ,1.99,ok
1.121720172, Sport: ,Darts, Time: ,Mon Nov 09 21:30:00 CET 2015, Time: ,Mon Nov 09 21:30:00 CET 2015, Event: ,Gary Anderson v Andy Boulton, Favorite: ,Gary Anderson, 2409760   size:15167.36,Price: ,1.1,Andy Boulton, 2717137   size:25.98,Price: ,9.8,ok
1.121695305, Sport: ,Basketball, Time: ,Tue Nov 10 04:35:00 CET 2015, Time: ,Tue Nov 10 04:35:00 CET 2015, Event: ,Memphis @ LA Clippers, Favorite: ,LA Clippers, 237489   size:61.1,Price: ,1.43,Memphis, 119812   size:63.76,Price: ,3.25,ok
1.121716590, Sport: ,Tennis, Time: ,Tue Nov 10 08:00:00 CET 2015, Time: ,Tue Nov 10 08:00:00 CET 2015, Event: ,Su Hsieh v Thamchaiwat, Favorite: ,Su-Wei Hsieh, 8244521   size:4313.45,Price: ,1.02,Bunyawi Thamchaiwat, 9630486   size:8.25,Price: ,18.0,ok
1.121724738, Sport: ,Tennis, Time: ,Tue Nov 10 07:00:00 CET 2015, Time: ,Tue Nov 10 07:00:00 CET 2015, Event: ,Jung/Peng v Daniel/Kudryavtsev, Favorite: ,Jung/Peng, 10506895   size:3.12,Price: ,1.65,Daniel/Kudryavtsev, 10506896   size:2.4,Price: ,2.08,x
1.121733249, Sport: ,Tennis, Time: ,Tue Nov 10 03:00:00 CET 2015, Time: ,Tue Nov 10 03:00:00 CET 2015, Event: ,Sakkari v Ferro, Favorite: ,Maria Sakkari, 9002331   size:36.75,Price: ,1.42,Fiona Ferro, 8535268   size:2.03,Price: ,3.2,x
1.121587354, Sport: ,Soccer, Time: ,Mon Nov 09 20:15:00 CET 2015, Time: ,Mon Nov 09 20:15:00 CET 2015, Event: ,St Pauli v Fortuna Dusseldorf, Favorite: ,St Pauli, 44526   size:7226.35,Price: ,1.11,Fortuna Dusseldorf, 879210   size:13.18,Price: ,42.0,The Draw, 58805   size:109.59,Price: ,12.5,ok
1.121716596, Sport: ,Tennis, Time: ,Tue Nov 10 08:00:00 CET 2015, Time: ,Tue Nov 10 08:00:00 CET 2015, Event: ,Nara v K Zhang, Favorite: ,Kurumi Nara, 3375664   size:2.55,Price: ,1.58,Kai-Lin Zhang, 8710301   size:40.52,Price: ,2.5,ok
1.121733247, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Raina v Melnikova, Favorite: ,Marina Melnikova, 6390238   size:5.0,Price: ,1.23,Ankita Raina, 7921012   size:10.26,Price: ,4.3,x
1.121695341, Sport: ,Basketball, Time: ,Tue Nov 10 03:05:00 CET 2015, Time: ,Tue Nov 10 03:05:00 CET 2015, Event: ,Portland @ Denver, Favorite: ,Portland, 13129   size:5.0,Price: ,1.95,Denver, 13124   size:9.15,Price: ,2.02,x
1.121733246, Sport: ,Tennis, Time: ,Tue Nov 10 03:00:00 CET 2015, Time: ,Tue Nov 10 03:00:00 CET 2015, Event: ,Kucova v Leykina, Favorite: ,Kristina Kucova, 3990441   size:2.55,Price: ,1.52,Polina Leykina, 9062872   size:6.03,Price: ,2.66,ok
1.121717807, Sport: ,Tennis, Time: ,Mon Nov 09 20:44:00 CET 2015, Time: ,Mon Nov 09 20:44:00 CET 2015, Event: ,Du Brown v Setkic, Favorite: ,Dustin Brown, 4486603   size:485.57,Price: ,1.32,Aldin Setkic, 7366936   size:144.95,Price: ,3.25,x
1.121733244, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Dinu v Ivakhnenko, Favorite: ,Cristina Dinu, 7216240   size:4.3,Price: ,1.51,Valentyna Ivakhnenko, 6498928   size:27.89,Price: ,2.88,x
1.121628844, Sport: ,Soccer, Time: ,Mon Nov 09 22:30:00 CET 2015, Time: ,Mon Nov 09 22:30:00 CET 2015, Event: ,Union Espanola v Audax Italiano, Favorite: ,Union Espanola, 1388376   size:14.55,Price: ,2.42,Audax Italiano, 2295419   size:93.09,Price: ,3.05,The Draw, 58805   size:8.14,Price: ,3.7,ok
1.121733243, Sport: ,Tennis, Time: ,Tue Nov 10 09:30:00 CET 2015, Time: ,Tue Nov 10 09:30:00 CET 2015, Event: ,Nikolopoulou v Kennel, Favorite: ,Karin Kennel, 9246669   size:8.35,Price: ,1.04,Natalia Nikolopoulou, 9634113   size:6.03,Price: ,2.36,ok
1.121733241, Sport: ,Tennis, Time: ,Tue Nov 10 03:00:00 CET 2015, Time: ,Tue Nov 10 03:00:00 CET 2015, Event: ,Dulgheru v Caregaro, Favorite: ,Alexandra Dulgheru, 2548758   size:5.37,Price: ,1.21,Martina Caregaro, 4845690   size:6.35,Price: ,5.4,ok
1.121722192, Sport: ,Soccer, Time: ,Mon Nov 09 20:45:00 CET 2015, Time: ,Mon Nov 09 20:45:00 CET 2015, Event: ,Hitchin Town v Stratford Town FC, Favorite: ,Stratford Town FC, 8327379   size:5.02,Price: ,1.32,Hitchin Town, 4317865   size:4.3,Price: ,1.51,The Draw, 58805   size:15.14,Price: ,2.94,x
1.121720411, Sport: ,Darts, Time: ,Mon Nov 09 23:30:00 CET 2015, Time: ,Mon Nov 09 23:30:00 CET 2015, Event: ,Raymond van Barneveld v Larry Butler, Favorite: ,Raymond van Barneveld, 2401318   size:29.96,Price: ,1.22,Larry Butler, 3149750   size:39.32,Price: ,4.5,ok
1.121603696, Sport: ,Ice Hockey, Time: ,Tue Nov 10 04:05:00 CET 2015, Time: ,Tue Nov 10 04:05:00 CET 2015, Event: ,Arizona @ Anaheim, Favorite: ,Anaheim, 60109   size:18.5,Price: ,1.92,Arizona, 8867880   size:21.1,Price: ,3.9,Tie, 60104   size:262.0,Price: ,4.1,x
1.121720010, Sport: ,Tennis, Time: ,Mon Nov 09 23:00:00 CET 2015, Time: ,Mon Nov 09 23:00:00 CET 2015, Event: ,Kicker v Cachin, Favorite: ,Nicolas Kicker, 8326744   size:6.03,Price: ,1.9,Pedro Cachin, 8461316   size:30.84,Price: ,1.93,ok
1.121716440, Sport: ,Tennis, Time: ,Tue Nov 10 04:45:00 CET 2015, Time: ,Tue Nov 10 04:45:00 CET 2015, Event: ,Jasika v Moriya, Favorite: ,Hiroki Moriya, 5858055   size:5.71,Price: ,1.74,Omar Jasika, 7335917   size:10.91,Price: ,2.24,x
1.121743240, Sport: ,Tennis, Time: ,Tue Nov 10 08:30:00 CET 2015, Time: ,Tue Nov 10 08:30:00 CET 2015, Event: ,Khabibulin v Van Rijthoven, Favorite: ,Timur Khabibulin, 8304959   size:8.35,Price: ,1.04,Tim Van Rijthoven, 8681938   size:8.35,Price: ,1.04,x
1.121733260, Sport: ,Tennis, Time: ,Tue Nov 10 09:00:00 CET 2015, Time: ,Tue Nov 10 09:00:00 CET 2015, Event: ,Ciobanu v Tomova, Favorite: ,Viktoriya Tomova, 4597116   size:3.34,Price: ,1.1,Daniela Ciobanu, 9342392   size:36.13,Price: ,1.63,ok
1.121587028, Sport: ,Soccer, Time: ,Mon Nov 09 22:00:00 CET 2015, Time: ,Mon Nov 09 22:00:00 CET 2015, Event: ,Uniao Madeira v Braga, Favorite: ,Braga, 48799   size:459.56,Price: ,1.72,Uniao Madeira, 505985   size:27.4,Price: ,5.9,The Draw, 58805   size:949.02,Price: ,3.95,ok
