1.121432935, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,Wisla Krakow U19 v Hutnik Nowa Huta U19, Favorite: ,Wisla Krakow U19, 7579700   size:2.55,Price: ,1.14,Hutnik Nowa Huta U19, 10133766   size:10.88,Price: ,3.8,The Draw, 58805   size:10.88,Price: ,3.6
1.121434642, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,KS Sztorm Gfansk (W) v Gornik Leczna (W), Favorite: ,Gornik Leczna (W), 7745927   size:2.55,Price: ,1.13,KS Sztorm Gfansk (W), 10181014   size:5.0,Price: ,3.65,The Draw, 58805   size:5.0,Price: ,3.35
1.121434758, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,TS Mitech Zywiec (W) v Olimpia Szczecin (W), Favorite: ,TS Mitech Zywiec (W), 7829848   size:2.55,Price: ,1.12,Olimpia Szczecin (W), 9433268   size:5.65,Price: ,6.8,The Draw, 58805   size:5.95,Price: ,4.7
1.121432715, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,Jagiellonia U19 v MKS KSZO-Junior U19, Favorite: ,Jagiellonia U19, 7251647   size:2.55,Price: ,1.11,MKS KSZO-Junior U19, 7583353   size:10.88,Price: ,4.2,The Draw, 58805   size:10.88,Price: ,3.3
1.121432990, Sport: ,Soccer, Time: ,Sat Oct 24 11:00:00 CEST 2015, Time: ,Sat Oct 24 11:00:00 CEST 2015, Event: ,Zaglebie Lubin U19 v KKPN Baltyk Kosz U19, Favorite: ,Zaglebie Lubin U19, 6486134   size:10.88,Price: ,1.32,KKPN Baltyk Kosz U19, 7619087   size:10.88,Price: ,2.6,The Draw, 58805   size:10.88,Price: ,3.0
1.121432660, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,AP LKS Lodz U19 v UKS SMS Lodz U19, Favorite: ,UKS SMS Lodz U19, 7204857   size:29.63,Price: ,1.27,AP LKS Lodz U19, 7196125   size:10.88,Price: ,2.3,The Draw, 58805   size:10.88,Price: ,3.0
1.121433211, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,Porto U19 v Pacos Ferreira U19, Favorite: ,Porto U19, 2502334   size:3.62,Price: ,1.07,Pacos Ferreira U19, 7152036   size:29.17,Price: ,1.72,The Draw, 58805   size:4.16,Price: ,2.88
1.121433106, Sport: ,Soccer, Time: ,Sat Oct 24 13:00:00 CEST 2015, Time: ,Sat Oct 24 13:00:00 CEST 2015, Event: ,Zawisza Bydgoszcz U19 v Stelmet UKP U19, Favorite: ,Zawisza Bydgoszcz U19, 7235560   size:3.62,Price: ,1.07,Stelmet UKP U19, 7236888   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88
1.121433431, Sport: ,Soccer, Time: ,Sat Oct 24 13:00:00 CEST 2015, Time: ,Sat Oct 24 13:00:00 CEST 2015, Event: ,FK Atyrau v FK Aktobe, Favorite: ,FK Aktobe, 1527910   size:2.55,Price: ,2.04,FK Atyrau, 197956   size:7.55,Price: ,2.84,The Draw, 58805   size:2.55,Price: ,2.92
1.121433982, Sport: ,Soccer, Time: ,Sat Oct 24 13:30:00 CEST 2015, Time: ,Sat Oct 24 13:30:00 CEST 2015, Event: ,Banska Bystrica v SK Slovan Bratislava II, Favorite: ,Banska Bystrica, 501166   size:10.69,Price: ,1.6,SK Slovan Bratislava II, 8746424   size:9.41,Price: ,3.0,The Draw, 58805   size:17.25,Price: ,3.4
