1.121970004, Sport: ,American Football, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,Navy @ Houston, Favorite: ,Navy, 662039   size:6.88,Price: ,1.61,Houston, 87483   size:2.32,Price: ,2.24,x
1.121985928, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,Mlada Boleslav v Plzen, Favorite: ,Mlada Boleslav, 3327988   size:65.87,Price: ,2.08,Plzen, 563267   size:16.72,Price: ,2.9,Tie, 60104   size:7.76,Price: ,4.6,x
1.121884668, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,AC Ajaccio v Lens, Favorite: ,AC Ajaccio, 8720753   size:17.57,Price: ,2.62,Lens, 44793   size:20.87,Price: ,3.25,The Draw, 58805   size:665.06,Price: ,3.1,x
1.121886845, Sport: ,Soccer, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Spezia v Crotone, Favorite: ,Spezia, 522041   size:211.02,Price: ,2.22,Crotone, 60300   size:184.76,Price: ,4.1,The Draw, 58805   size:216.5,Price: ,3.2,x
1.121889556, Sport: ,Soccer, Time: ,Fri Nov 27 16:00:00 CET 2015, Time: ,Fri Nov 27 16:00:00 CET 2015, Event: ,MO Bejaia v DRB Tadjenanet, Favorite: ,MO Bejaia, 8300127   size:4.86,Price: ,1.65,DRB Tadjenanet, 10341161   size:50.29,Price: ,4.0,The Draw, 58805   size:4.07,Price: ,3.25,ok
1.121976530, Sport: ,Basketball, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,KEB Hanabank v KB Stars, Favorite: ,KEB Hanabank, 8118828   size:127.0,Price: ,1.59,KB Stars, 6739926   size:52.99,Price: ,2.42,x
1.122002835, Sport: ,Soccer, Time: ,Fri Nov 27 16:30:00 CET 2015, Time: ,Fri Nov 27 16:30:00 CET 2015, Event: ,Al Wasl v Bani Yas, Favorite: ,Al Wasl, 3618587   size:2.55,Price: ,1.89,Bani Yas, 6057930   size:7.54,Price: ,3.45,The Draw, 58805   size:3.35,Price: ,3.55,ok
1.122005301, Sport: ,Soccer, Time: ,Fri Nov 27 12:00:00 CET 2015, Time: ,Fri Nov 27 12:00:00 CET 2015, Event: ,Vissai Ninh Binh v TTBD Phu Dong, Favorite: ,Vissai Ninh Binh, 7200113   size:5.0,Price: ,2.0,TTBD Phu Dong, 10550501   size:2.57,Price: ,2.56,The Draw, 58805   size:7.05,Price: ,3.5,ok
1.122004695, Sport: ,Soccer, Time: ,Fri Nov 27 12:15:00 CET 2015, Time: ,Fri Nov 27 12:15:00 CET 2015, Event: ,Sektzia Nes Tziona v Maccabi Kabilio Jaffa, Favorite: ,Sektzia Nes Tziona, 5195928   size:2.55,Price: ,1.73,Maccabi Kabilio Jaffa, 6269792   size:2.73,Price: ,3.9,The Draw, 58805   size:2.27,Price: ,3.45,x
1.122004213, Sport: ,Soccer, Time: ,Fri Nov 27 12:00:00 CET 2015, Time: ,Fri Nov 27 12:00:00 CET 2015, Event: ,Oleksandria U21 v Metalist U21, Favorite: ,Oleksandria U21, 10096655   size:2.55,Price: ,1.92,Metalist U21, 10096654   size:2.75,Price: ,2.4,The Draw, 58805   size:2.55,Price: ,4.5,x
1.121887907, Sport: ,Soccer, Time: ,Fri Nov 27 14:00:00 CET 2015, Time: ,Fri Nov 27 14:00:00 CET 2015, Event: ,Ironi Ramat HaSharon v Maccabi Yavne, Favorite: ,Ironi Ramat HaSharon, 6242601   size:2.55,Price: ,1.9,Maccabi Yavne, 5415484   size:15.64,Price: ,3.95,The Draw, 58805   size:4.52,Price: ,3.7,ok
