1.121733763, Sport: ,Basketball, Time: ,Wed Nov 11 18:30:00 CET 2015, Time: ,Wed Nov 11 18:30:00 CET 2015, Event: ,Wisla Can Pack (W) v Bourges (W), Favorite: ,Bourges (W), 5291015   size:188.02,Price: ,1.38,Wisla Can Pack (W), 5290906   size:178.75,Price: ,1.4,x
1.121733685, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Usti nad Labem v Hradec, Favorite: ,Usti Nad Labem, 7758609   size:3.29,Price: ,1.52,Hradec, 7758594   size:2.1,Price: ,2.38,ok
1.121734212, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,PAOK v Lietuvos Rytas, Favorite: ,Lietuvos Rytas, 702559   size:2.55,Price: ,1.8,PAOK, 281533   size:2.55,Price: ,2.14,x
1.121733683, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Prostejov v USK Praha, Favorite: ,Prostejov, 5866240   size:6.21,Price: ,1.14,Usk Praha, 6851155   size:14.29,Price: ,4.3,ok
1.121733682, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Pardubice v Decin, Favorite: ,Pardubice, 5942835   size:2.55,Price: ,1.49,Decin, 7758593   size:2.55,Price: ,2.76,x
1.121733681, Sport: ,Basketball, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,NH Ostrava v Opava, Favorite: ,Opava, 7758596   size:7.55,Price: ,1.77,NH Ostrava, 7758595   size:4.99,Price: ,2.12,x
1.121733680, Sport: ,Basketball, Time: ,Wed Nov 11 17:45:00 CET 2015, Time: ,Wed Nov 11 17:45:00 CET 2015, Event: ,Kolin v Brno, Favorite: ,Kolin, 7758592   size:2.55,Price: ,1.24,Brno, 6736685   size:18.74,Price: ,3.5,ok
1.121758166, Sport: ,Tennis, Time: ,Wed Nov 11 16:00:00 CET 2015, Time: ,Wed Nov 11 16:00:00 CET 2015, Event: ,Garin v J Ward, Favorite: ,James Ward, 2370329   size:8.7,Price: ,1.88,Christian Garin, 6670624   size:6.04,Price: ,1.93,x
1.121637828, Sport: ,Ice Hockey, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,KooKoo v JYP, Favorite: ,JYP, 66423   size:103.0,Price: ,2.16,KooKoo, 272751   size:16.53,Price: ,3.0,Tie, 60104   size:106.0,Price: ,4.2,x
1.121726634, Sport: ,Tennis, Time: ,Wed Nov 11 16:00:00 CET 2015, Time: ,Wed Nov 11 16:00:00 CET 2015, Event: ,Bemelmans/Petzschner v Dlouhy/Stakhovsky, Favorite: ,Bemelmans/Petzschner, 10383945   size:6.04,Price: ,1.57,Dlouhy/Stakhovsky, 10507595   size:6.04,Price: ,2.24,ok
1.121748768, Sport: ,Tennis, Time: ,Wed Nov 11 08:30:00 CET 2015, Time: ,Wed Nov 11 08:30:00 CET 2015, Event: ,De Cesare v Spremo, Favorite: ,Milana Spremo, 9342452   size:464.84,Price: ,1.05,Helen De Cesare, 9286483   size:7.25,Price: ,4.2,x
1.121745533, Sport: ,Tennis, Time: ,Wed Nov 11 17:00:00 CET 2015, Time: ,Wed Nov 11 17:00:00 CET 2015, Event: ,Struff v Copil, Favorite: ,Jan-Lennard Struff, 8259098   size:139.3,Price: ,1.42,Marius Copil, 4195870   size:2.55,Price: ,2.98,x
1.121733684, Sport: ,Basketball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Svitavy v Nymburk, Favorite: ,Nymburk, 2586030   size:3.71,Price: ,1.09,Svitavy, 7758631   size:2.55,Price: ,1.27,x
1.121745660, Sport: ,Soccer, Time: ,Wed Nov 11 11:30:00 CET 2015, Time: ,Wed Nov 11 11:30:00 CET 2015, Event: ,Salgaocar v Laxmi Prasad SC, Favorite: ,Salgaocar, 4427250   size:18.0,Price: ,1.61,Laxmi Prasad SC, 7598596   size:18.0,Price: ,1.61,The Draw, 58805   size:12.0,Price: ,3.15,x
1.121637420, Sport: ,Ice Hockey, Time: ,Wed Nov 11 17:30:00 CET 2015, Time: ,Wed Nov 11 17:30:00 CET 2015, Event: ,RoKi v JYP Akatemia, Favorite: ,Roki, 4196540   size:2.82,Price: ,2.3,JYP Akatemia, 5847122   size:11.74,Price: ,2.38,Tie, 60104   size:105.08,Price: ,4.4,x
1.121679684, Sport: ,Volleyball, Time: ,Wed Nov 11 18:00:00 CET 2015, Time: ,Wed Nov 11 18:00:00 CET 2015, Event: ,Impel Wroclaw v Dresdner SC, Favorite: ,Impel Wroclaw, 6912945   size:8.59,Price: ,1.33,Dresdner SC, 2779366   size:4.09,Price: ,3.55,x
1.121745825, Sport: ,Soccer, Time: ,Wed Nov 11 16:45:00 CET 2015, Time: ,Wed Nov 11 16:45:00 CET 2015, Event: ,AL Qadsi (Kuwait) U20 v Al Salmiyah U20, Favorite: ,AL Qadsi (Kuwait) U20, 10437885   size:4.64,Price: ,1.11,Al Salmiyah U20, 10462507   size:4.64,Price: ,1.11,The Draw, 58805   size:11.15,Price: ,3.0,ok
1.121745190, Sport: ,Soccer, Time: ,Wed Nov 11 14:30:00 CET 2015, Time: ,Wed Nov 11 14:30:00 CET 2015, Event: ,Calcio Catania U19 v US Catanzaro U19, Favorite: ,Calcio Catania U19, 6673836   size:11.15,Price: ,1.1,US Catanzaro U19, 7302492   size:11.15,Price: ,1.1,The Draw, 58805   size:4.99,Price: ,2.92,x
