1.122624705, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,Castilleja CF v Atletico Sanluqueno CF, Favorite: ,Atletico Sanluqueno CF, 6399727   size:2.21,Price: ,2.36,Castilleja CF, 10185293   size:2.03,Price: ,2.58,The Draw, 58805   size:46.65,Price: ,2.98,x
1.122635672, Sport: ,Basketball, Time: ,Sun Jan 17 10:00:00 CET 2016, Time: ,Sun Jan 17 10:00:00 CET 2016, Event: ,San Miguel Beermen v Alaska Aces, Favorite: ,Alaska Aces, 3803222   size:2.8,Price: ,1.37,San Miguel Beermen, 3803247   size:17.39,Price: ,3.5,ok
1.122522793, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Mallorca v Valladolid, Favorite: ,Mallorca, 10542   size:13.16,Price: ,2.48,Valladolid, 13362   size:74.46,Price: ,3.45,The Draw, 58805   size:748.34,Price: ,3.2,x
1.122637299, Sport: ,Basketball, Time: ,Sun Jan 17 18:35:00 CET 2016, Time: ,Sun Jan 17 18:35:00 CET 2016, Event: ,Hapoel Holon v Ironi Nes Ziona, Favorite: ,Hapoel Holon, 6796483   size:8.56,Price: ,1.68,Ironi Nes Ziona, 7758968   size:4.85,Price: ,2.2,x
1.122524336, Sport: ,Soccer, Time: ,Sun Jan 17 12:30:00 CET 2016, Time: ,Sun Jan 17 12:30:00 CET 2016, Event: ,Genoa v Palermo, Favorite: ,Genoa, 60310   size:424.4,Price: ,1.84,Palermo, 60307   size:308.72,Price: ,5.1,The Draw, 58805   size:563.21,Price: ,3.7,ok
1.122524145, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Rio Ave v Belenenses, Favorite: ,Rio Ave, 495321   size:235.96,Price: ,1.86,Belenenses, 48786   size:92.26,Price: ,5.0,The Draw, 58805   size:194.64,Price: ,3.55,x
1.122626690, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,UD Aretxabaleta v Deportivo Alaves II, Favorite: ,Deportivo Alaves II, 6929140   size:2.09,Price: ,2.28,UD Aretxabaleta, 10185268   size:39.22,Price: ,2.74,The Draw, 58805   size:46.51,Price: ,2.98,ok
1.122634755, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Santa Amalia v Atl San Jose Promesas, Favorite: ,Santa Amalia, 10621828   size:27.48,Price: ,1.02,Atl San Jose Promesas, 10622358   size:27.48,Price: ,1.02,The Draw, 58805   size:24.76,Price: ,1.42,x
1.122614105, Sport: ,Volleyball, Time: ,Sun Jan 17 18:00:00 CET 2016, Time: ,Sun Jan 17 18:00:00 CET 2016, Event: ,Tonazzo Padova v Trentino Volley, Favorite: ,Trentino Volley, 3416132   size:2.61,Price: ,1.03,Tonazzo Padova, 8947604   size:19.61,Price: ,3.05,ok
1.122525197, Sport: ,Soccer, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,Real Madrid v Sporting Gijon, Favorite: ,Real Madrid, 2426   size:76046.14,Price: ,1.08,Sporting Gijon, 68246   size:127.01,Price: ,40.0,The Draw, 58805   size:67.75,Price: ,18.0,ok
