1.121558000, Sport: ,Volleyball, Time: ,Thu Nov 05 11:00:00 CET 2015, Time: ,Thu Nov 05 11:00:00 CET 2015, Event: ,Suwon Kepco v Incheon Korean Air Jumb, Favorite: ,Suwon Kepco, 10389011   size:307.56,Price: ,1.23,Incheon Korean Air Jumb, 10389010   size:116.5,Price: ,1.64,ok
1.121557395, Sport: ,Volleyball, Time: ,Thu Nov 05 16:30:00 CET 2015, Time: ,Thu Nov 05 16:30:00 CET 2015, Event: ,Galatasaray Istanbul v Volei Zalau, Favorite: ,Galatasaray Istanbul, 6249494   size:3.0,Price: ,1.02,Volei Zalau, 10410545   size:3.0,Price: ,1.02,ok
1.121557432, Sport: ,Volleyball, Time: ,Thu Nov 05 18:00:00 CET 2015, Time: ,Thu Nov 05 18:00:00 CET 2015, Event: ,ACH Volley Ljubljana v Modena Volley, Favorite: ,Casa Modena, 5502662   size:2.55,Price: ,1.05,Ach Volley Ljubljana, 6117119   size:19.57,Price: ,4.0,ok
1.121517053, Sport: ,Soccer, Time: ,Thu Nov 05 14:30:00 CET 2015, Time: ,Thu Nov 05 14:30:00 CET 2015, Event: ,Chennaiyin v FC Goa, Favorite: ,Chennaiyin, 8900344   size:7.64,Price: ,2.06,FC Goa, 8900343   size:2.74,Price: ,3.75,The Draw, 58805   size:47.6,Price: ,3.4,x
1.121649095, Sport: ,Tennis, Time: ,Thu Nov 05 11:30:00 CET 2015, Time: ,Thu Nov 05 11:30:00 CET 2015, Event: ,Bai/Ghedin v Gong/Peng, Favorite: ,Gong/Peng, 8522513   size:3.01,Price: ,1.66,Bai/Ghedin, 10220762   size:2.38,Price: ,2.1,x
1.121639963, Sport: ,Tennis, Time: ,Thu Nov 05 08:30:00 CET 2015, Time: ,Thu Nov 05 08:30:00 CET 2015, Event: ,Romeo v Wikkerink, Favorite: ,Caroline Romeo, 9544574   size:37.98,Price: ,1.03,Janneke Wikkerink, 9183356   size:37.98,Price: ,1.03,ok
1.121637665, Sport: ,Basketball, Time: ,Thu Nov 05 18:30:00 CET 2015, Time: ,Thu Nov 05 18:30:00 CET 2015, Event: ,Miskolc (W) v Orange Blizzards Women, Favorite: ,Miskolc (W), 8997162   size:2.55,Price: ,1.05,Orange Blizzards Women, 10463085   size:34.09,Price: ,1.88,ok
1.121652918, Sport: ,Tennis, Time: ,Thu Nov 05 12:15:00 CET 2015, Time: ,Thu Nov 05 12:15:00 CET 2015, Event: ,Nishikori v Gasquet, Favorite: ,Richard Gasquet, 2249399   size:151.07,Price: ,1.97,Kei Nishikori, 2483001   size:5.0,Price: ,1.98,ok
1.121637661, Sport: ,Basketball, Time: ,Thu Nov 05 17:00:00 CET 2015, Time: ,Thu Nov 05 17:00:00 CET 2015, Event: ,PEAC Pecs (W) v Landes (W), Favorite: ,Landes (W), 8978732   size:3.67,Price: ,1.08,PEAC Pecs (W), 8978753   size:26.32,Price: ,1.38,ok
1.121637141, Sport: ,Tennis, Time: ,Thu Nov 05 09:45:00 CET 2015, Time: ,Thu Nov 05 09:45:00 CET 2015, Event: ,Gojowczyk v Yo Nishioka, Favorite: ,Peter Gojowczyk, 4691416   size:2.55,Price: ,1.59,Yoshihito Nishioka, 7137497   size:5.0,Price: ,2.4,x
