1.121261051, Sport: ,Soccer, Time: ,Sat Oct 24 07:00:00 CEST 2015, Time: ,Sat Oct 24 07:00:00 CEST 2015, Event: ,Kobe v Yamagata, Favorite: ,Kobe, 441082   size:1401.01,Price: ,1.35,Yamagata, 3718961   size:20.77,Price: ,14.5,The Draw, 58805   size:9.11,Price: ,5.1,ok
1.121439579, Sport: ,Basketball, Time: ,Sat Oct 24 18:00:00 CEST 2015, Time: ,Sat Oct 24 18:00:00 CEST 2015, Event: ,Svit v Nova Ves, Favorite: ,Svit, 6719642   size:4.23,Price: ,1.06,Nova Ves, 6719643   size:2.55,Price: ,1.22,ok
1.121409711, Sport: ,Tennis, Time: ,Sat Oct 24 08:45:00 CEST 2015, Time: ,Sat Oct 24 08:45:00 CEST 2015, Event: ,Fabbiano/Zopp v Mektic/Skugor, Favorite: ,Mektic/Skugor, 9146543   size:5.3,Price: ,1.56,Fabbiano/Zopp, 10433866   size:2.64,Price: ,2.4,ok
1.121267678, Sport: ,Soccer, Time: ,Sat Oct 24 19:00:00 CEST 2015, Time: ,Sat Oct 24 19:00:00 CEST 2015, Event: ,Neuchatel Xamax v Schaffhausen, Favorite: ,Neuchatel Xamax, 65779   size:5.0,Price: ,2.38,Schaffhausen, 328835   size:27.43,Price: ,3.05,The Draw, 58805   size:6.3,Price: ,3.55,ok
1.121266589, Sport: ,Soccer, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Peterhead v Airdrieonians, Favorite: ,Peterhead, 729810   size:37.87,Price: ,2.16,Airdrieonians, 7394884   size:4.33,Price: ,3.45,The Draw, 58805   size:46.64,Price: ,3.75,ok
1.121266740, Sport: ,Soccer, Time: ,Sat Oct 24 16:00:00 CEST 2015, Time: ,Sat Oct 24 16:00:00 CEST 2015, Event: ,Dunfermline v Forfar, Favorite: ,Dunfermline, 48812   size:32.11,Price: ,1.39,Forfar, 729805   size:42.04,Price: ,8.0,The Draw, 58805   size:2.55,Price: ,5.4,ok
1.121262269, Sport: ,Soccer, Time: ,Sat Oct 24 15:30:00 CEST 2015, Time: ,Sat Oct 24 15:30:00 CEST 2015, Event: ,Hannover v Eintracht Frankfurt, Favorite: ,Hannover, 197307   size:95.46,Price: ,2.62,Eintracht Frankfurt, 347774   size:2.08,Price: ,2.88,The Draw, 58805   size:3224.66,Price: ,3.6,x
1.121432825, Sport: ,Soccer, Time: ,Sat Oct 24 14:00:00 CEST 2015, Time: ,Sat Oct 24 14:00:00 CEST 2015, Event: ,Legia Warsaw U19 v FKS Stal Mielec U19, Favorite: ,Legia Warsaw U19, 10317773   size:3.62,Price: ,1.07,FKS Stal Mielec U19, 7619052   size:3.62,Price: ,1.07,The Draw, 58805   size:4.16,Price: ,2.88,x
1.121261857, Sport: ,Soccer, Time: ,Sat Oct 24 15:30:00 CEST 2015, Time: ,Sat Oct 24 15:30:00 CEST 2015, Event: ,SV Darmstadt v Wolfsburg, Favorite: ,Wolfsburg, 44521   size:42.88,Price: ,1.87,SV Darmstadt, 993093   size:469.29,Price: ,4.6,The Draw, 58805   size:11.64,Price: ,3.85,ok
1.121426743, Sport: ,Soccer, Time: ,Sat Oct 24 12:00:00 CEST 2015, Time: ,Sat Oct 24 12:00:00 CEST 2015, Event: ,NA Hussein Dey U21 v MC Alger U21, Favorite: ,MC Alger U21, 8126449   size:18.0,Price: ,1.81,NA Hussein Dey U21, 8212965   size:18.0,Price: ,1.91,The Draw, 58805   size:3.62,Price: ,2.9,x
