1.122204062, Sport: ,Basketball, Time: ,Sun Dec 13 16:00:00 CET 2015, Time: ,Sun Dec 13 16:00:00 CET 2015, Event: ,Kalev Cramo v Enisey, Favorite: ,Enisey, 5850555   size:5.91,Price: ,1.6,Kalev Cramo, 6007950   size:4.04,Price: ,2.42,x
1.122266730, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Trikala v Lamia, Favorite: ,Trikala, 4157378   size:6.0,Price: ,1.23,Lamia, 3464961   size:6.0,Price: ,3.55,The Draw, 58805   size:12.0,Price: ,2.84,x
1.122234605, Sport: ,Handball, Time: ,Sat Dec 12 20:30:00 CET 2015, Time: ,Sat Dec 12 20:30:00 CET 2015, Event: ,FC Barcelona v Granollers, Favorite: ,FC Barcelona, 623982   size:1111.28,Price: ,1.01,Granollers, 1235183   size:111.45,Price: ,1.95,Draw, 330157   size:239.68,Price: ,1.04,ok
1.122255306, Sport: ,Soccer, Time: ,Sun Dec 13 15:30:00 CET 2015, Time: ,Sun Dec 13 15:30:00 CET 2015, Event: ,CD Carinena v CA Monzon, Favorite: ,CD Carinena, 10403001   size:9.1,Price: ,1.06,CA Monzon, 9453566   size:9.1,Price: ,1.06,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122255425, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Pinatar CF v Real Murcia Imperial CF, Favorite: ,Pinatar CF, 8873742   size:13.65,Price: ,1.04,Real Murcia Imperial CF, 10243153   size:13.65,Price: ,1.04,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122255304, Sport: ,Soccer, Time: ,Sun Dec 13 15:30:00 CET 2015, Time: ,Sun Dec 13 15:30:00 CET 2015, Event: ,CD Cantolagua v AD San Juan, Favorite: ,CD Cantolagua, 10356679   size:9.1,Price: ,1.06,AD San Juan, 7296384   size:9.1,Price: ,1.06,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122255546, Sport: ,Soccer, Time: ,Sun Dec 13 16:15:00 CET 2015, Time: ,Sun Dec 13 16:15:00 CET 2015, Event: ,El Palmar EG v Yeclano Deportivo, Favorite: ,Yeclano Deportivo, 9339254   size:55.83,Price: ,2.24,El Palmar EG, 9282893   size:42.21,Price: ,2.64,The Draw, 58805   size:34.62,Price: ,3.1,x
1.122193131, Sport: ,Soccer, Time: ,Sun Dec 13 12:15:00 CET 2015, Time: ,Sun Dec 13 12:15:00 CET 2015, Event: ,Gil Vicente v Aves, Favorite: ,Gil Vicente, 48784   size:5.4,Price: ,2.14,Aves, 505958   size:24.49,Price: ,4.1,The Draw, 58805   size:7.2,Price: ,3.2,ok
1.122255549, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Guadix CF v Atletico Mancha Real, Favorite: ,Guadix CF, 8811938   size:60.72,Price: ,2.14,Atletico Mancha Real, 7331891   size:37.62,Price: ,2.84,The Draw, 58805   size:34.62,Price: ,3.05,x
1.122255308, Sport: ,Soccer, Time: ,Sun Dec 13 12:00:00 CET 2015, Time: ,Sun Dec 13 12:00:00 CET 2015, Event: ,CD Castellon v CD Bunol, Favorite: ,CD Castellon, 8916596   size:2.55,Price: ,1.43,CD Bunol, 10185143   size:36.62,Price: ,9.4,The Draw, 58805   size:2.55,Price: ,4.0,ok
1.122126135, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Excelsior Virton v Patro Eisden, Favorite: ,Patro Eisden, 7441124   size:88.97,Price: ,1.9,Excelsior Virton, 505672   size:6.52,Price: ,5.6,The Draw, 58805   size:2.76,Price: ,3.3,x
1.122255540, Sport: ,Soccer, Time: ,Sun Dec 13 12:30:00 CET 2015, Time: ,Sun Dec 13 12:30:00 CET 2015, Event: ,CF Platges de Calvia v UD Rotlet Molinar, Favorite: ,CF Platges de Calvia, 7708961   size:5.91,Price: ,1.68,UD Rotlet Molinar, 8212936   size:34.62,Price: ,4.1,The Draw, 58805   size:34.62,Price: ,3.15,x
1.122255423, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Palamos CF v CF Peralada, Favorite: ,Palamos CF, 6796940   size:66.57,Price: ,2.04,CF Peralada, 8832969   size:34.96,Price: ,2.98,The Draw, 58805   size:34.96,Price: ,2.98,x
1.122255302, Sport: ,Soccer, Time: ,Sun Dec 13 16:00:00 CET 2015, Time: ,Sun Dec 13 16:00:00 CET 2015, Event: ,CD Calamonte v Arroyo, Favorite: ,CD Calamonte, 10621713   size:9.1,Price: ,1.06,Arroyo, 6603997   size:9.1,Price: ,1.06,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122255421, Sport: ,Soccer, Time: ,Sun Dec 13 16:45:00 CET 2015, Time: ,Sun Dec 13 16:45:00 CET 2015, Event: ,Ribadumia v Silva SD, Favorite: ,Ribadumia, 10601352   size:13.65,Price: ,1.04,Silva SD, 8889598   size:13.65,Price: ,1.04,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122255542, Sport: ,Soccer, Time: ,Sun Dec 13 13:30:00 CET 2015, Time: ,Sun Dec 13 13:30:00 CET 2015, Event: ,Las Palmas Atletico v Arucas CF, Favorite: ,Las Palmas Atletico, 10267663   size:9.1,Price: ,1.06,Arucas CF, 9053708   size:9.1,Price: ,1.06,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122265236, Sport: ,Soccer, Time: ,Sun Dec 13 11:00:00 CET 2015, Time: ,Sun Dec 13 11:00:00 CET 2015, Event: ,Inter U19 v AC Milan U19, Favorite: ,Inter U19, 2503323   size:7.79,Price: ,1.07,AC Milan U19, 2502326   size:78.17,Price: ,1.12,The Draw, 58805   size:36.23,Price: ,1.26,ok
1.122263299, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,SD Logrones v CD Varea, Favorite: ,SD Logrones, 6399685   size:16.31,Price: ,1.48,CD Varea, 7237061   size:34.62,Price: ,4.7,The Draw, 58805   size:34.62,Price: ,3.75,x
1.122204070, Sport: ,Basketball, Time: ,Sun Dec 13 14:00:00 CET 2015, Time: ,Sun Dec 13 14:00:00 CET 2015, Event: ,Lokomotiv Kuban v UNICS Kazan, Favorite: ,Lokomotiv Kuban, 5508059   size:14.0,Price: ,1.41,Unics Kazan, 5134712   size:3.64,Price: ,2.9,x
1.122183333, Sport: ,Rugby Union, Time: ,Sat Dec 12 20:45:00 CET 2015, Time: ,Sat Dec 12 20:45:00 CET 2015, Event: ,Castres v Sale, Favorite: ,Castres, 61038   size:346.25,Price: ,1.4,Sale, 3139   size:2.69,Price: ,3.65,Draw, 246289   size:12.25,Price: ,22.0,x
