1.120146802, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Annan Ath v Montrose, Favorite: ,Annan Ath, 2214928   size:161.86,Price: ,1.8,The Draw, 58805   size:32.26,Price: ,4.2,Montrose, 674746   size:10.43,Price: ,4.3,
1.120153008, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Luton v Portsmouth, Favorite: ,Portsmouth, 58344   size:274.95,Price: ,2.52,Luton, 223467   size:346.99,Price: ,3.15,The Draw, 58805   size:756.48,Price: ,3.4,
1.120152615, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,York City v Mansfield, Favorite: ,York City, 256226   size:5.02,Price: ,2.24,The Draw, 58805   size:46.05,Price: ,3.45,Mansfield, 69716   size:12.74,Price: ,3.7,
1.120152713, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Accrington S v Northampton, Favorite: ,Northampton, 5034   size:15.14,Price: ,2.36,The Draw, 58805   size:446.87,Price: ,3.4,Accrington S, 498119   size:6.63,Price: ,3.45,
1.120153106, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Plymouth v Newport County, Favorite: ,Plymouth, 148733   size:97.52,Price: ,1.8,The Draw, 58805   size:52.87,Price: ,3.9,Newport County, 62623   size:121.97,Price: ,5.0,
1.120152125, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Barnet v Cambridge Utd, Favorite: ,Cambridge Utd, 256400   size:13.91,Price: ,2.74,Barnet, 1165   size:51.06,Price: ,2.84,The Draw, 58805   size:201.64,Price: ,3.4,
1.120146592, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Stenhousemuir v Cowdenbeath, Favorite: ,Stenhousemuir, 729806   size:57.1,Price: ,2.32,Cowdenbeath, 674745   size:10.11,Price: ,3.1,The Draw, 58805   size:2.92,Price: ,3.8,
1.120146280, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Airdrieonians v Peterhead, Favorite: ,Peterhead, 729810   size:25.69,Price: ,2.38,Airdrieonians, 7394884   size:37.79,Price: ,3.0,The Draw, 58805   size:3.44,Price: ,3.6,
1.120152812, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Crawley Town v Wycombe, Favorite: ,Wycombe, 49584   size:157.7,Price: ,2.24,The Draw, 58805   size:222.34,Price: ,3.4,Crawley Town, 266068   size:2.22,Price: ,3.75,
1.120146872, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Berwick v Arbroath, Favorite: ,Berwick, 69812   size:12.51,Price: ,1.91,Arbroath, 306045   size:115.84,Price: ,3.9,The Draw, 58805   size:35.44,Price: ,4.0,
1.120146732, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Clyde v E Stirling, Favorite: ,Clyde, 328050   size:13.48,Price: ,1.62,The Draw, 58805   size:7.35,Price: ,4.4,E Stirling, 729808   size:7.65,Price: ,5.5,
1.120151929, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bury v Oldham, Favorite: ,Bury, 223503   size:76.53,Price: ,1.95,The Draw, 58805   size:330.19,Price: ,3.65,Oldham, 69819   size:90.75,Price: ,4.4,
1.120152027, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,AFC Wimbledon v Exeter, Favorite: ,AFC Wimbledon, 2662218   size:9.56,Price: ,2.56,Exeter, 66243   size:268.54,Price: ,3.1,The Draw, 58805   size:5.45,Price: ,3.4,
1.120152419, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Morecambe v Notts Co, Favorite: ,Morecambe, 51311   size:9.27,Price: ,2.64,Notts Co, 486328   size:328.44,Price: ,2.86,The Draw, 58805   size:25.31,Price: ,3.5,
1.120154650, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Brentford v Reading, Favorite: ,Brentford, 78864   size:199.25,Price: ,2.34,The Draw, 58805   size:211.77,Price: ,3.4,Reading, 103122   size:238.82,Price: ,3.5,
1.120143514, Sport: ,Soccer, Time: ,Sat Aug 29 16:30:00 CEST 2015, Time: ,Sat Aug 29 16:30:00 CEST 2015, Event: ,Tegs SK v Hudiksvalls FF, Favorite: ,Tegs SK, 6379085   size:79.59,Price: ,1.68,Hudiksvalls FF, 6149505   size:46.5,Price: ,2.86,The Draw, 58805   size:43.28,Price: ,3.2,
1.120298245, Sport: ,Soccer, Time: ,Sat Aug 29 17:00:00 CEST 2015, Time: ,Sat Aug 29 17:00:00 CEST 2015, Event: ,Arezzo v Prato, Favorite: ,Arezzo, 522048   size:129.84,Price: ,2.06,Prato, 522047   size:70.22,Price: ,2.96,The Draw, 58805   size:65.53,Price: ,3.1,
1.120143382, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Zaglebie Lubin v Ruch Chorzow, Favorite: ,Zaglebie Lubin, 166904   size:177.95,Price: ,1.98,The Draw, 58805   size:32.83,Price: ,3.55,Ruch Chorzow, 2160683   size:51.49,Price: ,4.4,
1.120295109, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Racing Club Villalbes v Alondras CF, Favorite: ,The Draw, 58805   size:136.27,Price: ,1.06,
1.120143458, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Bekescsaba v Haladas, Favorite: ,Haladas, 505951   size:5.81,Price: ,1.8,The Draw, 58805   size:5.0,Price: ,3.6,Bekescsaba, 505949   size:3.98,Price: ,4.8,
1.120191780, Sport: ,Soccer, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,SV Saar v Bahlinger, Favorite: ,Bahlinger, 247829   size:22.61,Price: ,2.36,SV Saar, 10079938   size:5.0,Price: ,3.2,The Draw, 58805   size:14.04,Price: ,3.45,
1.120335422, Sport: ,Basketball, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Serbia v Slovenia, Favorite: ,Slovenia, 512605   size:30.76,Price: ,1.01,Serbia, 2486691   size:2.0,Price: ,1.09,
1.120335425, Sport: ,Basketball, Time: ,Sat Aug 29 18:00:00 CEST 2015, Time: ,Sat Aug 29 18:00:00 CEST 2015, Event: ,Turkey v Netherlands, Favorite: ,Turkey, 208004   size:2.55,Price: ,1.14,Netherlands, 4814861   size:6.52,Price: ,6.8,
1.120082678, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,Tottenham v Everton, Favorite: ,Tottenham, 48224   size:1297.44,Price: ,2.1,The Draw, 58805   size:4750.72,Price: ,3.55,Everton, 56343   size:3653.47,Price: ,4.0,
1.120193488, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,Volyn v Olimpik Donetsk, Favorite: ,Volyn, 4115366   size:24.68,Price: ,1.5,The Draw, 58805   size:9.82,Price: ,4.5,Olimpik Donetsk, 5851729   size:19.19,Price: ,8.0,
1.120193558, Sport: ,Soccer, Time: ,Sat Aug 29 18:30:00 CEST 2015, Time: ,Sat Aug 29 18:30:00 CEST 2015, Event: ,Vorskla v Metalist, Favorite: ,Vorskla, 2017721   size:210.76,Price: ,1.7,The Draw, 58805   size:13.53,Price: ,3.65,Metalist, 4822108   size:7.17,Price: ,5.8,
1.120335428, Sport: ,Basketball, Time: ,Sat Aug 29 20:15:00 CEST 2015, Time: ,Sat Aug 29 20:15:00 CEST 2015, Event: ,Greece v Lithuania, Favorite: ,Greece, 512602   size:2.57,Price: ,1.32,Lithuania, 512601   size:22.33,Price: ,3.45,
1.120335238, Sport: ,Tennis, Time: ,Sat Aug 29 21:00:00 CEST 2015, Time: ,Sat Aug 29 21:00:00 CEST 2015, Event: ,L Safarova v Kvitova, Favorite: ,Petra Kvitova, 2497008   size:3878.15,Price: ,1.53,Lucie Safarova, 2256462   size:92.12,Price: ,2.84,
1.120139428, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Bromley v Dover, Favorite: ,Dover, 2119313   size:12.8,Price: ,2.62,Bromley, 1282856   size:5.75,Price: ,2.94,The Draw, 58805   size:199.82,Price: ,3.4,
1.120139340, Sport: ,Soccer, Time: ,Sat Aug 29 16:00:00 CEST 2015, Time: ,Sat Aug 29 16:00:00 CEST 2015, Event: ,Djurgardens v Halmstads, Favorite: ,Djurgardens, 232104   size:533.02,Price: ,1.39,The Draw, 58805   size:7.53,Price: ,5.1,Halmstads, 10765   size:183.58,Price: ,10.0,
