1.119405360, Sport: ,Soccer, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Cobreloa v San Marcos, Favorite: ,San Marcos, 7000095   size:24.98,Price: ,2.28,Cobreloa, 328700   size:3.17,Price: ,3.35,The Draw, 58805   size:3.18,Price: ,3.6,x
1.119391702, Sport: ,Basketball, Time: ,Wed Jul 08 22:45:00 CEST 2015, Time: ,Wed Jul 08 22:45:00 CEST 2015, Event: ,Slovak Republic (W) v Germany (W), Favorite: ,Slovak Republic (W), 6427245   size:6.98,Price: ,1.38,Germany (W), 6427247   size:2.53,Price: ,3.05,ok
1.119415082, Sport: ,Soccer, Time: ,Thu Jul 09 01:00:00 CEST 2015, Time: ,Thu Jul 09 01:00:00 CEST 2015, Event: ,Americano v America Rio Janeiro, Favorite: ,America Rio Janeiro, 8795897   size:10.53,Price: ,1.08,The Draw, 58805   size:3.51,Price: ,2.04,ok
1.119406377, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,Skautafelag Reykjavikur v Hviti Riddarinn, Favorite: ,Hviti Riddarinn, 6358758   size:12.52,Price: ,1.08,Skautafelag Reykjavikur, 6435767   size:10.53,Price: ,1.22,The Draw, 58805   size:3.22,Price: ,2.06,ok
1.119401367, Sport: ,Soccer, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Newry City LFC (W) v Glentoran Belfast (W), Favorite: ,Newry City LFC (W), 9883226   size:3.53,Price: ,1.41,Glentoran Belfast (W), 6571239   size:250.61,Price: ,2.6,The Draw, 58805   size:2.67,Price: ,3.45,ok
1.119367042, Sport: ,Baseball, Time: ,Thu Jul 09 01:10:00 CEST 2015, Time: ,Thu Jul 09 01:10:00 CEST 2015, Event: ,HOU @ CLE, Favorite: ,Cleveland (T Bauer), 7184184   size:304.42,Price: ,1.75,Houston (D Straily), 9789189   size:2.77,Price: ,2.28,ok
1.119405127, Sport: ,Soccer, Time: ,Wed Jul 08 20:45:00 CEST 2015, Time: ,Wed Jul 08 20:45:00 CEST 2015, Event: ,Spennymoor Town v Bolton U21, Favorite: ,Spennymoor Town, 7536171   size:2.05,Price: ,2.42,Bolton U21, 6594013   size:2.03,Price: ,2.44,The Draw, 58805   size:6.19,Price: ,4.2,x
1.119336727, Sport: ,Soccer, Time: ,Wed Jul 08 20:45:00 CEST 2015, Time: ,Wed Jul 08 20:45:00 CEST 2015, Event: ,Dulwich Hamlet v Peterborough, Favorite: ,Peterborough, 18563   size:2.53,Price: ,1.42,The Draw, 58805   size:3.2,Price: ,4.5,Dulwich Hamlet, 7744599   size:5.57,Price: ,6.0,ok
1.119337636, Sport: ,Soccer, Time: ,Thu Jul 09 00:30:00 CEST 2015, Time: ,Thu Jul 09 00:30:00 CEST 2015, Event: ,Coritiba v Ponte Preta, Favorite: ,Coritiba, 198141   size:197.63,Price: ,2.22,The Draw, 58805   size:4.15,Price: ,3.4,Ponte Preta, 204603   size:8.67,Price: ,3.9,x
1.119358312, Sport: ,Soccer, Time: ,Thu Jul 09 01:15:00 CEST 2015, Time: ,Thu Jul 09 01:15:00 CEST 2015, Event: ,Douglas Haig v Patronato, Favorite: ,Patronato, 5178628   size:13.17,Price: ,2.18,The Draw, 58805   size:2.76,Price: ,3.15,Douglas Haig, 6570644   size:8.16,Price: ,4.0,x
1.119407173, Sport: ,Soccer, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Palmeiras U20 v Cruzeiro U20, Favorite: ,Palmeiras U20, 5181619   size:10.8,Price: ,1.95,The Draw, 58805   size:6.37,Price: ,3.3,Cruzeiro U20, 5188319   size:2.53,Price: ,3.35,ok
1.119367090, Sport: ,Baseball, Time: ,Thu Jul 09 04:10:00 CEST 2015, Time: ,Thu Jul 09 04:10:00 CEST 2015, Event: ,PHI @ LAD, Favorite: ,LA Dodgers (C Kershaw), 3068257   size:1267.23,Price: ,1.28,Philadelphia (A Morgan), 9653348   size:106.59,Price: ,4.3,ok
1.119282972, Sport: ,Basketball, Time: ,Thu Jul 09 02:00:00 CEST 2015, Time: ,Thu Jul 09 02:00:00 CEST 2015, Event: ,Los Angeles @ San Antonio, Favorite: ,Los Angeles, 3213264   size:3.12,Price: ,1.59,San Antonio, 13121   size:5.05,Price: ,2.52,x
1.119341161, Sport: ,Soccer, Time: ,Thu Jul 09 02:00:00 CEST 2015, Time: ,Thu Jul 09 02:00:00 CEST 2015, Event: ,Costa Rica v Jamaica, Favorite: ,Costa Rica, 43376   size:473.89,Price: ,1.98,The Draw, 58805   size:8035.7,Price: ,3.4,Jamaica, 54786   size:461.62,Price: ,4.9,x
1.119404066, Sport: ,Soccer, Time: ,Wed Jul 08 20:45:00 CEST 2015, Time: ,Wed Jul 08 20:45:00 CEST 2015, Event: ,Hampton and Richmond v Brentford U21, Favorite: ,Brentford U21, 6628855   size:2.68,Price: ,1.85,Hampton and Richmond, 2439369   size:8.11,Price: ,3.2,The Draw, 58805   size:6.47,Price: ,4.0,ok
1.119391696, Sport: ,Basketball, Time: ,Wed Jul 08 22:45:00 CEST 2015, Time: ,Wed Jul 08 22:45:00 CEST 2015, Event: ,France (W) v Russia (W), Favorite: ,France (W), 6469563   size:3.83,Price: ,1.3,Russia (W), 7306785   size:7.1,Price: ,3.55,ok
1.119319853, Sport: ,Basketball, Time: ,Wed Jul 08 21:00:00 CEST 2015, Time: ,Wed Jul 08 21:00:00 CEST 2015, Event: ,Greece v Bulgaria, Favorite: ,Greece, 512602   size:3852.56,Price: ,1.18,Bulgaria, 1228597   size:219.52,Price: ,4.2,ok
1.119406209, Sport: ,Soccer, Time: ,Wed Jul 08 22:00:00 CEST 2015, Time: ,Wed Jul 08 22:00:00 CEST 2015, Event: ,IH v Kongarnir, Favorite: ,IH, 8541924   size:1495.03,Price: ,1.02,The Draw, 58805   size:2.68,Price: ,36.0,Kongarnir, 7284720   size:3.51,Price: ,38.0,ok
1.119375503, Sport: ,Soccer, Time: ,Thu Jul 09 01:10:00 CEST 2015, Time: ,Thu Jul 09 01:10:00 CEST 2015, Event: ,Tigre v River Plate, Favorite: ,River Plate, 194515   size:12.5,Price: ,2.34,The Draw, 58805   size:1411.84,Price: ,3.15,Tigre, 2451815   size:7.11,Price: ,3.8,x
1.119367050, Sport: ,Baseball, Time: ,Thu Jul 09 02:00:00 CEST 2015, Time: ,Thu Jul 09 02:00:00 CEST 2015, Event: ,STL @ CHC, Favorite: ,Chicago Cubs (J Hammel), 8450037   size:335.31,Price: ,1.85,St Louis (M Wacha), 7309496   size:464.59,Price: ,2.08,x
1.119419458, Sport: ,Soccer, Time: ,Wed Jul 08 20:30:00 CEST 2015, Time: ,Wed Jul 08 20:30:00 CEST 2015, Event: ,Nairn County v Ross Co, Favorite: ,Ross Co, 674742   size:64.57,Price: ,1.12,The Draw, 58805   size:3.33,Price: ,8.6,Nairn County, 6684881   size:3.33,Price: ,11.0,ok
1.119422736, Sport: ,Tennis, Time: ,Thu Jul 09 05:30:00 CEST 2015, Time: ,Thu Jul 09 05:30:00 CEST 2015, Event: ,Sawayanagi v K Zhang, Favorite: ,Riko Sawayanagi, 8839049   size:171.38,Price: ,1.81,Kai-Lin Zhang, 8710301   size:2.57,Price: ,1.93,x
