1.119611347, Sport: ,Soccer, Time: ,Sat Jul 25 22:15:00 CEST 2015, Time: ,Sat Jul 25 22:15:00 CEST 2015, Event: ,River Plate v Colon, Favorite: ,River Plate, 194515   size:168.03,Price: ,1.47,The Draw, 58805   size:153.09,Price: ,4.5,Colon, 194510   size:106.59,Price: ,9.4,ok
1.119684448, Sport: ,Darts, Time: ,Sat Jul 25 20:10:00 CEST 2015, Time: ,Sat Jul 25 20:10:00 CEST 2015, Event: ,Taylor v Wade, Favorite: ,Phil Taylor, 2271001   size:2061.54,Price: ,1.26,James Wade, 2409762   size:410.98,Price: ,4.7,x
1.119611621, Sport: ,Soccer, Time: ,Sun Jul 26 01:30:00 CEST 2015, Time: ,Sun Jul 26 01:30:00 CEST 2015, Event: ,Velez v Olimpo, Favorite: ,Velez, 367589   size:994.12,Price: ,1.91,The Draw, 58805   size:290.75,Price: ,3.25,Olimpo, 194517   size:109.76,Price: ,5.3,x
1.119602233, Sport: ,Handball, Time: ,Sat Jul 25 20:30:00 CEST 2015, Time: ,Sat Jul 25 20:30:00 CEST 2015, Event: ,Romania U21 v Angola U21, Favorite: ,Romania U21, 10026176   size:150.0,Price: ,1.02,Angola U21, 7437018   size:70.65,Price: ,18.0,Draw, 330157   size:70.65,Price: ,21.0,ok
1.119574296, Sport: ,Baseball, Time: ,Sun Jul 26 01:10:00 CEST 2015, Time: ,Sun Jul 26 01:10:00 CEST 2015, Event: ,HOU @ KC, Favorite: ,Kansas City (D Duffy), 5554272   size:341.51,Price: ,1.74,Houston (S Feldman), 8431599   size:3.49,Price: ,2.32,ok
1.119607527, Sport: ,Soccer, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,Guillermo Brown v Villa Dalmine, Favorite: ,Guillermo Brown, 5789841   size:2.82,Price: ,2.28,The Draw, 58805   size:2.82,Price: ,3.15,Villa Dalmine, 5971695   size:2.82,Price: ,3.9,x
1.119595095, Sport: ,Mixed Martial Arts, Time: ,Sat Jul 25 22:15:00 CEST 2015, Time: ,Sat Jul 25 22:15:00 CEST 2015, Event: ,Cummings v Steele, Favorite: ,Zak Cummings, 7593710   size:2.8,Price: ,1.29,Dominique Steele, 10038073   size:55.67,Price: ,3.5,ok
1.119658475, Sport: ,Soccer, Time: ,Sat Jul 25 20:00:00 CEST 2015, Time: ,Sat Jul 25 20:00:00 CEST 2015, Event: ,AA Portuguesa RJ v America Rio Janeiro, Favorite: ,America Rio Janeiro, 8795897   size:139.88,Price: ,1.06,The Draw, 58805   size:6.69,Price: ,1.25,ok
1.119695345, Sport: ,Soccer, Time: ,Sun Jul 26 01:00:00 CEST 2015, Time: ,Sun Jul 26 01:00:00 CEST 2015, Event: ,Chepo FC v Sporting San Miguel, Favorite: ,Chepo FC, 7831157   size:89.26,Price: ,2.2,Sporting San Miguel, 7546734   size:84.71,Price: ,2.3,The Draw, 58805   size:75.6,Price: ,2.6,x
1.119657266, Sport: ,Soccer, Time: ,Sat Jul 25 22:00:00 CEST 2015, Time: ,Sat Jul 25 22:00:00 CEST 2015, Event: ,Barranquilla v Leones FC, Favorite: ,Barranquilla, 5343353   size:3.97,Price: ,2.52,Leones FC, 9948447   size:8.54,Price: ,2.74,The Draw, 58805   size:3.57,Price: ,3.5,ok
1.119538425, Sport: ,Soccer, Time: ,Sat Jul 25 20:15:00 CEST 2015, Time: ,Sat Jul 25 20:15:00 CEST 2015, Event: ,Domzale v NK Maribor, Favorite: ,NK Maribor, 44625   size:17.16,Price: ,2.32,Domzale, 503208   size:55.83,Price: ,3.35,The Draw, 58805   size:20.27,Price: ,3.5,ok
1.119534063, Sport: ,Soccer, Time: ,Sat Jul 25 21:30:00 CEST 2015, Time: ,Sat Jul 25 21:30:00 CEST 2015, Event: ,Criciuma v Santa Cruz PE, Favorite: ,Criciuma, 356589   size:65.59,Price: ,2.28,The Draw, 58805   size:164.3,Price: ,3.45,Santa Cruz PE, 6132724   size:176.48,Price: ,3.55,x
1.119531116, Sport: ,Soccer, Time: ,Sat Jul 25 21:45:00 CEST 2015, Time: ,Sat Jul 25 21:45:00 CEST 2015, Event: ,Sierra Leone U23 v Algeria U23, Favorite: ,Algeria U23, 9987489   size:139.88,Price: ,1.06,Sierra Leone U23, 9987488   size:10.92,Price: ,1.08,The Draw, 58805   size:3.64,Price: ,1.29,x
1.119536889, Sport: ,Soccer, Time: ,Sat Jul 25 22:05:00 CEST 2015, Time: ,Sat Jul 25 22:05:00 CEST 2015, Event: ,Barcelona v Man Utd, Favorite: ,Barcelona, 55270   size:20.0,Price: ,2.22,Man Utd, 48351   size:105.23,Price: ,3.35,The Draw, 58805   size:466.31,Price: ,3.9,x
1.119574328, Sport: ,Baseball, Time: ,Sun Jul 26 02:10:00 CEST 2015, Time: ,Sun Jul 26 02:10:00 CEST 2015, Event: ,CIN @ COL, Favorite: ,Cincinnati (J Cueto), 2942962   size:292.0,Price: ,1.84,Colorado (C Rusin), 9565222   size:98.11,Price: ,2.12,ok
1.119658908, Sport: ,Darts, Time: ,Sat Jul 25 21:30:00 CEST 2015, Time: ,Sat Jul 25 21:30:00 CEST 2015, Event: ,van Gerwen v Wright, Favorite: ,Michael Van Gerwen, 6785355   size:71.1,Price: ,1.24,Peter Wright, 2821235   size:25.44,Price: ,5.0,ok
1.119610889, Sport: ,Soccer, Time: ,Sun Jul 26 01:10:00 CEST 2015, Time: ,Sun Jul 26 01:10:00 CEST 2015, Event: ,Independiente v Atletico Rafaela, Favorite: ,Independiente, 194512   size:128.54,Price: ,1.62,The Draw, 58805   size:2.81,Price: ,4.1,Atletico Rafaela, 476271   size:234.22,Price: ,6.8,ok
1.119608027, Sport: ,Soccer, Time: ,Sat Jul 25 23:30:00 CEST 2015, Time: ,Sat Jul 25 23:30:00 CEST 2015, Event: ,Barcelona (Ecu) v Mushuc Runa, Favorite: ,Barcelona (Ecu), 330964   size:185.02,Price: ,1.47,The Draw, 58805   size:35.93,Price: ,4.3,Mushuc Runa, 8225986   size:23.3,Price: ,9.0,x
1.119683324, Sport: ,Soccer, Time: ,Sun Jul 26 02:00:00 CEST 2015, Time: ,Sun Jul 26 02:00:00 CEST 2015, Event: ,Chorrillo v Tauro FC, Favorite: ,Tauro FC, 3298378   size:2.55,Price: ,1.91,The Draw, 58805   size:74.25,Price: ,2.68,Chorrillo, 6536554   size:2.55,Price: ,2.82,x
1.119657435, Sport: ,Soccer, Time: ,Sat Jul 25 21:30:00 CEST 2015, Time: ,Sat Jul 25 21:30:00 CEST 2015, Event: ,Deportivo JBL del Zulia v Potros de Barinas, Favorite: ,Potros de Barinas, 9959844   size:10.92,Price: ,1.08,The Draw, 58805   size:3.64,Price: ,1.29,x
