1.122424535, Sport: ,Soccer, Time: ,Sat Jan 09 15:00:00 CET 2016, Time: ,Sat Jan 09 15:00:00 CET 2016, Event: ,Cittadella v Sudtirol, Favorite: ,Cittadella, 60295   size:66.77,Price: ,1.97,Sudtirol, 4893599   size:2.65,Price: ,3.9,The Draw, 58805   size:2.62,Price: ,3.4,x
1.122423688, Sport: ,Soccer, Time: ,Sat Jan 09 14:30:00 CET 2016, Time: ,Sat Jan 09 14:30:00 CET 2016, Event: ,HW Welders v Glenavon, Favorite: ,HW Welders, 4435926   size:3.7,Price: ,1.18,Glenavon, 46955   size:3.7,Price: ,1.18,The Draw, 58805   size:3.67,Price: ,1.39,x
1.122490281, Sport: ,Basketball, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Lavrio v Koroivos, Favorite: ,Koroivos, 8895006   size:41.15,Price: ,1.81,Lavrio, 10398321   size:32.68,Price: ,2.02,x
1.122516487, Sport: ,Soccer, Time: ,Sat Jan 09 16:30:00 CET 2016, Time: ,Sat Jan 09 16:30:00 CET 2016, Event: ,UD Mutilvera v AD San Juan, Favorite: ,UD Mutilvera, 9397043   size:76.64,Price: ,1.87,AD San Juan, 7296384   size:33.33,Price: ,3.25,The Draw, 58805   size:33.33,Price: ,3.15,ok
1.122423205, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Stockport v Telford, Favorite: ,Stockport, 47997   size:2.55,Price: ,1.52,Telford, 183604   size:34.0,Price: ,6.0,The Draw, 58805   size:8.98,Price: ,4.0,x
1.122516489, Sport: ,Soccer, Time: ,Sat Jan 09 16:30:00 CET 2016, Time: ,Sat Jan 09 16:30:00 CET 2016, Event: ,UDC Txantrea v CD Mendi, Favorite: ,UDC Txantrea, 8397779   size:66.77,Price: ,1.37,CD Mendi, 10293056   size:14.17,Price: ,5.7,The Draw, 58805   size:22.59,Price: ,3.95,ok
1.122538027, Sport: ,Soccer, Time: ,Sat Jan 09 13:00:00 CET 2016, Time: ,Sat Jan 09 13:00:00 CET 2016, Event: ,Flora Tallinn v Trans Narva, Favorite: ,Flora Tallinn, 180590   size:27.55,Price: ,1.02,Trans Narva, 46983   size:27.55,Price: ,1.02,The Draw, 58805   size:13.77,Price: ,1.04,ok
1.122481453, Sport: ,Basketball, Time: ,Sat Jan 09 02:05:00 CET 2016, Time: ,Sat Jan 09 02:05:00 CET 2016, Event: ,Denver @ Memphis, Favorite: ,Memphis, 119812   size:136.5,Price: ,1.43,Denver, 13124   size:51.0,Price: ,3.25,ok
1.122481575, Sport: ,Basketball, Time: ,Sat Jan 09 19:00:00 CET 2016, Time: ,Sat Jan 09 19:00:00 CET 2016, Event: ,Subotica v Vrsac, Favorite: ,Subotica, 9203833   size:3.22,Price: ,1.03,Vrsac, 7735778   size:3.22,Price: ,1.03,ok
1.122539352, Sport: ,Tennis, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,N Djokovic v Nadal, Favorite: ,Novak Djokovic, 2249229   size:511.75,Price: ,1.17,Rafael Nadal, 2251410   size:157.0,Price: ,3.0,ok
1.122504490, Sport: ,Basketball, Time: ,Sat Jan 09 17:30:00 CET 2016, Time: ,Sat Jan 09 17:30:00 CET 2016, Event: ,USK Praha v Pardubice, Favorite: ,Pardubice, 5942835   size:40.44,Price: ,1.61,Usk Praha, 6851155   size:3.7,Price: ,2.36,x
1.122410131, Sport: ,Cricket, Time: ,Sat Jan 09 14:00:00 CET 2016, Time: ,Sat Jan 09 14:00:00 CET 2016, Event: ,Jamaica v ICC Americas, Favorite: ,Jamaica, 2312313   size:1339.58,Price: ,1.06,ICC Americas, 10648323   size:1339.58,Price: ,1.06,ok
1.122410134, Sport: ,Cricket, Time: ,Sat Jan 09 14:00:00 CET 2016, Time: ,Sat Jan 09 14:00:00 CET 2016, Event: ,Windward Islands v Combined C and C, Favorite: ,Windward Islands, 4649766   size:1339.58,Price: ,1.06,Combined C and C, 6952753   size:1339.58,Price: ,1.06,x
1.122481572, Sport: ,Basketball, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,FMP Beograd v Tamis, Favorite: ,FMP Beograd, 10370970   size:3.22,Price: ,1.03,Tamis, 7735827   size:3.22,Price: ,1.03,ok
