1.122337341, Sport: ,Soccer, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Portimonense v Arouca, Favorite: ,Portimonense, 505982   size:50.21,Price: ,2.8,Arouca, 3413603   size:8.04,Price: ,2.82,The Draw, 58805   size:167.98,Price: ,3.1,ok
1.122337215, Sport: ,Soccer, Time: ,Mon Dec 28 18:00:00 CET 2015, Time: ,Mon Dec 28 18:00:00 CET 2015, Event: ,Maccabi Yavne v Hapoel Jerusalem, Favorite: ,Maccabi Yavne, 5415484   size:70.25,Price: ,1.97,Hapoel Jerusalem, 5810348   size:10.0,Price: ,3.3,The Draw, 58805   size:20.85,Price: ,3.15,ok
1.122335678, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Basingstoke v Hayes and Yeading, Favorite: ,Hayes and Yeading, 2439370   size:47.33,Price: ,2.44,Basingstoke, 2159190   size:8.62,Price: ,2.58,The Draw, 58805   size:8.71,Price: ,2.98,x
1.122309447, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,Kolding Kobenhavn v GOG, Favorite: ,Draw, 330157   size:2.72,Price: ,1.03,Kolding Kobenhavn, 7670726   size:666.0,Price: ,1.04,Gog, 3343936   size:300.0,Price: ,1.04,x
1.122370757, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,Nurnberg v Dusseldorfer, Favorite: ,Nurnberg, 1032175   size:46.74,Price: ,1.19,Dusseldorfer, 6671675   size:46.74,Price: ,1.19,Tie, 60104   size:5.94,Price: ,1.28,x
1.122341151, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Birmingham v MK Dons, Favorite: ,Birmingham, 48759   size:322.62,Price: ,2.18,MK Dons, 893582   size:282.96,Price: ,3.7,The Draw, 58805   size:600.64,Price: ,3.5,ok
1.122335838, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Eastleigh v Aldershot, Favorite: ,Eastleigh, 1222691   size:6.63,Price: ,1.67,Aldershot, 62504   size:113.25,Price: ,5.4,The Draw, 58805   size:11.17,Price: ,4.2,x
1.122385453, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:00:00 CET 2015, Time: ,Mon Dec 28 19:00:00 CET 2015, Event: ,Valerenga v Stavanger, Favorite: ,Valerenga, 61435   size:9.13,Price: ,1.06,Stavanger, 518241   size:9.13,Price: ,1.06,Tie, 60104   size:5.94,Price: ,1.28,x
1.122340060, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Exeter v AFC Wimbledon, Favorite: ,AFC Wimbledon, 2662218   size:106.36,Price: ,2.48,Exeter, 66243   size:25.46,Price: ,3.1,The Draw, 58805   size:82.97,Price: ,3.55,ok
1.122344499, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Buxton v Nantwich Town, Favorite: ,Buxton, 2662204   size:19.48,Price: ,2.4,Nantwich Town, 1433861   size:19.48,Price: ,2.4,The Draw, 58805   size:11.35,Price: ,3.4,ok
