1.121326773, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK H-Z Uzh. U19 v FK Skala Stryi U19, Favorite: ,FK H-Z Uzh. U19, 6579711   size:10.57,Price: ,1.22,FK Skala Stryi U19, 8784722   size:10.57,Price: ,1.22,The Draw, 58805   size:4.99,Price: ,3.15
1.121319817, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Collerense (W) v UDG Tenerife Sur (W), Favorite: ,UDG Tenerife Sur (W), 9488105   size:4.11,Price: ,1.64,Collerense (W), 5878667   size:3.42,Price: ,4.4,The Draw, 58805   size:4.26,Price: ,3.9
1.121243659, Sport: ,Basketball, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Rain or Shine v Purefoods Hotshots, Favorite: ,Rain Or Shine, 3880438   size:263.08,Price: ,1.67,Purefoods Hotshots, 9581251   size:163.21,Price: ,2.08
1.121322674, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FK AS Trencin U19 v FC VSS Kosice U19, Favorite: ,FK AS Trencin U19, 6789553   size:10.57,Price: ,1.22,FC VSS Kosice U19, 10123630   size:10.57,Price: ,1.22,The Draw, 58805   size:10.57,Price: ,3.1
1.121326662, Sport: ,Soccer, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,FC Olimpik Donetsk U19 v FC Zorya Luhansk U19, Favorite: ,FC Zorya Luhansk U19, 6533227   size:10.57,Price: ,1.22,FC Olimpik Donetsk U19, 8801000   size:10.57,Price: ,1.36,The Draw, 58805   size:4.99,Price: ,3.15
1.121314070, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Kania v Kanepi, Favorite: ,Kaia Kanepi, 2250864   size:10.72,Price: ,1.26,Paula Kania, 7083220   size:5.98,Price: ,3.85
1.121314071, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Abduraimova v Irigoyen, Favorite: ,Nigina Abduraimova, 3378313   size:184.58,Price: ,1.37,MarÍa Irigoyen, 9125013   size:11.89,Price: ,3.35
1.121334560, Sport: ,Tennis, Time: ,Sun Oct 18 11:00:00 CEST 2015, Time: ,Sun Oct 18 11:00:00 CEST 2015, Event: ,Coin v Ma Johansson, Favorite: ,Mathilde Johansson, 2250865   size:7.22,Price: ,1.75,Julie Coin, 3289144   size:3.99,Price: ,2.16
1.121334495, Sport: ,Tennis, Time: ,Sun Oct 18 11:15:00 CEST 2015, Time: ,Sun Oct 18 11:15:00 CEST 2015, Event: ,Myneni/Singh v Lamasine/Langer, Favorite: ,Myneni/Singh, 8274250   size:94.96,Price: ,1.69,Lamasine/Langer, 10407913   size:79.12,Price: ,1.86
1.121319762, Sport: ,Soccer, Time: ,Sun Oct 18 11:30:00 CEST 2015, Time: ,Sun Oct 18 11:30:00 CEST 2015, Event: ,Real Sociedad (W) v Oiartzun KE (W), Favorite: ,Real Sociedad (W), 6794562   size:2.55,Price: ,1.47,Oiartzun KE (W), 9492955   size:10.9,Price: ,4.9,The Draw, 58805   size:3.89,Price: ,3.15
1.121331025, Sport: ,Tennis, Time: ,Sun Oct 18 11:45:00 CEST 2015, Time: ,Sun Oct 18 11:45:00 CEST 2015, Event: ,Reuter v Baudry, Favorite: ,Yannik Reuter, 8461638   size:2.72,Price: ,1.03,Simon Baudry, 9632134   size:31.92,Price: ,9.6
1.121319928, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Prainsa Zaragoza (W) v Valencia (W), Favorite: ,Valencia (W), 5226526   size:12.84,Price: ,1.76,Prainsa Zaragoza (W), 5300690   size:12.08,Price: ,2.4,The Draw, 58805   size:4.33,Price: ,3.05
1.121323834, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,AFC Leopards SC (Kenya) v Mathare United FC, Favorite: ,AFC Leopards SC (Kenya), 9564496   size:10.57,Price: ,1.22,Mathare United FC, 9670771   size:10.57,Price: ,1.22,The Draw, 58805   size:2.72,Price: ,3.05
1.121237530, Sport: ,Basketball, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Astana v UNICS Kazan, Favorite: ,Unics Kazan, 5134712   size:457.13,Price: ,1.23,Astana, 5877769   size:114.59,Price: ,4.4
1.121322548, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Lorca AD (W) v Mislata CF (W), Favorite: ,Lorca AD (W), 8278762   size:134.67,Price: ,1.06,Mislata CF (W), 6596763   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
1.121314908, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Alashkert v Banants, Favorite: ,Alashkert, 9686394   size:13.0,Price: ,1.56,Banants, 489144   size:4.85,Price: ,4.8,The Draw, 58805   size:4.09,Price: ,3.65
1.121326828, Sport: ,Soccer, Time: ,Sun Oct 18 12:00:00 CEST 2015, Time: ,Sun Oct 18 12:00:00 CEST 2015, Event: ,Metalurg Zaporizhya U19 v Illichivets U19, Favorite: ,Metalurg Zaporizhya U19, 6534953   size:134.67,Price: ,1.06,Illichivets U19, 6615339   size:134.67,Price: ,1.06,The Draw, 58805   size:2.72,Price: ,3.05
