1.121471537, Sport: ,Tennis, Time: ,Tue Oct 27 20:06:00 CET 2015, Time: ,Tue Oct 27 20:06:00 CET 2015, Event: ,Gulbis v Isner, Favorite: ,John Isner, 2474763   size:24288.07,Price: ,1.14,Ernests Gulbis, 2257536   size:373.98,Price: ,7.2
1.121475653, Sport: ,Tennis, Time: ,Tue Oct 27 20:07:00 CET 2015, Time: ,Tue Oct 27 20:07:00 CET 2015, Event: ,Dzumhur v Podlipnik-Castillo, Favorite: ,Damir Dzumhur, 7414058   size:152.03,Price: ,1.76,Hans Podlipnik-Castillo, 8461633   size:156.75,Price: ,2.2
1.121485492, Sport: ,Tennis, Time: ,Tue Oct 27 20:14:00 CET 2015, Time: ,Tue Oct 27 20:14:00 CET 2015, Event: ,Bester v Morfin Friebel, Favorite: ,Philip Bester, 2504191   size:310.52,Price: ,1.03,Luis Eduardo Morfin Fri, 9630018   size:24.96,Price: ,23.0
1.121485491, Sport: ,Tennis, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,Uchida v El Mihdawy, Favorite: ,Adam El Mihdawy, 8428926   size:8.43,Price: ,1.87,Kaichi Uchida, 8957119   size:5.69,Price: ,2.02
1.121485487, Sport: ,Tennis, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,M Arevalo v Patino, Favorite: ,Marcelo Arevalo, 7430966   size:2.55,Price: ,1.22,Luis Patino, 7083127   size:2.55,Price: ,4.8
1.121366502, Sport: ,Soccer, Time: ,Tue Oct 27 20:30:00 CET 2015, Time: ,Tue Oct 27 20:30:00 CET 2015, Event: ,FC Wacker Innsbruck v LASK Linz, Favorite: ,LASK Linz, 453570   size:6.99,Price: ,1.96,FC Wacker Innsbruck, 2469752   size:40.33,Price: ,4.3,The Draw, 58805   size:203.47,Price: ,3.75
1.121481423, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Workington v Skelmersdale United FC, Favorite: ,Workington, 1222684   size:13.75,Price: ,1.85,Skelmersdale United FC, 7727722   size:8.63,Price: ,3.25,The Draw, 58805   size:7.26,Price: ,3.85
1.121481296, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Crewe Alexandra FC B v Witton Albion, Favorite: ,Crewe Alexandra FC B, 8894674   size:10.98,Price: ,1.18,Witton Albion, 2097812   size:10.97,Price: ,1.18,The Draw, 58805   size:5.0,Price: ,2.9
1.121488999, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Ards v Larne, Favorite: ,Ards, 539987   size:138.12,Price: ,1.06,Larne, 539984   size:138.12,Price: ,1.06,The Draw, 58805   size:5.0,Price: ,2.9
1.121481365, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Halesowen v Mickleover Sports, Favorite: ,Halesowen, 981240   size:5.11,Price: ,1.93,Mickleover Sports, 7886720   size:4.03,Price: ,3.3,The Draw, 58805   size:5.5,Price: ,3.65
1.121489227, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Welling Utd v Grays Athletic, Favorite: ,Welling Utd, 1222695   size:2.3,Price: ,1.52,Grays Athletic, 62644   size:3.05,Price: ,3.65,The Draw, 58805   size:3.35,Price: ,3.85
1.121489232, Sport: ,Soccer, Time: ,Tue Oct 27 20:45:00 CET 2015, Time: ,Tue Oct 27 20:45:00 CET 2015, Event: ,Carrick Rangers v HW Welders, Favorite: ,Carrick Rangers, 2757225   size:10.87,Price: ,1.1,HW Welders, 4435926   size:10.87,Price: ,1.1,The Draw, 58805   size:8.32,Price: ,2.88
