1.119594318, Sport: ,Tennis, Time: ,Tue Jul 21 13:30:00 CEST 2015, Time: ,Tue Jul 21 13:30:00 CEST 2015, Event: ,Ozaki v Goerges, Favorite: ,Julia Goerges, 2320751   size:7.14,Price: ,1.35,Risa Ozaki, 7593284   size:9.87,Price: ,3.7,ok
1.119500410, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Ingolstadt II v Jahn Regensburg, Favorite: ,Jahn Regensburg, 4855758   size:2.86,Price: ,1.93,The Draw, 58805   size:5.0,Price: ,3.9,Ingolstadt II, 5763642   size:70.54,Price: ,4.1,ok
1.119594299, Sport: ,Tennis, Time: ,Tue Jul 21 14:30:00 CEST 2015, Time: ,Tue Jul 21 14:30:00 CEST 2015, Event: ,Sevastova v Stosur, Favorite: ,Samantha Stosur, 2248502   size:344.04,Price: ,1.5,Anastasija Sevastova, 2422070   size:120.84,Price: ,2.86,ok
1.119602840, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Belenenses v Nacional, Favorite: ,Belenenses, 48786   size:2.78,Price: ,2.16,Nacional, 203723   size:89.28,Price: ,2.84,The Draw, 58805   size:22.88,Price: ,3.6,x
1.119588214, Sport: ,Soccer, Time: ,Tue Jul 21 19:00:00 CEST 2015, Time: ,Tue Jul 21 19:00:00 CEST 2015, Event: ,Den Bosch v Waalwijk, Favorite: ,Den Bosch, 48452   size:67.0,Price: ,2.48,Waalwijk, 48447   size:51.88,Price: ,2.7,The Draw, 58805   size:4.16,Price: ,3.85,x
1.119356316, Sport: ,Basketball, Time: ,Tue Jul 21 12:30:00 CEST 2015, Time: ,Tue Jul 21 12:30:00 CEST 2015, Event: ,Canada U19 (W) v Belgium U19 (W), Favorite: ,Belgium U19 (W), 9789190   size:50.0,Price: ,1.57,Canada U19 (W), 7433565   size:16.02,Price: ,2.52,ok
1.119596106, Sport: ,Tennis, Time: ,Tue Jul 21 17:00:00 CEST 2015, Time: ,Tue Jul 21 17:00:00 CEST 2015, Event: ,Arnaboldi v Janowicz, Favorite: ,Jerzy Janowicz, 3103303   size:1002.86,Price: ,1.43,Andrea Arnaboldi, 7593283   size:240.8,Price: ,3.1,ok
1.119576977, Sport: ,Tennis, Time: ,Tue Jul 21 12:30:00 CEST 2015, Time: ,Tue Jul 21 12:30:00 CEST 2015, Event: ,Eysseric v Ghem, Favorite: ,Andre Ghem, 5304700   size:3.42,Price: ,1.44,Jonathan Eysseric, 2426230   size:17.5,Price: ,3.05,ok
1.119592166, Sport: ,Soccer, Time: ,Tue Jul 21 17:00:00 CEST 2015, Time: ,Tue Jul 21 17:00:00 CEST 2015, Event: ,FC Krasnodar II v Angusht Nazran, Favorite: ,FC Krasnodar II, 9355530   size:2.41,Price: ,2.16,Angusht Nazran, 7405512   size:4.3,Price: ,2.84,The Draw, 58805   size:4.02,Price: ,3.35,x
1.119566373, Sport: ,Basketball, Time: ,Tue Jul 21 18:30:00 CEST 2015, Time: ,Tue Jul 21 18:30:00 CEST 2015, Event: ,Washington @ Tulsa, Favorite: ,Tulsa, 711056   size:5.68,Price: ,1.65,Washington, 13105   size:32.97,Price: ,2.4,x
1.119583057, Sport: ,Tennis, Time: ,Tue Jul 21 19:15:00 CEST 2015, Time: ,Tue Jul 21 19:15:00 CEST 2015, Event: ,Giraldo v Kohlschreiber, Favorite: ,Philipp Kohlschreiber, 2257302   size:59.87,Price: ,1.46,Santiago Giraldo, 2415499   size:56.0,Price: ,3.0,ok
1.119498882, Sport: ,Soccer, Time: ,Tue Jul 21 18:00:00 CEST 2015, Time: ,Tue Jul 21 18:00:00 CEST 2015, Event: ,HJK Helsinki v FK Ventspils, Favorite: ,HJK Helsinki, 6390   size:164.9,Price: ,1.4,The Draw, 58805   size:93.95,Price: ,5.0,FK Ventspils, 46957   size:5.0,Price: ,10.5,ok
1.119575356, Sport: ,Tennis, Time: ,Tue Jul 21 18:45:00 CEST 2015, Time: ,Tue Jul 21 18:45:00 CEST 2015, Event: ,R Haase v Karatsev, Favorite: ,Robin Haase, 2309796   size:8.83,Price: ,1.29,Aslan Karatsev, 7659748   size:7.26,Price: ,3.85,ok
