1.121519828, Sport: ,Soccer, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,Newcastle U21 v Aston Villa U21, Favorite: ,Newcastle U21, 6630668   size:5.0,Price: ,1.08,Aston Villa U21, 6789377   size:5.0,Price: ,1.83,The Draw, 58805   size:5.0,Price: ,1.64,ok
1.121606408, Sport: ,Tennis, Time: ,Mon Nov 02 18:30:00 CET 2015, Time: ,Mon Nov 02 18:30:00 CET 2015, Event: ,Nedovyesov v B Becker, Favorite: ,Benjamin Becker, 2249398   size:93.71,Price: ,1.25,Aleksandr Nedovyesov, 8188266   size:9.22,Price: ,4.4,ok
1.121611837, Sport: ,Soccer, Time: ,Mon Nov 02 19:00:00 CET 2015, Time: ,Mon Nov 02 19:00:00 CET 2015, Event: ,Club Lujan v CA San Telmo, Favorite: ,Club Lujan, 9670720   size:95.58,Price: ,2.52,CA San Telmo, 9487926   size:80.36,Price: ,2.9,The Draw, 58805   size:71.85,Price: ,3.1,x
1.121519820, Sport: ,Soccer, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,Brighton U21 v West Ham U21, Favorite: ,West Ham U21, 6586873   size:22.52,Price: ,2.72,Brighton U21, 6865403   size:12.59,Price: ,2.74,The Draw, 58805   size:2.0,Price: ,3.45,ok
1.121410833, Sport: ,Soccer, Time: ,Mon Nov 02 19:00:00 CET 2015, Time: ,Mon Nov 02 19:00:00 CET 2015, Event: ,Spielberg v Waldhof Mannheim, Favorite: ,Waldhof Mannheim, 346909   size:337.99,Price: ,2.1,Spielberg, 10079926   size:12.79,Price: ,3.6,The Draw, 58805   size:6.68,Price: ,3.75,ok
1.121612004, Sport: ,Soccer, Time: ,Mon Nov 02 20:00:00 CET 2015, Time: ,Mon Nov 02 20:00:00 CET 2015, Event: ,Cruzeiro RS v Lajeadense, Favorite: ,The Draw, 58805   size:5.89,Price: ,1.42,Cruzeiro RS, 7018083   size:5.0,Price: ,1.88,Lajeadense, 6149522   size:5.89,Price: ,1.82,x
1.121450833, Sport: ,Soccer, Time: ,Mon Nov 02 19:30:00 CET 2015, Time: ,Mon Nov 02 19:30:00 CET 2015, Event: ,Anderlecht (Y) v KV Kortrijk (Y), Favorite: ,Anderlecht (Y), 7174785   size:2.54,Price: ,1.41,KV Kortrijk (Y), 7159098   size:2.05,Price: ,4.4,The Draw, 58805   size:7.49,Price: ,4.1,x
1.121467151, Sport: ,Soccer, Time: ,Mon Nov 02 18:30:00 CET 2015, Time: ,Mon Nov 02 18:30:00 CET 2015, Event: ,Achilles 29 U23 v Jong Volendam, Favorite: ,The Draw, 58805   size:139.92,Price: ,1.03,Achilles 29 U23, 10138893   size:5.59,Price: ,1.04,Jong Volendam, 5273976   size:69.96,Price: ,2.0,x
1.121452697, Sport: ,Soccer, Time: ,Mon Nov 02 20:15:00 CET 2015, Time: ,Mon Nov 02 20:15:00 CET 2015, Event: ,Nurnberg v Karlsruhe, Favorite: ,Nurnberg, 121724   size:3.33,Price: ,2.32,Karlsruhe, 113191   size:95.86,Price: ,3.45,The Draw, 58805   size:2043.92,Price: ,3.5,x
1.121607625, Sport: ,Basketball, Time: ,Tue Nov 03 01:00:00 CET 2015, Time: ,Tue Nov 03 01:00:00 CET 2015, Event: ,Sionista v San Martin, Favorite: ,San Martin, 8861781   size:182.03,Price: ,1.33,Sionista, 6719083   size:182.03,Price: ,1.45,x
