1.121345594, Sport: ,Soccer, Time: ,Sat Oct 31 16:00:00 CET 2015, Time: ,Sat Oct 31 16:00:00 CET 2015, Event: ,West Brom v Leicester, Favorite: ,Leicester, 48461   size:605.67,Price: ,2.68,West Brom, 1703   size:330.8,Price: ,2.94,The Draw, 58805   size:41.95,Price: ,3.45,ok
1.121557071, Sport: ,Handball, Time: ,Sat Oct 31 20:15:00 CET 2015, Time: ,Sat Oct 31 20:15:00 CET 2015, Event: ,Stuttgart v N Lubbecke, Favorite: ,Stuttgart, 10174885   size:3.02,Price: ,1.66,N Lubbecke, 4196313   size:15.37,Price: ,2.82,Draw, 330157   size:50.65,Price: ,8.0,x
1.121520795, Sport: ,Basketball, Time: ,Sat Oct 31 07:00:00 CET 2015, Time: ,Sat Oct 31 07:00:00 CET 2015, Event: ,KDB Life Winnus v KEB Hanabank, Favorite: ,KDB Life Winnus, 5166575   size:2.8,Price: ,1.02,KEB Hanabank, 8118828   size:2.8,Price: ,1.02,x
1.121603493, Sport: ,Tennis, Time: ,Sat Oct 31 17:45:00 CET 2015, Time: ,Sat Oct 31 17:45:00 CET 2015, Event: ,Co Frantzen v Schonenberg, Favorite: ,Constantin Frantzen, 10480086   size:7.26,Price: ,1.04,Tom Schonenberg, 8764618   size:7.26,Price: ,1.04,x
1.121572992, Sport: ,Soccer, Time: ,Sat Oct 31 16:00:00 CET 2015, Time: ,Sat Oct 31 16:00:00 CET 2015, Event: ,Vizela v Aroes SC, Favorite: ,Vizela, 1358404   size:4.15,Price: ,1.07,Aroes SC, 10243348   size:4.15,Price: ,1.07,The Draw, 58805   size:5.6,Price: ,2.88,ok
1.121575106, Sport: ,Tennis, Time: ,Sat Oct 31 11:30:00 CET 2015, Time: ,Sat Oct 31 11:30:00 CET 2015, Event: ,Sharapova v Kvitova, Favorite: ,Maria Sharapova, 2261745   size:6398.91,Price: ,1.39,Petra Kvitova, 2497008   size:44.44,Price: ,3.45,x
1.121573049, Sport: ,Tennis, Time: ,Sat Oct 31 12:00:00 CET 2015, Time: ,Sat Oct 31 12:00:00 CET 2015, Event: ,Inglot/Lindstedt v Murray/Peers, Favorite: ,Murray/Peers, 7191922   size:12.94,Price: ,1.5,Inglot/Lindstedt, 10075651   size:10.92,Price: ,2.62,ok
1.121556830, Sport: ,Handball, Time: ,Sat Oct 31 20:30:00 CET 2015, Time: ,Sat Oct 31 20:30:00 CET 2015, Event: ,Huesca v Guadalajara, Favorite: ,Huesca, 5798698   size:5.9,Price: ,1.32,Guadalajara, 4995923   size:38.91,Price: ,4.7,Draw, 330157   size:15.57,Price: ,10.0,x
1.121575296, Sport: ,Tennis, Time: ,Sat Oct 31 14:00:00 CET 2015, Time: ,Sat Oct 31 14:00:00 CET 2015, Event: ,Fett v Jorovic, Favorite: ,Jana Fett, 9087351   size:43.66,Price: ,1.83,Ivana Jorovic, 8907530   size:2.65,Price: ,1.96,x
1.121561108, Sport: ,Soccer, Time: ,Sat Oct 31 17:45:00 CET 2015, Time: ,Sat Oct 31 17:45:00 CET 2015, Event: ,Kuwait SC v Al Nasar (KUW), Favorite: ,Al Nasar (KUW), 6279459   size:138.75,Price: ,1.06,Kuwait SC, 3013377   size:4.15,Price: ,1.07,The Draw, 58805   size:5.6,Price: ,2.88,x
1.121404665, Sport: ,Soccer, Time: ,Sat Oct 31 08:00:00 CET 2015, Time: ,Sat Oct 31 08:00:00 CET 2015, Event: ,Shanghai Shenhua v Jiangsu Sainty, Favorite: ,Shanghai Shenhua, 1550828   size:6.72,Price: ,2.24,Jiangsu Sainty, 5440200   size:54.73,Price: ,3.25,The Draw, 58805   size:144.04,Price: ,3.75,ok
1.121493052, Sport: ,Soccer, Time: ,Sat Oct 31 13:00:00 CET 2015, Time: ,Sat Oct 31 13:00:00 CET 2015, Event: ,Rozwoj Katowice v Miedz Legnica, Favorite: ,Miedz Legnica, 4935893   size:11.72,Price: ,2.1,Rozwoj Katowice, 7568776   size:15.7,Price: ,3.85,The Draw, 58805   size:5.0,Price: ,3.45,x
