1.121224042, Sport: ,Tennis, Time: ,Wed Oct 14 09:00:00 CEST 2015, Time: ,Wed Oct 14 09:00:00 CEST 2015, Event: ,H Watson v Ya Lee, Favorite: ,Heather Watson, 4174997   size:283.24,Price: ,1.2,Ya-Hsuan Lee, 8839147   size:21.4,Price: ,5.5,ok
1.121229695, Sport: ,Soccer, Time: ,Thu Oct 15 01:00:00 CEST 2015, Time: ,Thu Oct 15 01:00:00 CEST 2015, Event: ,Deportes Copiapo v Colo Colo, Favorite: ,Colo Colo, 330239   size:7.03,Price: ,1.68,Deportes Copiapo, 5663001   size:5.91,Price: ,4.1,The Draw, 58805   size:17.21,Price: ,3.55,ok
1.121111081, Sport: ,Soccer, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Whitby Town v Hyde, Favorite: ,Whitby Town, 62653   size:4.45,Price: ,2.5,Hyde, 1053216   size:2.44,Price: ,2.52,The Draw, 58805   size:2.55,Price: ,3.7,x
1.121133098, Sport: ,Handball, Time: ,Wed Oct 14 20:00:00 CEST 2015, Time: ,Wed Oct 14 20:00:00 CEST 2015, Event: ,Cesson Rennes v Ivry, Favorite: ,Cesson Rennes, 6721923   size:3.52,Price: ,1.42,Ivry, 4292473   size:3.93,Price: ,3.75,Draw, 330157   size:44.7,Price: ,8.6,ok
1.121133097, Sport: ,Handball, Time: ,Wed Oct 14 20:00:00 CEST 2015, Time: ,Wed Oct 14 20:00:00 CEST 2015, Event: ,Creteil v Tremblay, Favorite: ,Creteil, 4292472   size:3.25,Price: ,1.54,Tremblay, 4292471   size:4.2,Price: ,3.1,Draw, 330157   size:3.21,Price: ,8.2,ok
1.121224449, Sport: ,Tennis, Time: ,Wed Oct 14 20:30:00 CEST 2015, Time: ,Wed Oct 14 20:30:00 CEST 2015, Event: ,Dodig v Copil, Favorite: ,Ivan Dodig, 2835266   size:26.56,Price: ,1.35,Marius Copil, 4195870   size:5.7,Price: ,2.28,ok
1.121133099, Sport: ,Handball, Time: ,Wed Oct 14 20:00:00 CEST 2015, Time: ,Wed Oct 14 20:00:00 CEST 2015, Event: ,Dunkerque v Nimes, Favorite: ,Dunkerque, 3786987   size:4.17,Price: ,1.47,Nimes, 4292475   size:7.51,Price: ,3.35,Draw, 330157   size:44.84,Price: ,8.6,ok
1.121115048, Sport: ,Ice Hockey, Time: ,Thu Oct 15 04:05:00 CEST 2015, Time: ,Thu Oct 15 04:05:00 CEST 2015, Event: ,Boston @ Colorado, Favorite: ,Colorado, 2108117   size:2.34,Price: ,2.14,Boston, 2112316   size:7.42,Price: ,2.86,Tie, 60104   size:7.03,Price: ,3.7,x
1.121110033, Sport: ,Soccer, Time: ,Wed Oct 14 14:00:00 CEST 2015, Time: ,Wed Oct 14 14:00:00 CEST 2015, Event: ,FC Slovan Liberec U19 v FC Banik Ostrava U19, Favorite: ,FC Slovan Liberec U19, 6584732   size:3.51,Price: ,1.07,FC Banik Ostrava U19, 6582685   size:2.73,Price: ,1.09,The Draw, 58805   size:2.54,Price: ,1.39,ok
1.121113822, Sport: ,Soccer, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Portadown v Warrenpoint Town, Favorite: ,Portadown, 180586   size:2.55,Price: ,1.5,Warrenpoint Town, 3611092   size:3.89,Price: ,5.9,The Draw, 58805   size:4.01,Price: ,4.2,x
1.121113824, Sport: ,Soccer, Time: ,Wed Oct 14 20:45:00 CEST 2015, Time: ,Wed Oct 14 20:45:00 CEST 2015, Event: ,Annagh Utd v Ards, Favorite: ,Annagh Utd, 4918029   size:3.51,Price: ,1.07,Ards, 539987   size:3.51,Price: ,1.07,The Draw, 58805   size:2.54,Price: ,1.39,x
