1.119711273, Sport: ,Baseball, Time: ,Sun Aug 02 20:10:00 CEST 2015, Time: ,Sun Aug 02 20:10:00 CEST 2015, Event: ,NYY @ CWS, Favorite: ,Chi White Sox (J Samardzija), 9439851   size:254.0,Price: ,1.86,NY Yankees (I Nova), 5445498   size:24.47,Price: ,2.12,x
1.119662319, Sport: ,Soccer, Time: ,Sun Aug 02 19:00:00 CEST 2015, Time: ,Sun Aug 02 19:00:00 CEST 2015, Event: ,Rostov v FK Krasnodar, Favorite: ,FK Krasnodar, 4020902   size:324.93,Price: ,2.4,The Draw, 58805   size:376.93,Price: ,3.3,Rostov, 503146   size:284.44,Price: ,3.4,x
1.119663646, Sport: ,Soccer, Time: ,Sun Aug 02 14:00:00 CEST 2015, Time: ,Sun Aug 02 14:00:00 CEST 2015, Event: ,Hallescher FC v Holstein Kiel, Favorite: ,Hallescher FC, 3235360   size:52.46,Price: ,2.18,The Draw, 58805   size:35.67,Price: ,3.4,Holstein Kiel, 247830   size:6.37,Price: ,3.85,x
1.119660934, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Aalesunds v Start, Favorite: ,Aalesunds, 3038746   size:52.9,Price: ,2.0,The Draw, 58805   size:355.3,Price: ,3.95,ok
1.119802948, Sport: ,Soccer, Time: ,Sun Aug 02 15:00:00 CEST 2015, Time: ,Sun Aug 02 15:00:00 CEST 2015, Event: ,FK Kokand 1912 v Dinamo Samarqand, Favorite: ,Dinamo Samarqand, 5614420   size:20.91,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119802384, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Bukovina v Real Pharm Ovidiopol, Favorite: ,Real Pharm Ovidiopol, 8792404   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119807956, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Levadia Tallinn II v FC Infonet II, Favorite: ,Levadia Tallinn II, 5412337   size:70.02,Price: ,2.04,FC Infonet II, 8866982   size:6.29,Price: ,2.56,The Draw, 58805   size:3.73,Price: ,3.85,ok
1.119728252, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Deportivo Santani v Rubio Nu, Favorite: ,Deportivo Santani, 7457440   size:7.45,Price: ,2.24,Rubio Nu, 5363620   size:2.55,Price: ,3.15,The Draw, 58805   size:3.68,Price: ,3.25,x
1.119805535, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,Brown de Adrogue v Flandria, Favorite: ,Brown de Adrogue, 7047340   size:3.1,Price: ,1.65,The Draw, 58805   size:14.16,Price: ,3.1,Flandria, 9509138   size:7.38,Price: ,5.1,ok
1.119728014, Sport: ,Soccer, Time: ,Sun Aug 02 21:00:00 CEST 2015, Time: ,Sun Aug 02 21:00:00 CEST 2015, Event: ,Deportivo Capiata v Sportivo San Lorenzo, Favorite: ,Deportivo Capiata, 7037000   size:2.55,Price: ,2.08,The Draw, 58805   size:3.86,Price: ,2.98,Sportivo San Lorenzo, 7598628   size:3.57,Price: ,3.8,x
