1.119665697, Sport: ,Soccer, Time: ,Sun Aug 02 15:30:00 CEST 2015, Time: ,Sun Aug 02 15:30:00 CEST 2015, Event: ,SV Sandhausen v Union Berlin, Favorite: ,SV Sandhausen, 2047448   size:40.5,Price: ,2.48,Union Berlin, 50347   size:8.62,Price: ,3.3,The Draw, 58805   size:9.87,Price: ,3.35,ok
1.119662527, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,AC Kajaani v KPV, Favorite: ,KPV, 1130626   size:142.09,Price: ,1.06,The Draw, 58805   size:2.84,Price: ,1.25,ok
1.119662529, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,FC YPA v OPS, Favorite: ,OPS, 2391052   size:142.09,Price: ,1.06,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119804658, Sport: ,Soccer, Time: ,Sun Aug 02 18:00:00 CEST 2015, Time: ,Sun Aug 02 18:00:00 CEST 2015, Event: ,Eskisehirspor v FC Lokomotivi Tbilisi, Favorite: ,FC Lokomotivi Tbilisi, 6845261   size:25.46,Price: ,1.02,The Draw, 58805   size:2.84,Price: ,1.25,x
1.119662523, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,Klubi-04 v FC Lahti Akatemia, Favorite: ,FC Lahti Akatemia, 7138729   size:142.09,Price: ,1.06,Klubi-04, 798978   size:7.49,Price: ,1.47,The Draw, 58805   size:33.76,Price: ,3.75,x
1.119801705, Sport: ,Soccer, Time: ,Sun Aug 02 17:00:00 CEST 2015, Time: ,Sun Aug 02 17:00:00 CEST 2015, Event: ,Blektini Stargard v Kotwica Kolobrzeg, Favorite: ,Blektini Stargard, 8767306   size:12.14,Price: ,1.64,The Draw, 58805   size:21.33,Price: ,2.62,Kotwica Kolobrzeg, 10103858   size:11.22,Price: ,2.86,ok
1.119662525, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,FC Myllypuro v Sudet, Favorite: ,Sudet, 4663570   size:4.32,Price: ,1.97,FC Myllypuro, 8490281   size:3.38,Price: ,2.58,The Draw, 58805   size:3.89,Price: ,3.95,ok
1.119663856, Sport: ,Soccer, Time: ,Sun Aug 02 17:30:00 CEST 2015, Time: ,Sun Aug 02 17:30:00 CEST 2015, Event: ,Schalke v Twente, Favorite: ,Schalke, 50335   size:285.49,Price: ,1.46,The Draw, 58805   size:20.19,Price: ,4.7,Twente, 48446   size:5.0,Price: ,7.4,x
1.119805866, Sport: ,Soccer, Time: ,Sun Aug 02 16:30:00 CEST 2015, Time: ,Sun Aug 02 16:30:00 CEST 2015, Event: ,Slavia Mozyr v Baranovichi, Favorite: ,Slavia Mozyr, 44624   size:7.36,Price: ,1.48,The Draw, 58805   size:13.58,Price: ,3.25,Baranovichi, 5645190   size:5.86,Price: ,4.0,ok
1.119815756, Sport: ,Soccer, Time: ,Sun Aug 02 16:00:00 CEST 2015, Time: ,Sun Aug 02 16:00:00 CEST 2015, Event: ,West Ham v Werder Bremen, Favorite: ,West Ham, 48756   size:27.44,Price: ,2.5,Werder Bremen, 6555433   size:5.0,Price: ,2.98,The Draw, 58805   size:120.14,Price: ,3.6,x
