1.121643074, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,Hamburg v Krefeld Pinguine, Favorite: ,Hamburg, 1031535   size:71.03,Price: ,1.65,Krefeld Pinguine, 233926   size:5.0,Price: ,4.3,Tie, 60104   size:35.69,Price: ,5.5,x
1.121757280, Sport: ,Soccer, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Ittihad Tanger v RSB Berkane, Favorite: ,Ittihad Tanger, 8717798   size:3.53,Price: ,2.32,RSB Berkane, 6666990   size:78.68,Price: ,4.0,The Draw, 58805   size:63.61,Price: ,2.96,ok
1.121768303, Sport: ,Soccer, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,Anderlecht (W) v OH Leuven (W), Favorite: ,Anderlecht (W), 6639183   size:186.36,Price: ,1.03,OH Leuven (W), 6743192   size:25.74,Price: ,60.0,The Draw, 58805   size:12.09,Price: ,6.6,ok
1.121766769, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Glasgow v Leicester, Favorite: ,Leicester, 2938536   size:4.92,Price: ,1.32,Glasgow, 6719052   size:38.24,Price: ,3.7,ok
1.121766803, Sport: ,Basketball, Time: ,Fri Nov 13 21:00:00 CET 2015, Time: ,Fri Nov 13 21:00:00 CET 2015, Event: ,Tajfun v Metalac, Favorite: ,Tajfun, 8193254   size:3.43,Price: ,1.89,Metalac, 7735981   size:67.99,Price: ,2.1,ok
1.121668052, Sport: ,Soccer, Time: ,Fri Nov 13 18:00:00 CET 2015, Time: ,Fri Nov 13 18:00:00 CET 2015, Event: ,Germany U21 v Azerbaijan U21, Favorite: ,Germany U21, 210028   size:44939.51,Price: ,1.03,Azerbaijan U21, 3938974   size:59.64,Price: ,120.0,The Draw, 58805   size:5.02,Price: ,32.0,ok
1.121769367, Sport: ,Soccer, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Gent (W) v KSK Heist (W), Favorite: ,Gent (W), 10397983   size:4.08,Price: ,1.28,KSK Heist (W), 10238295   size:5.96,Price: ,5.2,The Draw, 58805   size:2.13,Price: ,2.96,x
1.121766772, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Newcastle v Sheffield, Favorite: ,Newcastle, 6719050   size:475.03,Price: ,1.16,Sheffield, 2938535   size:18.7,Price: ,6.0,ok
1.121771165, Sport: ,Ice Hockey, Time: ,Fri Nov 13 18:00:00 CET 2015, Time: ,Fri Nov 13 18:00:00 CET 2015, Event: ,Piestany v Zilina, Favorite: ,Piestany, 6651342   size:2.5,Price: ,2.0,Zilina, 2078590   size:7.82,Price: ,2.78,Tie, 60104   size:118.97,Price: ,4.0,x
1.121806538, Sport: ,Tennis, Time: ,Fri Nov 13 16:00:00 CET 2015, Time: ,Fri Nov 13 16:00:00 CET 2015, Event: ,Gerasimov v Gombos, Favorite: ,Norbert Gombos, 8173023   size:19.93,Price: ,1.59,Egor Gerasimov, 7797772   size:5.0,Price: ,2.66,x
1.121766893, Sport: ,Basketball, Time: ,Fri Nov 13 18:00:00 CET 2015, Time: ,Fri Nov 13 18:00:00 CET 2015, Event: ,CSKA Moscow v Unicaja Malaga, Favorite: ,CSKA Moscow, 266272   size:556.89,Price: ,1.15,Unicaja Malaga, 266279   size:89.83,Price: ,7.2,x
1.121771166, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:00:00 CET 2015, Time: ,Fri Nov 13 17:00:00 CET 2015, Event: ,Zvolen v Nitra, Favorite: ,Zvolen, 2078582   size:8.51,Price: ,2.02,Nitra, 2078603   size:13.1,Price: ,2.84,Tie, 60104   size:19.63,Price: ,4.8,x
1.121771320, Sport: ,Tennis, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Podlipnik-Castillo v Edmund, Favorite: ,Kyle Edmund, 5626817   size:215.98,Price: ,1.56,Hans Podlipnik-Castillo, 8461633   size:11.96,Price: ,2.68,ok
1.121766770, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Leeds v Surrey, Favorite: ,Leeds, 8862089   size:4.01,Price: ,1.62,Surrey, 6719046   size:6.03,Price: ,2.48,ok
1.121766771, Sport: ,Basketball, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,London v Manchester, Favorite: ,London, 6719045   size:156.96,Price: ,1.27,Manchester, 6719049   size:9.16,Price: ,4.5,ok
1.121797418, Sport: ,Tennis, Time: ,Fri Nov 13 15:45:00 CET 2015, Time: ,Fri Nov 13 15:45:00 CET 2015, Event: ,Khachanov v A Mannarino, Favorite: ,Adrian Mannarino, 3066621   size:275.92,Price: ,1.57,Karen Khachanov, 7659623   size:11.54,Price: ,2.66,ok
1.121640516, Sport: ,Ice Hockey, Time: ,Fri Nov 13 18:00:00 CET 2015, Time: ,Fri Nov 13 18:00:00 CET 2015, Event: ,Liberec v Mlada Boleslav, Favorite: ,Mlada Boleslav, 3327988   size:227.85,Price: ,1.31,Liberec, 563262   size:7.14,Price: ,1.74,Tie, 60104   size:18.11,Price: ,4.9,x
1.121640513, Sport: ,Ice Hockey, Time: ,Fri Nov 13 18:00:00 CET 2015, Time: ,Fri Nov 13 18:00:00 CET 2015, Event: ,Karlovy Vary v Pardubice, Favorite: ,Karlovy Vary, 1366079   size:2.92,Price: ,2.22,Pardubice, 563269   size:20.81,Price: ,2.84,Tie, 60104   size:20.78,Price: ,4.4,ok
1.121766939, Sport: ,Basketball, Time: ,Fri Nov 13 18:45:00 CET 2015, Time: ,Fri Nov 13 18:45:00 CET 2015, Event: ,Pinar Karsiyaka v Zielona Gora, Favorite: ,Pinar Karsiyaka, 631283   size:384.99,Price: ,1.26,Zielona Gora, 6703617   size:19.6,Price: ,4.3,ok
1.121679903, Sport: ,Handball, Time: ,Fri Nov 13 19:45:00 CET 2015, Time: ,Fri Nov 13 19:45:00 CET 2015, Event: ,Aranas v Karlskrona, Favorite: ,Draw, 330157   size:18.0,Price: ,1.02,Aranas, 3343966   size:12.33,Price: ,1.79,Karlskrona, 10260449   size:3.81,Price: ,2.58,x
1.121753473, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,RoKi v LeKi, Favorite: ,Leki, 4196564   size:6.03,Price: ,2.04,Roki, 4196540   size:2.13,Price: ,3.05,Tie, 60104   size:21.63,Price: ,4.5,ok
1.121643067, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,ERC Ingolstadt v Iserlohn, Favorite: ,ERC Ingolstadt, 233927   size:65.25,Price: ,2.22,Iserlohn, 265130   size:19.49,Price: ,2.74,Tie, 60104   size:20.0,Price: ,4.8,x
1.121667374, Sport: ,Soccer, Time: ,Fri Nov 13 18:30:00 CET 2015, Time: ,Fri Nov 13 18:30:00 CET 2015, Event: ,Qatar v Turkey, Favorite: ,Turkey, 15294   size:30.26,Price: ,1.84,Qatar, 53447   size:87.1,Price: ,5.3,The Draw, 58805   size:50.11,Price: ,3.65,ok
1.121725222, Sport: ,Rugby Union, Time: ,Fri Nov 13 19:30:00 CET 2015, Time: ,Fri Nov 13 19:30:00 CET 2015, Event: ,Brive v Newcastle, Favorite: ,Brive, 632440   size:141.27,Price: ,1.26,Newcastle, 1247243   size:2.72,Price: ,5.1,Draw, 246289   size:2.0,Price: ,21.0,ok
1.121748329, Sport: ,Ice Hockey, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Ilves v Tappara, Favorite: ,Tappara, 66427   size:9.48,Price: ,2.0,Ilves, 66426   size:5.0,Price: ,3.4,Tie, 60104   size:104.99,Price: ,4.5,x
1.121669926, Sport: ,Soccer, Time: ,Fri Nov 13 20:30:00 CET 2015, Time: ,Fri Nov 13 20:30:00 CET 2015, Event: ,Bangor City v Airbus UK, Favorite: ,Airbus UK, 3667303   size:2.9,Price: ,1.81,Bangor City, 198751   size:4.36,Price: ,3.0,The Draw, 58805   size:6.64,Price: ,3.05,x
1.121766383, Sport: ,Basketball, Time: ,Fri Nov 13 19:04:00 CET 2015, Time: ,Fri Nov 13 19:04:00 CET 2015, Event: ,Umea v Nassjo, Favorite: ,Nassjo, 7735757   size:5.16,Price: ,1.26,Umea, 8781147   size:64.45,Price: ,4.2,x
1.121668559, Sport: ,Soccer, Time: ,Fri Nov 13 17:30:00 CET 2015, Time: ,Fri Nov 13 17:30:00 CET 2015, Event: ,Znojmo v Opava, Favorite: ,Znojmo, 4142628   size:4.36,Price: ,1.61,Opava, 470216   size:2.01,Price: ,7.2,The Draw, 58805   size:116.68,Price: ,4.0,ok
1.121669924, Sport: ,Soccer, Time: ,Fri Nov 13 20:45:00 CET 2015, Time: ,Fri Nov 13 20:45:00 CET 2015, Event: ,The New Saints v Rhyl, Favorite: ,The New Saints, 3667304   size:685.89,Price: ,1.16,Rhyl, 339726   size:20.32,Price: ,23.0,The Draw, 58805   size:42.66,Price: ,9.2,x
1.121640147, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:15:00 CET 2015, Time: ,Fri Nov 13 19:15:00 CET 2015, Event: ,Graz 99ers v SAPA Fehervar AV19, Favorite: ,Graz 99ers, 748396   size:2.75,Price: ,1.82,SAPA Fehervar AV19, 4182888   size:34.28,Price: ,3.5,Tie, 60104   size:104.92,Price: ,4.4,x
1.121766382, Sport: ,Basketball, Time: ,Fri Nov 13 19:04:00 CET 2015, Time: ,Fri Nov 13 19:04:00 CET 2015, Event: ,Boras v Lulea, Favorite: ,Boras, 7037205   size:246.95,Price: ,1.31,Lulea, 10362456   size:28.0,Price: ,3.65,ok
1.121771333, Sport: ,Darts, Time: ,Fri Nov 13 20:15:00 CET 2015, Time: ,Fri Nov 13 20:15:00 CET 2015, Event: ,Mark Webster v van Barneveld, Favorite: ,Raymond van Barneveld, 2401318   size:2278.17,Price: ,1.55,Mark Webster, 2409763   size:150.93,Price: ,2.78,ok
1.121640144, Sport: ,Ice Hockey, Time: ,Fri Nov 13 19:15:00 CET 2015, Time: ,Fri Nov 13 19:15:00 CET 2015, Event: ,Liwest Linz v Vienna Capitals, Favorite: ,Liwest Linz, 1266781   size:3.0,Price: ,2.16,Vienna Capitals, 563229   size:44.84,Price: ,2.82,Tie, 60104   size:22.87,Price: ,4.3,ok
