1.121356559, Sport: ,Soccer, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Bunyodkor v Pakhtakor, Favorite: ,Pakhtakor, 2909658   size:10.57,Price: ,1.32,Bunyodkor, 3393514   size:10.57,Price: ,2.0,The Draw, 58805   size:10.57,Price: ,3.0,x
1.121332624, Sport: ,Tennis, Time: ,Wed Oct 21 13:00:00 CEST 2015, Time: ,Wed Oct 21 13:00:00 CEST 2015, Event: ,Kubot/Melo v Cabal/Farah, Favorite: ,Kubot/Melo, 10431514   size:2.55,Price: ,1.88,Cabal/Farah, 6098095   size:5.72,Price: ,1.98,ok
1.121376164, Sport: ,Tennis, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Weinhold v Al Nabhani, Favorite: ,Ashley Weinhold, 2522853   size:3.08,Price: ,1.08,Fatma Al Nabhani, 5336798   size:3.08,Price: ,1.08,ok
1.121372000, Sport: ,Tennis, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Pennetta v Gavrilova, Favorite: ,Flavia Pennetta, 2248507   size:5.0,Price: ,1.78,Daria Gavrilova, 5053424   size:7.54,Price: ,2.14,ok
1.121277083, Sport: ,Soccer, Time: ,Wed Oct 21 14:00:00 CEST 2015, Time: ,Wed Oct 21 14:00:00 CEST 2015, Event: ,Paris St-G U19 v Real Madrid U19, Favorite: ,Paris St-G U19, 6569319   size:4.63,Price: ,1.83,Real Madrid U19, 7653237   size:2.55,Price: ,3.3,The Draw, 58805   size:2.58,Price: ,4.1,ok
1.121350333, Sport: ,Tennis, Time: ,Wed Oct 21 11:00:00 CEST 2015, Time: ,Wed Oct 21 11:00:00 CEST 2015, Event: ,Menendez-Maceiras v Gunneswaran, Favorite: ,Adrian Menendez-Maceira, 9128710   size:546.96,Price: ,1.08,Prajnesh Gunneswaran, 8256934   size:10.57,Price: ,8.8,ok
1.121362781, Sport: ,Tennis, Time: ,Wed Oct 21 12:30:00 CEST 2015, Time: ,Wed Oct 21 12:30:00 CEST 2015, Event: ,Guez v Jacq, Favorite: ,David Guez, 2263683   size:6.16,Price: ,1.04,Gregoire Jacq, 8427051   size:5.72,Price: ,1.35,ok
1.121341502, Sport: ,Tennis, Time: ,Wed Oct 21 15:30:00 CEST 2015, Time: ,Wed Oct 21 15:30:00 CEST 2015, Event: ,Maria/Watson v Klemenschits/Witthoeft, Favorite: ,Maria/Watson, 10434455   size:2.55,Price: ,1.39,Klemenschits/Witthoeft, 10027018   size:2.24,Price: ,2.74,ok
1.121362387, Sport: ,Tennis, Time: ,Wed Oct 21 15:00:00 CEST 2015, Time: ,Wed Oct 21 15:00:00 CEST 2015, Event: ,Bednarek/Martin v Junaid/Zelenay, Favorite: ,Junaid/Zelenay, 8943975   size:5.72,Price: ,1.7,Bednarek/Martin, 10250813   size:2.55,Price: ,2.08,ok
1.121355174, Sport: ,Soccer, Time: ,Wed Oct 21 14:30:00 CEST 2015, Time: ,Wed Oct 21 14:30:00 CEST 2015, Event: ,Ittihad Al Ramtha v Al Sarhan, Favorite: ,Ittihad Al Ramtha, 8149517   size:2.73,Price: ,1.09,Al Sarhan, 7663429   size:3.0,Price: ,2.82,The Draw, 58805   size:4.08,Price: ,2.88,x
1.121233274, Sport: ,Soccer, Time: ,Wed Oct 21 15:30:00 CEST 2015, Time: ,Wed Oct 21 15:30:00 CEST 2015, Event: ,Malmo U19 v Shakhtar U19, Favorite: ,Shakhtar U19, 7653217   size:3.02,Price: ,1.91,Malmo U19, 8835054   size:3.27,Price: ,2.92,The Draw, 58805   size:4.19,Price: ,4.1,x
1.121362789, Sport: ,Tennis, Time: ,Wed Oct 21 11:30:00 CEST 2015, Time: ,Wed Oct 21 11:30:00 CEST 2015, Event: ,Chen/Propoggia v Nagal/Vardhan, Favorite: ,Chen/Propoggia, 10433987   size:5.72,Price: ,1.37,Nagal/Vardhan, 10433982   size:5.72,Price: ,2.68,ok
1.121233714, Sport: ,Soccer, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Wolfsburg U19 v PSV U19, Favorite: ,Wolfsburg U19, 6569328   size:8.55,Price: ,1.53,PSV U19, 2502335   size:2.55,Price: ,3.95,The Draw, 58805   size:2.55,Price: ,4.5,ok
1.121233439, Sport: ,Soccer, Time: ,Wed Oct 21 16:00:00 CEST 2015, Time: ,Wed Oct 21 16:00:00 CEST 2015, Event: ,Ravan Baku U19 v Spartak Moscow U19, Favorite: ,Spartak Moscow U19, 10317869   size:3.52,Price: ,1.07,Ravan Baku U19, 8110456   size:18.0,Price: ,1.08,The Draw, 58805   size:18.0,Price: ,2.9,x
1.121060484, Sport: ,Cricket, Time: ,Wed Oct 21 03:30:00 CEST 2015, Time: ,Wed Oct 21 03:30:00 CEST 2015, Event: ,Papua New Guinea U19 v USA U19, Favorite: ,Papua New Guinea U19, 8221871   size:2.55,Price: ,1.77,USA U19, 10380955   size:2.55,Price: ,1.77,x
1.121235218, Sport: ,Soccer, Time: ,Wed Oct 21 12:00:00 CEST 2015, Time: ,Wed Oct 21 12:00:00 CEST 2015, Event: ,G-Osaka v Guangzhou FC, Favorite: ,Guangzhou FC, 5723376   size:5.0,Price: ,2.4,G-Osaka, 441083   size:4.05,Price: ,3.05,The Draw, 58805   size:7.14,Price: ,3.65,x
1.121329907, Sport: ,Basketball, Time: ,Wed Oct 21 02:00:00 CEST 2015, Time: ,Wed Oct 21 02:00:00 CEST 2015, Event: ,Penarol v Argentino, Favorite: ,Penarol, 6719113   size:2.72,Price: ,1.02,Argentino, 6719106   size:2.72,Price: ,1.02,ok
