1.122431460, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,CD Aurrera de Vitoria v CD Basconia, Favorite: ,CD Basconia, 8300534   size:2.62,Price: ,2.46,CD Aurrera de Vitoria, 6520554   size:2.5,Price: ,2.58,The Draw, 58805   size:2.17,Price: ,2.96,x
1.122400151, Sport: ,Rugby Union, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,Worcester v Harlequins, Favorite: ,Harlequins, 37893   size:2.6,Price: ,1.48,Worcester Warriors, 833555   size:5.99,Price: ,2.94,Draw, 246289   size:4.08,Price: ,25.0,ok
1.122431462, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,CD Barco v Ordenes CF, Favorite: ,CD Barco, 8717585   size:2.55,Price: ,2.06,Ordenes CF, 8811934   size:2.08,Price: ,3.1,The Draw, 58805   size:2.08,Price: ,3.1,x
1.122431506, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Ciudad Rodrigo CF v CD Cristo Atletico, Favorite: ,Ciudad Rodrigo CF, 10185166   size:3.69,Price: ,1.16,CD Cristo Atletico, 8278815   size:3.69,Price: ,1.16,The Draw, 58805   size:16.32,Price: ,2.88,x
1.122431508, Sport: ,Soccer, Time: ,Sun Jan 03 16:30:00 CET 2016, Time: ,Sun Jan 03 16:30:00 CET 2016, Event: ,Club Atletico Bembibre v GCE Villaralbo CF, Favorite: ,Club Atletico Bembibre, 7717183   size:2.27,Price: ,2.2,GCE Villaralbo CF, 9301064   size:38.71,Price: ,2.84,The Draw, 58805   size:13.66,Price: ,2.98,ok
1.122450687, Sport: ,Tennis, Time: ,Sun Jan 03 08:15:00 CET 2016, Time: ,Sun Jan 03 08:15:00 CET 2016, Event: ,Su Hsieh v Y Duan, Favorite: ,Su-Wei Hsieh, 8244521   size:2.05,Price: ,1.6,Ying-Ying Duan, 8243878   size:35.3,Price: ,2.44,ok
1.122409480, Sport: ,Ice Hockey, Time: ,Sun Jan 03 17:20:00 CET 2016, Time: ,Sun Jan 03 17:20:00 CET 2016, Event: ,Pardubice v Vitkovice Steel, Favorite: ,Tie, 60104   size:13.32,Price: ,1.56,Pardubice, 563269   size:12.17,Price: ,1.71,Vitkovice Steel, 2878390   size:13.7,Price: ,1.73,ok
1.122431502, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,CF Noia v Ribadeo FC, Favorite: ,CF Noia, 10550313   size:3.69,Price: ,1.16,Ribadeo FC, 8859062   size:3.69,Price: ,1.16,The Draw, 58805   size:16.32,Price: ,2.88,x
1.122431468, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,CD Cebrerena v CD Becerril, Favorite: ,CD Cebrerena, 8479497   size:3.69,Price: ,1.16,CD Becerril, 8041102   size:3.69,Price: ,1.16,The Draw, 58805   size:16.32,Price: ,2.88,x
1.122431504, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,CF Torre Levante v Paterna CF, Favorite: ,CF Torre Levante, 9355536   size:2.55,Price: ,1.8,Paterna CF, 7906132   size:2.55,Price: ,3.95,The Draw, 58805   size:2.55,Price: ,3.2,ok
1.122444440, Sport: ,Soccer, Time: ,Sun Jan 03 20:00:00 CET 2016, Time: ,Sun Jan 03 20:00:00 CET 2016, Event: ,Gremio E O U20 v AE Altos U20, Favorite: ,Gremio E O U20, 6147395   size:2.55,Price: ,1.25,AE Altos U20, 10681137   size:87.06,Price: ,5.1,The Draw, 58805   size:114.07,Price: ,4.2,ok
1.122444289, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Goiania EC Goiania U20 v Ass Portuguesa U20, Favorite: ,Ass Portuguesa U20, 7279672   size:4.52,Price: ,1.43,Goiania EC Goiania U20, 10681109   size:7.89,Price: ,3.35,The Draw, 58805   size:7.89,Price: ,3.35,x
1.122446982, Sport: ,Soccer, Time: ,Sun Jan 03 14:15:00 CET 2016, Time: ,Sun Jan 03 14:15:00 CET 2016, Event: ,Umm Salal v Al Sadd (QAT), Favorite: ,Al Sadd (QAT), 4525676   size:3.22,Price: ,2.0,Umm Salal, 5174707   size:7.78,Price: ,3.5,The Draw, 58805   size:3.43,Price: ,3.5,x
1.122431490, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,CD Palencia v UD Santa Marta, Favorite: ,CD Palencia, 9282890   size:5.34,Price: ,1.21,UD Santa Marta, 6796961   size:7.01,Price: ,11.5,The Draw, 58805   size:17.4,Price: ,5.2,x
1.122431492, Sport: ,Soccer, Time: ,Sun Jan 03 11:15:00 CET 2016, Time: ,Sun Jan 03 11:15:00 CET 2016, Event: ,CD Santurtzi v UD Aretxabaleta, Favorite: ,CD Santurtzi, 8826846   size:64.67,Price: ,1.77,UD Aretxabaleta, 10185268   size:2.99,Price: ,3.8,The Draw, 58805   size:6.22,Price: ,3.8,x
1.122433314, Sport: ,Basketball, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Usti nad Labem v Opava, Favorite: ,Opava, 7758596   size:2.55,Price: ,1.68,Usti Nad Labem, 7758609   size:2.55,Price: ,2.26,x
1.122431498, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CE Jupiter v AEC Manlleu, Favorite: ,CE Jupiter, 6797331   size:2.15,Price: ,2.18,AEC Manlleu, 6399678   size:4.19,Price: ,3.0,The Draw, 58805   size:4.09,Price: ,3.2,x
1.122431494, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,CD Siete Villas v CD Guarnizo, Favorite: ,CD Siete Villas, 9320409   size:4.08,Price: ,1.48,CD Guarnizo, 6670872   size:17.33,Price: ,5.2,The Draw, 58805   size:27.81,Price: ,3.6,x
1.122409598, Sport: ,Darts, Time: ,Sun Jan 03 20:45:00 CET 2016, Time: ,Sun Jan 03 20:45:00 CET 2016, Event: ,Seigo Asada v Darius Labanauskas, Favorite: ,Darius Labanauskas, 8919989   size:250.34,Price: ,1.29,Seigo Asada, 8905191   size:7.54,Price: ,3.95,x
1.122433396, Sport: ,Basketball, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Cocinas Clavijo v Prat Joventut, Favorite: ,Cocinas Clavijo, 7736139   size:5.99,Price: ,1.21,Prat Joventut, 8832823   size:6.81,Price: ,5.0,x
1.122431496, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CD Torrevieja v CD Acero, Favorite: ,CD Torrevieja, 8723955   size:3.85,Price: ,1.3,CD Acero, 6797364   size:5.57,Price: ,8.6,The Draw, 58805   size:6.06,Price: ,4.6,ok
1.122450652, Sport: ,Tennis, Time: ,Sun Jan 03 09:45:00 CET 2016, Time: ,Sun Jan 03 09:45:00 CET 2016, Event: ,Begu v Arruabarrena, Favorite: ,Irina-Camelia Begu, 7642289   size:14.28,Price: ,1.39,Lara Arruabarrena, 7137471   size:5.92,Price: ,3.3,ok
1.122409471, Sport: ,Ice Hockey, Time: ,Sun Jan 03 15:30:00 CET 2016, Time: ,Sun Jan 03 15:30:00 CET 2016, Event: ,Zlin v HC Olomouc, Favorite: ,Zlin, 563266   size:3.1,Price: ,2.08,HC Olomouc, 7213810   size:2.66,Price: ,2.42,Tie, 60104   size:54.5,Price: ,4.0,ok
1.122409591, Sport: ,Ice Hockey, Time: ,Sun Jan 03 17:30:00 CET 2016, Time: ,Sun Jan 03 17:30:00 CET 2016, Event: ,Chomutov v Karlovy Vary, Favorite: ,Chomutov, 4645019   size:12.8,Price: ,1.62,Karlovy Vary, 1366079   size:18.0,Price: ,2.58,Tie, 60104   size:54.31,Price: ,4.2,ok
1.122445007, Sport: ,Soccer, Time: ,Sun Jan 03 21:00:00 CET 2016, Time: ,Sun Jan 03 21:00:00 CET 2016, Event: ,SD Paraense U20 v Araxa EC U20, Favorite: ,Araxa EC U20, 10681230   size:2.89,Price: ,1.73,SD Paraense U20, 10681228   size:27.53,Price: ,3.6,The Draw, 58805   size:29.18,Price: ,3.45,ok
