1.121856673, Sport: ,Darts, Time: ,Sat Nov 21 13:45:00 CET 2015, Time: ,Sat Nov 21 13:45:00 CET 2015, Event: ,Simon Whitlock v Rowby John Rodriguez, Favorite: ,Simon Whitlock, 2658195   size:5.7,Price: ,1.58,Rowby John Rodriguez, 8368572   size:14.55,Price: ,2.56,x
1.121951914, Sport: ,Tennis, Time: ,Sat Nov 21 18:45:00 CET 2015, Time: ,Sat Nov 21 18:45:00 CET 2015, Event: ,Bozoljac/Zelenay v Basic/Mektic, Favorite: ,Bozoljac/Zelenay, 10507398   size:71.33,Price: ,1.53,Basic/Mektic, 10530697   size:71.33,Price: ,2.16,ok
1.121855778, Sport: ,Soccer, Time: ,Sat Nov 21 13:00:00 CET 2015, Time: ,Sat Nov 21 13:00:00 CET 2015, Event: ,Rozwoj Katowice v Olimpia Grudziadz, Favorite: ,Rozwoj Katowice, 7568776   size:3.76,Price: ,2.58,Olimpia Grudziadz, 4135268   size:75.12,Price: ,3.05,The Draw, 58805   size:3.76,Price: ,3.3,x
1.121853599, Sport: ,Soccer, Time: ,Sat Nov 21 09:30:00 CET 2015, Time: ,Sat Nov 21 09:30:00 CET 2015, Event: ,Zenit St Petersburg II v Tomsk, Favorite: ,Tomsk, 1090112   size:35.37,Price: ,1.99,Zenit St Petersburg II, 9386609   size:64.86,Price: ,3.95,The Draw, 58805   size:18.38,Price: ,3.95,x
1.121916734, Sport: ,Soccer, Time: ,Sat Nov 21 10:00:00 CET 2015, Time: ,Sat Nov 21 10:00:00 CET 2015, Event: ,RNK Split U19 v NK Osijek U19, Favorite: ,RNK Split U19, 7639710   size:5.0,Price: ,1.03,NK Osijek U19, 7236652   size:5.0,Price: ,1.03,The Draw, 58805   size:2.85,Price: ,1.25,ok
1.121915761, Sport: ,Soccer, Time: ,Sat Nov 21 19:00:00 CET 2015, Time: ,Sat Nov 21 19:00:00 CET 2015, Event: ,Orlando Pirates (SA) v Etoile du Sahel, Favorite: ,Orlando Pirates (SA), 1532826   size:6.92,Price: ,2.02,Etoile du Sahel, 6488670   size:101.72,Price: ,3.1,The Draw, 58805   size:14.83,Price: ,2.88,x
1.121915522, Sport: ,Soccer, Time: ,Sat Nov 21 13:00:00 CET 2015, Time: ,Sat Nov 21 13:00:00 CET 2015, Event: ,Velez Mostar v Slavija Sarajevo, Favorite: ,Velez Mostar, 7905933   size:9.82,Price: ,2.14,Slavija Sarajevo, 2450197   size:2.64,Price: ,2.36,The Draw, 58805   size:20.73,Price: ,2.9,x
1.121913101, Sport: ,Soccer, Time: ,Sat Nov 21 15:25:00 CET 2015, Time: ,Sat Nov 21 15:25:00 CET 2015, Event: ,Al Salmiyah v Al Shabab (KUW), Favorite: ,Al Salmiyah, 7188818   size:5.63,Price: ,1.06,Al Shabab (KUW), 10497263   size:39.13,Price: ,1.51,The Draw, 58805   size:18.21,Price: ,2.92,ok
1.121801995, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,E Stirling v Montrose, Favorite: ,Montrose, 674746   size:3.97,Price: ,2.32,E Stirling, 729808   size:8.09,Price: ,2.7,The Draw, 58805   size:3.38,Price: ,3.95,x
1.121779976, Sport: ,Soccer, Time: ,Sat Nov 21 19:30:00 CET 2015, Time: ,Sat Nov 21 19:30:00 CET 2015, Event: ,Verbroedering Geel v Eupen, Favorite: ,Eupen, 505721   size:4.84,Price: ,1.45,Verbroedering Geel, 505724   size:2.96,Price: ,6.4,The Draw, 58805   size:2.83,Price: ,5.1,ok
1.121866307, Sport: ,Soccer, Time: ,Sat Nov 21 19:00:00 CET 2015, Time: ,Sat Nov 21 19:00:00 CET 2015, Event: ,Sociedad B v CD Guadalajara, Favorite: ,Sociedad B, 2250345   size:2.55,Price: ,2.24,CD Guadalajara, 2522816   size:2.55,Price: ,3.5,The Draw, 58805   size:6.71,Price: ,3.15,x
