1.119982906, Sport: ,Soccer, Time: ,Thu Aug 13 12:00:00 CEST 2015, Time: ,Thu Aug 13 12:00:00 CEST 2015, Event: ,FK Tom Tomsk II v Dinamo Barnaul, Favorite: ,FK Tom Tomsk II, 9420249   size:2.55,Price: ,1.83,The Draw, 58805   size:6.34,Price: ,3.35,Dinamo Barnaul, 9445044   size:2.74,Price: ,3.75,x
1.119982962, Sport: ,Soccer, Time: ,Thu Aug 13 14:00:00 CEST 2015, Time: ,Thu Aug 13 14:00:00 CEST 2015, Event: ,Khoromkhon Klub v Karachi Electric FC, Favorite: ,Karachi Electric FC, 10140595   size:5.83,Price: ,1.18,Khoromkhon Klub, 10147104   size:5.83,Price: ,1.96,The Draw, 58805   size:7.07,Price: ,3.45,x
1.119981233, Sport: ,Tennis, Time: ,Thu Aug 13 11:00:00 CEST 2015, Time: ,Thu Aug 13 11:00:00 CEST 2015, Event: ,Albot v Riba, Favorite: ,Radu Albot, 6603898   size:49.09,Price: ,1.59,Pere Riba, 2489421   size:341.94,Price: ,2.64,ok
1.119899213, Sport: ,Handball, Time: ,Thu Aug 13 13:00:00 CEST 2015, Time: ,Thu Aug 13 13:00:00 CEST 2015, Event: ,Slovenia U19 v Japan U19, Favorite: ,Draw, 330157   size:110.43,Price: ,1.01,Japan U19, 7555446   size:2.72,Price: ,1.04,
1.120000787, Sport: ,Tennis, Time: ,Thu Aug 13 11:00:00 CEST 2015, Time: ,Thu Aug 13 11:00:00 CEST 2015, Event: ,Vaidisova v Pous-Tio, Favorite: ,Laura Pous-Tio, 8443238   size:3.88,Price: ,1.87,Nicole Vaidisova, 2256495   size:5.83,Price: ,1.94,
1.119983256, Sport: ,Soccer, Time: ,Thu Aug 13 15:00:00 CEST 2015, Time: ,Thu Aug 13 15:00:00 CEST 2015, Event: ,FK Oktepa Tashkent v Xorazm FK Urgench, Favorite: ,Xorazm FK Urgench, 8470642   size:140.08,Price: ,1.06,The Draw, 58805   size:2.0,Price: ,1.27,ok
1.119981672, Sport: ,Soccer, Time: ,Thu Aug 13 18:30:00 CEST 2015, Time: ,Thu Aug 13 18:30:00 CEST 2015, Event: ,Olympiakos v Qatar, Favorite: ,Olympiakos, 55243   size:4.16,Price: ,1.51,The Draw, 58805   size:5.49,Price: ,4.1,Qatar, 53447   size:5.13,Price: ,5.4,x
1.119893115, Sport: ,Handball, Time: ,Thu Aug 13 17:00:00 CEST 2015, Time: ,Thu Aug 13 17:00:00 CEST 2015, Event: ,Serbia U19 v Poland U19, Favorite: ,Poland U19, 10118697   size:3.45,Price: ,1.45,Serbia U19, 7555450   size:4.11,Price: ,3.5,Draw, 330157   size:3.26,Price: ,8.8,x
1.120004705, Sport: ,Tennis, Time: ,Thu Aug 13 18:30:00 CEST 2015, Time: ,Thu Aug 13 18:30:00 CEST 2015, Event: ,N Djokovic v J Sock, Favorite: ,Novak Djokovic, 2249229   size:8524.05,Price: ,1.05,Jack Sock, 4596957   size:13.23,Price: ,16.5,ok
1.119982681, Sport: ,Soccer, Time: ,Thu Aug 13 11:00:00 CEST 2015, Time: ,Thu Aug 13 11:00:00 CEST 2015, Event: ,Ukraine (W) U19 v Hungary (W) U19, Favorite: ,Hungary (W) U19, 6775548   size:5.0,Price: ,1.22,The Draw, 58805   size:5.0,Price: ,3.7,ok
1.120004625, Sport: ,Tennis, Time: ,Thu Aug 13 18:30:00 CEST 2015, Time: ,Thu Aug 13 18:30:00 CEST 2015, Event: ,Chardy v Karlovic, Favorite: ,Ivo Karlovic, 2263570   size:951.08,Price: ,1.55,Jeremy Chardy, 2304933   size:353.57,Price: ,2.58,
1.119997959, Sport: ,Tennis, Time: ,Thu Aug 13 16:00:00 CEST 2015, Time: ,Thu Aug 13 16:00:00 CEST 2015, Event: ,K Muchova v K Kucova, Favorite: ,Kristina Kucova, 3990441   size:3.25,Price: ,1.29,Karolina Muchova, 9632758   size:202.52,Price: ,3.75,ok
1.120004387, Sport: ,Tennis, Time: ,Thu Aug 13 18:15:00 CEST 2015, Time: ,Thu Aug 13 18:15:00 CEST 2015, Event: ,Kudryavtsev v P Lorenzi, Favorite: ,Paolo Lorenzi, 2345099   size:3.5,Price: ,1.43,Alexander Kudryavtsev, 5908538   size:13.36,Price: ,2.86,x
1.119997958, Sport: ,Tennis, Time: ,Thu Aug 13 11:00:00 CEST 2015, Time: ,Thu Aug 13 11:00:00 CEST 2015, Event: ,Bonaventure v Panova, Favorite: ,Alexandra Panova, 3220169   size:5.83,Price: ,1.82,Ysaline Bonaventure, 6390243   size:10.55,Price: ,2.02,x
1.119232161, Sport: ,Bowls, Time: ,Thu Aug 13 09:00:00 CEST 2015, Time: ,Thu Aug 13 09:00:00 CEST 2015, Event: ,Edwards v Breen, Favorite: ,Jarrad Breen, 4429867   size:3.76,Price: ,1.67,Scott Edwards, 6919634   size:2.96,Price: ,2.12,ok
1.119859585, Sport: ,Soccer, Time: ,Thu Aug 13 13:15:00 CEST 2015, Time: ,Thu Aug 13 13:15:00 CEST 2015, Event: ,Delhi FC v Indian Air Force, Favorite: ,Indian Air Force, 8931529   size:5.83,Price: ,1.17,The Draw, 58805   size:20.0,Price: ,3.0,ok
1.119997962, Sport: ,Tennis, Time: ,Thu Aug 13 12:30:00 CEST 2015, Time: ,Thu Aug 13 12:30:00 CEST 2015, Event: ,M Torro Flor v Piter, Favorite: ,Maria Teresa Torro Flor, 3799747   size:4.83,Price: ,1.31,Katarzyna Piter, 2395155   size:3.58,Price: ,3.8,ok
1.119997841, Sport: ,Soccer, Time: ,Thu Aug 13 18:15:00 CEST 2015, Time: ,Thu Aug 13 18:15:00 CEST 2015, Event: ,Fgura United FC v Gzira United FC, Favorite: ,Gzira United FC, 7177066   size:140.08,Price: ,1.06,The Draw, 58805   size:2.8,Price: ,1.25,ok
1.119997961, Sport: ,Tennis, Time: ,Thu Aug 13 11:00:00 CEST 2015, Time: ,Thu Aug 13 11:00:00 CEST 2015, Event: ,A Komardina v Zanevska, Favorite: ,Maryna Zanevska, 6390239   size:67.96,Price: ,1.69,Anastasiya Komardina, 9148804   size:27.19,Price: ,2.2,ok
1.119893106, Sport: ,Handball, Time: ,Thu Aug 13 15:00:00 CEST 2015, Time: ,Thu Aug 13 15:00:00 CEST 2015, Event: ,South Korea U19 v Hungary U19, Favorite: ,Draw, 330157   size:110.43,Price: ,1.01,South Korea U19, 7554678   size:450.0,Price: ,1.03,ok
1.119232164, Sport: ,Bowls, Time: ,Thu Aug 13 12:00:00 CEST 2015, Time: ,Thu Aug 13 12:00:00 CEST 2015, Event: ,Breen v Brown, Favorite: ,Danny Brown, 2266353   size:0.0,Price: ,0.0,x
1.119232163, Sport: ,Bowls, Time: ,Thu Aug 13 11:00:00 CEST 2015, Time: ,Thu Aug 13 11:00:00 CEST 2015, Event: ,Edwards v Willgress, Favorite: ,Wayne Willgress, 6982649   size:0.0,Price: ,0.0,ok
1.119232162, Sport: ,Bowls, Time: ,Thu Aug 13 10:00:00 CEST 2015, Time: ,Thu Aug 13 10:00:00 CEST 2015, Event: ,Willgress v Brown, Favorite: ,Danny Brown, 2266353   size:3.76,Price: ,1.67,Wayne Willgress, 6982649   size:2.96,Price: ,2.12,ok
1.119981743, Sport: ,Soccer, Time: ,Thu Aug 13 18:30:00 CEST 2015, Time: ,Thu Aug 13 18:30:00 CEST 2015, Event: ,Osasuna v Zaragoza, Favorite: ,Zaragoza, 48798   size:2.55,Price: ,1.91,The Draw, 58805   size:63.72,Price: ,3.2,Osasuna, 10543   size:58.4,Price: ,3.4,ok
