1.119853834, Sport: ,Soccer, Time: ,Thu Aug 06 19:30:00 CEST 2015, Time: ,Thu Aug 06 19:30:00 CEST 2015, Event: ,Sel Ham Aeg Ar U19 v Throttur Reykjavik U19, Favorite: ,Sel Ham Aeg Ar U19, 8551023   size:2.03,Price: ,1.09,Throttur Reykjavik U19, 6390632   size:5.97,Price: ,1.21,The Draw, 58805   size:11.02,Price: ,1.29,x
1.119852548, Sport: ,Soccer, Time: ,Thu Aug 06 19:00:00 CEST 2015, Time: ,Thu Aug 06 19:00:00 CEST 2015, Event: ,Atletico Baleares v UCAM Murcia, Favorite: ,Atletico Baleares, 3303611   size:2.55,Price: ,2.4,UCAM Murcia, 5778410   size:4.24,Price: ,2.92,The Draw, 58805   size:3.98,Price: ,3.45,x
1.119874459, Sport: ,Snooker, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Williams v ODonnell, Favorite: ,Robbie Williams, 5839764   size:4.63,Price: ,1.39,Martin ODonnell, 6444853   size:88.03,Price: ,2.62,ok
1.119747847, Sport: ,Soccer, Time: ,Thu Aug 06 19:00:00 CEST 2015, Time: ,Thu Aug 06 19:00:00 CEST 2015, Event: ,Hapoel Kiryat Shmona v Slovan Liberec, Favorite: ,Slovan Liberec, 10503   size:58.16,Price: ,2.64,Hapoel Kiryat Shmona, 5538497   size:22.99,Price: ,2.84,The Draw, 58805   size:386.9,Price: ,3.5,ok
1.119744733, Sport: ,Soccer, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Atromitos v AIK, Favorite: ,Atromitos, 1234639   size:119.23,Price: ,2.08,The Draw, 58805   size:146.53,Price: ,3.7,AIK, 168731   size:51.89,Price: ,3.85,ok
1.119874458, Sport: ,Snooker, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Swail v Davison, Favorite: ,Joe Swail, 2280125   size:19.64,Price: ,1.53,Paul S Davison, 6770078   size:83.9,Price: ,2.7,ok
1.119745700, Sport: ,Soccer, Time: ,Thu Aug 06 17:00:00 CEST 2015, Time: ,Thu Aug 06 17:00:00 CEST 2015, Event: ,Valerenga II v Tromsdalen, Favorite: ,Valerenga II, 5481309   size:5.97,Price: ,1.11,Tromsdalen, 152569   size:7.35,Price: ,1.18,The Draw, 58805   size:24.26,Price: ,3.5,x
1.119852828, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Real Jaen v Cordoba, Favorite: ,Cordoba, 68247   size:3.0,Price: ,1.74,The Draw, 58805   size:40.97,Price: ,3.7,Real Jaen, 3303613   size:36.91,Price: ,4.0,ok
1.119750558, Sport: ,Soccer, Time: ,Thu Aug 06 20:15:00 CEST 2015, Time: ,Thu Aug 06 20:15:00 CEST 2015, Event: ,Slovan Bratislava v FK Krasnodar, Favorite: ,FK Krasnodar, 4020902   size:122.01,Price: ,1.86,The Draw, 58805   size:16.68,Price: ,3.8,Slovan Bratislava, 46933   size:123.29,Price: ,4.8,x
1.119750757, Sport: ,Soccer, Time: ,Thu Aug 06 20:45:00 CEST 2015, Time: ,Thu Aug 06 20:45:00 CEST 2015, Event: ,Aberdeen v Kairat Almaty, Favorite: ,Aberdeen, 1189   size:72.11,Price: ,2.16,The Draw, 58805   size:178.95,Price: ,3.55,Kairat Almaty, 197955   size:48.63,Price: ,3.75,x
1.119745023, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Dalvik Reynir v Huginn, Favorite: ,Huginn, 6584708   size:2.55,Price: ,1.28,The Draw, 58805   size:36.87,Price: ,5.2,Dalvik Reynir, 5618773   size:2.0,Price: ,9.0,ok
1.119746154, Sport: ,Soccer, Time: ,Thu Aug 06 17:30:00 CEST 2015, Time: ,Thu Aug 06 17:30:00 CEST 2015, Event: ,Haka v TPS, Favorite: ,TPS, 344793   size:45.16,Price: ,2.56,Haka, 516339   size:22.0,Price: ,2.9,The Draw, 58805   size:97.98,Price: ,3.45,x
1.119745021, Sport: ,Soccer, Time: ,Thu Aug 06 17:30:00 CEST 2015, Time: ,Thu Aug 06 17:30:00 CEST 2015, Event: ,P-Iirot v GrIFK, Favorite: ,GrIFK, 1229634   size:6.06,Price: ,1.36,P-Iirot, 494100   size:3.01,Price: ,4.3,The Draw, 58805   size:4.07,Price: ,5.4,ok
1.119855380, Sport: ,Tennis, Time: ,Thu Aug 06 17:00:00 CEST 2015, Time: ,Thu Aug 06 17:00:00 CEST 2015, Event: ,Mat Trevisan v Krajinovic, Favorite: ,Filip Krajinovic, 3509265   size:54.73,Price: ,1.26,Matteo Trevisan, 8284473   size:15.01,Price: ,4.2,ok
1.119747483, Sport: ,Soccer, Time: ,Thu Aug 06 18:00:00 CEST 2015, Time: ,Thu Aug 06 18:00:00 CEST 2015, Event: ,Inter Baku v Ath Bilbao, Favorite: ,Ath Bilbao, 215903   size:521.46,Price: ,1.57,The Draw, 58805   size:304.03,Price: ,4.4,Inter Baku, 3173738   size:145.31,Price: ,6.8,x
1.119750043, Sport: ,Soccer, Time: ,Thu Aug 06 20:00:00 CEST 2015, Time: ,Thu Aug 06 20:00:00 CEST 2015, Event: ,Zorya v Charleroi, Favorite: ,Zorya, 2017903   size:30.63,Price: ,1.82,The Draw, 58805   size:43.71,Price: ,3.9,Charleroi, 65808   size:3.1,Price: ,5.0,ok
1.119854451, Sport: ,Soccer, Time: ,Thu Aug 06 17:00:00 CEST 2015, Time: ,Thu Aug 06 17:00:00 CEST 2015, Event: ,Z Michalovce U19 v Partizan Bardejov U19, Favorite: ,Z Michalovce U19, 7219624   size:11.02,Price: ,1.65,Partizan Bardejov U19, 7306769   size:6.57,Price: ,3.35,The Draw, 58805   size:11.02,Price: ,3.5,ok
1.119853442, Sport: ,Soccer, Time: ,Thu Aug 06 21:15:00 CEST 2015, Time: ,Thu Aug 06 21:15:00 CEST 2015, Event: ,Valur (W) v Stjarnan (W), Favorite: ,Stjarnan (W), 5247616   size:16.99,Price: ,1.1,Valur (W), 5279490   size:2.65,Price: ,2.42,The Draw, 58805   size:11.53,Price: ,3.6,ok
1.119852475, Sport: ,Soccer, Time: ,Thu Aug 06 21:00:00 CEST 2015, Time: ,Thu Aug 06 21:00:00 CEST 2015, Event: ,Antequera CF v Granada B, Favorite: ,Granada B, 7602492   size:2.78,Price: ,1.8,The Draw, 58805   size:6.52,Price: ,3.3,Antequera CF, 7747297   size:6.35,Price: ,3.7,ok
1.119855865, Sport: ,Tennis, Time: ,Thu Aug 06 23:00:00 CEST 2015, Time: ,Thu Aug 06 23:00:00 CEST 2015, Event: ,Muhammad/Tomljanovic v Dabrowski/Rosolska, Favorite: ,Dabrowski/Rosolska, 7766530   size:2.55,Price: ,1.53,Muhammad/Tomljanovic, 10109069   size:2.55,Price: ,2.36,ok
