1.121952202, Sport: ,Tennis, Time: ,Mon Nov 23 07:00:00 CET 2015, Time: ,Mon Nov 23 07:00:00 CET 2015, Event: ,Makoto Ochi v Kravchuk, Favorite: ,Konstantin Kravchuk, 5011822   size:6.1,Price: ,1.12,Makoto Ochi, 8978439   size:8.7,Price: ,8.8,ok
1.121866351, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,UCAM Murcia v Murcia, Favorite: ,UCAM Murcia, 5778410   size:21.68,Price: ,2.78,Murcia, 68244   size:7.98,Price: ,3.0,The Draw, 58805   size:4.75,Price: ,3.0,x
1.121939972, Sport: ,Soccer, Time: ,Mon Nov 23 00:30:00 CET 2015, Time: ,Mon Nov 23 00:30:00 CET 2015, Event: ,Blooming v Ciclon, Favorite: ,Blooming, 2278549   size:7.23,Price: ,1.62,Ciclon, 10197623   size:8.13,Price: ,5.7,The Draw, 58805   size:2.85,Price: ,4.3,x
1.121812768, Sport: ,Soccer, Time: ,Sun Nov 22 18:30:00 CET 2015, Time: ,Sun Nov 22 18:30:00 CET 2015, Event: ,Panthrakikos v AEK, Favorite: ,AEK, 214309   size:154.3,Price: ,1.63,Panthrakikos, 2053859   size:50.74,Price: ,7.0,The Draw, 58805   size:18.33,Price: ,3.95,ok
1.121942588, Sport: ,Soccer, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,CSD Comunicacniones II v CSD Sayaxche, Favorite: ,CSD Comunicacniones II, 10378384   size:5.0,Price: ,1.03,CSD Sayaxche, 10549894   size:5.0,Price: ,1.03,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121960457, Sport: ,Soccer, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,Universitario Popayan v Real Cartagena, Favorite: ,Universitario Popayan, 10101850   size:169.09,Price: ,2.16,Real Cartagena, 5284704   size:45.3,Price: ,3.2,The Draw, 58805   size:3.0,Price: ,3.6,x
1.121817419, Sport: ,Soccer, Time: ,Mon Nov 23 06:00:00 CET 2015, Time: ,Mon Nov 23 06:00:00 CET 2015, Event: ,Kyoto v Mito, Favorite: ,Kyoto, 441085   size:36.88,Price: ,2.38,Mito, 3455677   size:10.89,Price: ,3.35,The Draw, 58805   size:17.21,Price: ,3.35,ok
1.121948201, Sport: ,Soccer, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,SD Balmaseda FC v Pasala Kirol Elkartea, Favorite: ,SD Balmaseda FC, 6283876   size:3.0,Price: ,1.62,Pasala Kirol Elkartea, 9339252   size:4.29,Price: ,5.0,The Draw, 58805   size:5.63,Price: ,3.6,ok
1.121815354, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Targu Mures v Viitorul Constanta, Favorite: ,Targu Mures, 3413079   size:11.35,Price: ,2.18,Viitorul Constanta, 5431165   size:50.0,Price: ,4.0,The Draw, 58805   size:122.18,Price: ,3.2,x
1.121743704, Sport: ,American Football, Time: ,Sun Nov 22 22:05:00 CET 2015, Time: ,Sun Nov 22 22:05:00 CET 2015, Event: ,Kansas City @ San Diego, Favorite: ,Kansas City Chiefs, 50214   size:250.2,Price: ,1.61,San Diego Chargers, 50215   size:78.79,Price: ,2.6,ok
