1.122361029, Sport: ,American Football, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Philadelphia @ NY Giants, Favorite: ,Philadelphia Eagles, 50186   size:8.28,Price: ,1.76,New York Giants, 50185   size:423.99,Price: ,2.1,ok
1.122403607, Sport: ,Snooker, Time: ,Mon Jan 04 17:30:00 CET 2016, Time: ,Mon Jan 04 17:30:00 CET 2016, Event: ,OSullivan v Higgins, Favorite: ,Ronnie OSullivan, 2678270   size:7.74,Price: ,1.69,John Higgins, 2278785   size:2.55,Price: ,2.2,ok
1.122464621, Sport: ,Tennis, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,G Melzer v Kicker, Favorite: ,Gerald Melzer, 4876705   size:6.92,Price: ,1.08,Nicolas Kicker, 8326744   size:6.92,Price: ,1.08,ok
1.122310956, Sport: ,Ice Hockey, Time: ,Mon Jan 04 01:05:00 CET 2016, Time: ,Mon Jan 04 01:05:00 CET 2016, Event: ,Ottawa @ Chicago, Favorite: ,Chicago, 2109831   size:19.99,Price: ,1.95,Ottawa, 2108072   size:114.52,Price: ,3.65,Tie, 60104   size:95.44,Price: ,4.4,ok
1.122403601, Sport: ,Snooker, Time: ,Mon Jan 04 14:30:00 CET 2016, Time: ,Mon Jan 04 14:30:00 CET 2016, Event: ,Walden v OSullivan, Favorite: ,Ronnie OSullivan, 2678270   size:22.96,Price: ,1.42,Ricky Walden, 2278806   size:2.55,Price: ,2.9,ok
1.122403602, Sport: ,Snooker, Time: ,Mon Jan 04 14:30:00 CET 2016, Time: ,Mon Jan 04 14:30:00 CET 2016, Event: ,Milkins v Day, Favorite: ,Ryan Day, 2278798   size:2.55,Price: ,1.72,Robert Milkins, 2278803   size:31.86,Price: ,2.16,x
1.122409707, Sport: ,Darts, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Kostas Pantelidis v Darren Peetoom, Favorite: ,Kostas Pantelidis, 10672168   size:300.0,Price: ,1.36,Darren Peetoom, 10672169   size:401.19,Price: ,1.44,ok
1.122407408, Sport: ,Soccer, Time: ,Mon Jan 04 14:00:00 CET 2016, Time: ,Mon Jan 04 14:00:00 CET 2016, Event: ,Barnsley U21 v Crewe U21, Favorite: ,Barnsley U21, 6667038   size:3.69,Price: ,1.16,Crewe U21, 6628863   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122405346, Sport: ,Basketball, Time: ,Sun Jan 03 20:00:00 CET 2016, Time: ,Sun Jan 03 20:00:00 CET 2016, Event: ,Arizona @ Arizona State, Favorite: ,Arizona, 29835   size:143.93,Price: ,1.59,Arizona State, 712840   size:191.38,Price: ,2.5,ok
1.122403600, Sport: ,Snooker, Time: ,Mon Jan 04 13:00:00 CET 2016, Time: ,Mon Jan 04 13:00:00 CET 2016, Event: ,Higgins v Hawkins, Favorite: ,John Higgins, 2278785   size:47.9,Price: ,1.71,Barry Hawkins, 2278801   size:2.55,Price: ,2.18,x
