1.121988690, Sport: ,Hockey, Time: ,Fri Nov 27 14:00:00 CET 2015, Time: ,Fri Nov 27 14:00:00 CET 2015, Event: ,Argentina v India, Favorite: ,Argentina, 261989   size:0.0,Price: ,0.0,India, 206963   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,ok
1.121981822, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:30:00 CET 2015, Time: ,Fri Nov 27 19:30:00 CET 2015, Event: ,Frederikshavn v Aalborg, Favorite: ,Frederikshavn, 70626   size:5.11,Price: ,1.29,Aalborg, 70634   size:75.2,Price: ,5.8,Tie, 60104   size:5.34,Price: ,5.9,ok
1.122005246, Sport: ,Soccer, Time: ,Fri Nov 27 15:00:00 CET 2015, Time: ,Fri Nov 27 15:00:00 CET 2015, Event: ,USMM Hadjout v USM El Eulma, Favorite: ,USMM Hadjout, 8119372   size:9.42,Price: ,1.04,USM El Eulma, 9221276   size:9.42,Price: ,1.04,The Draw, 58805   size:14.22,Price: ,3.15,x
1.121883907, Sport: ,Soccer, Time: ,Fri Nov 27 20:45:00 CET 2015, Time: ,Fri Nov 27 20:45:00 CET 2015, Event: ,Hull v Derby, Favorite: ,Hull, 70385   size:169.93,Price: ,2.36,Derby, 48325   size:414.09,Price: ,3.45,The Draw, 58805   size:5022.82,Price: ,3.35,x
1.122004399, Sport: ,Soccer, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,OM Arzew U21 v Amal Bou Saada U21, Favorite: ,Amal Bou Saada U21, 9251297   size:21.19,Price: ,2.12,OM Arzew U21, 10149900   size:14.89,Price: ,2.92,The Draw, 58805   size:12.47,Price: ,3.3,x
1.122004158, Sport: ,Soccer, Time: ,Fri Nov 27 10:00:00 CET 2015, Time: ,Fri Nov 27 10:00:00 CET 2015, Event: ,Nam Dinh FC II v Cong Anh Nhan Dan II, Favorite: ,Cong Anh Nhan Dan II, 8967073   size:2.55,Price: ,1.52,Nam Dinh FC II, 10550482   size:3.68,Price: ,4.3,The Draw, 58805   size:6.96,Price: ,3.9,ok
1.121986036, Sport: ,Basketball, Time: ,Sat Nov 28 01:05:00 CET 2015, Time: ,Sat Nov 28 01:05:00 CET 2015, Event: ,Cleveland @ Charlotte, Favorite: ,Cleveland, 13112   size:10.22,Price: ,1.22,Charlotte, 13110   size:18.43,Price: ,2.62,ok
1.121962632, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:35:00 CET 2015, Time: ,Fri Nov 27 20:35:00 CET 2015, Event: ,Edinburgh v Dragons, Favorite: ,Edinburgh, 8873   size:2.94,Price: ,1.3,Dragons, 789918   size:2.8,Price: ,4.1,Draw, 246289   size:3.55,Price: ,29.0,ok
1.121886837, Sport: ,Soccer, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,Dukla Prague v Teplice, Favorite: ,Dukla Prague, 4142634   size:14.22,Price: ,2.0,Teplice, 174264   size:132.7,Price: ,4.0,The Draw, 58805   size:290.39,Price: ,3.6,ok
1.121962635, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:35:00 CET 2015, Time: ,Fri Nov 27 20:35:00 CET 2015, Event: ,Glasgow v Treviso, Favorite: ,Glasgow, 50108   size:2089.05,Price: ,1.08,Treviso, 52263   size:2.84,Price: ,10.0,Draw, 246289   size:2.76,Price: ,80.0,ok
1.121988629, Sport: ,Darts, Time: ,Fri Nov 27 15:30:00 CET 2015, Time: ,Fri Nov 27 15:30:00 CET 2015, Event: ,Benito van de Pas v Stephen Bunting, Favorite: ,Stephen Bunting, 3538481   size:117.92,Price: ,1.63,Benito van de Pas, 6062761   size:3.98,Price: ,2.34,x
1.121933874, Sport: ,Ice Hockey, Time: ,Sat Nov 28 01:05:00 CET 2015, Time: ,Sat Nov 28 01:05:00 CET 2015, Event: ,Pittsburgh @ Columbus, Favorite: ,Pittsburgh, 2115995   size:2.75,Price: ,2.4,Columbus, 2114347   size:5.43,Price: ,2.44,Tie, 60104   size:4.64,Price: ,3.55,x
1.121989958, Sport: ,Basketball, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,Palencia v Caceres, Favorite: ,Palencia, 4661101   size:2.84,Price: ,1.03,Caceres, 4661098   size:2.84,Price: ,1.03,ok
1.121985912, Sport: ,Basketball, Time: ,Fri Nov 27 18:45:00 CET 2015, Time: ,Fri Nov 27 18:45:00 CET 2015, Event: ,Pinar Karsiyaka v Panathinaikos, Favorite: ,Pinar Karsiyaka, 631283   size:3.42,Price: ,1.2,Panathinaikos, 266270   size:6.12,Price: ,1.87,x
1.121886956, Sport: ,Soccer, Time: ,Fri Nov 27 15:00:00 CET 2015, Time: ,Fri Nov 27 15:00:00 CET 2015, Event: ,Ural v Mordovia Saransk, Favorite: ,Ural, 2460920   size:9.46,Price: ,2.12,Mordovia Saransk, 4045119   size:311.99,Price: ,4.2,The Draw, 58805   size:248.98,Price: ,3.35,ok
1.122025287, Sport: ,Tennis, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,R Marcora v Dodig, Favorite: ,Ivan Dodig, 2835266   size:58.54,Price: ,1.16,Roberto Marcora, 7412952   size:29.22,Price: ,5.5,ok
1.122005796, Sport: ,Soccer, Time: ,Fri Nov 27 09:00:00 CET 2015, Time: ,Fri Nov 27 09:00:00 CET 2015, Event: ,Surabaya United v Persela Lamongan, Favorite: ,Surabaya United, 10525847   size:11.34,Price: ,1.16,Persela Lamongan, 5227372   size:10.57,Price: ,8.6,The Draw, 58805   size:6.5,Price: ,6.0,ok
1.121989951, Sport: ,Basketball, Time: ,Fri Nov 27 20:30:00 CET 2015, Time: ,Fri Nov 27 20:30:00 CET 2015, Event: ,Navarra v Ourense, Favorite: ,Navarra, 5021017   size:2.84,Price: ,1.03,Ourense, 4661102   size:2.84,Price: ,1.03,ok
1.121984395, Sport: ,Soccer, Time: ,Fri Nov 27 17:00:00 CET 2015, Time: ,Fri Nov 27 17:00:00 CET 2015, Event: ,Panserraikos v Zakinthos, Favorite: ,Panserraikos, 1210411   size:2.55,Price: ,1.86,Zakinthos, 3435381   size:10.09,Price: ,4.3,The Draw, 58805   size:5.22,Price: ,3.4,ok
1.121984274, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:30:00 CET 2015, Time: ,Fri Nov 27 19:30:00 CET 2015, Event: ,Adler Mannheim v Krefeld Pinguine, Favorite: ,Adler Mannheim, 233924   size:30.03,Price: ,1.45,Krefeld Pinguine, 233926   size:33.22,Price: ,6.0,Tie, 60104   size:12.7,Price: ,6.6,ok
1.121886726, Sport: ,Soccer, Time: ,Fri Nov 27 18:30:00 CET 2015, Time: ,Fri Nov 27 18:30:00 CET 2015, Event: ,Austria Lustenau v FC Wiener Neustadt, Favorite: ,Austria Lustenau, 453564   size:43.11,Price: ,1.79,FC Wiener Neustadt, 3164919   size:65.08,Price: ,4.8,The Draw, 58805   size:5.0,Price: ,3.95,x
