1.121953002, Sport: ,Tennis, Time: ,Mon Nov 23 16:45:00 CET 2015, Time: ,Mon Nov 23 16:45:00 CET 2015, Event: ,Horansky v Marchenko, Favorite: ,Illya Marchenko, 3691700   size:2456.14,Price: ,1.05,Filip Horansky, 4596961   size:5.31,Price: ,15.0,ok
1.121952035, Sport: ,Basketball, Time: ,Mon Nov 23 18:45:00 CET 2015, Time: ,Mon Nov 23 18:45:00 CET 2015, Event: ,Maccabi Ashdod v Maccabi Kiryat Gat, Favorite: ,Maccabi Ashdod, 7758972   size:8.66,Price: ,1.25,Maccabi Kiryat Gat, 10405174   size:2.55,Price: ,4.3,ok
1.121817937, Sport: ,Soccer, Time: ,Mon Nov 23 19:30:00 CET 2015, Time: ,Mon Nov 23 19:30:00 CET 2015, Event: ,Pandurii v Petrolul Ploiesti, Favorite: ,Pandurii, 1556995   size:771.48,Price: ,1.94,Petrolul Ploiesti, 3417863   size:6.01,Price: ,4.7,The Draw, 58805   size:295.91,Price: ,3.3,ok
1.121957320, Sport: ,Soccer, Time: ,Mon Nov 23 13:30:00 CET 2015, Time: ,Mon Nov 23 13:30:00 CET 2015, Event: ,FK Dukla Praha U21 v Sparta Prague U21, Favorite: ,Sparta Prague U21, 6789764   size:310.95,Price: ,1.37,FK Dukla Praha U21, 6563673   size:18.47,Price: ,6.8,The Draw, 58805   size:2.57,Price: ,5.8,ok
1.121957441, Sport: ,Soccer, Time: ,Mon Nov 23 20:45:00 CET 2015, Time: ,Mon Nov 23 20:45:00 CET 2015, Event: ,Barkingside FC v Thurrock, Favorite: ,Thurrock, 597560   size:2.55,Price: ,1.14,Barkingside FC, 8205298   size:2.55,Price: ,2.86,The Draw, 58805   size:11.47,Price: ,2.88,ok
1.121920551, Sport: ,Volleyball, Time: ,Mon Nov 23 11:00:00 CET 2015, Time: ,Mon Nov 23 11:00:00 CET 2015, Event: ,Incheon Korean Air Jumb v Deajeon Bluefangs, Favorite: ,Deajeon Bluefangs, 10389009   size:10.0,Price: ,1.4,Incheon Korean Air Jumb, 10389010   size:65.07,Price: ,3.3,ok
1.121952038, Sport: ,Basketball, Time: ,Mon Nov 23 20:35:00 CET 2015, Time: ,Mon Nov 23 20:35:00 CET 2015, Event: ,Kutno v Energa Czarni Slupsk, Favorite: ,Energa Czarni Slupsk, 2125689   size:18.74,Price: ,1.68,Kutno, 8832805   size:2.55,Price: ,2.26,ok
1.121816282, Sport: ,Soccer, Time: ,Mon Nov 23 18:30:00 CET 2015, Time: ,Mon Nov 23 18:30:00 CET 2015, Event: ,Veria v Iraklis, Favorite: ,Veria, 1210422   size:17.34,Price: ,2.28,Iraklis, 14076   size:110.68,Price: ,3.7,The Draw, 58805   size:12.18,Price: ,3.35,x
1.121818463, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Spal v Pisa, Favorite: ,Spal, 3307906   size:16.77,Price: ,2.18,Pisa, 501200   size:108.72,Price: ,3.9,The Draw, 58805   size:5.0,Price: ,3.2,x
1.121936993, Sport: ,Basketball, Time: ,Mon Nov 23 18:00:00 CET 2015, Time: ,Mon Nov 23 18:00:00 CET 2015, Event: ,Metalac v Cedevita, Favorite: ,Cedevita, 4229279   size:2.55,Price: ,1.37,Metalac, 7735981   size:2.55,Price: ,3.3,ok
1.121936997, Sport: ,Basketball, Time: ,Mon Nov 23 18:00:00 CET 2015, Time: ,Mon Nov 23 18:00:00 CET 2015, Event: ,Skopje v Zadar, Favorite: ,Skopje, 6702723   size:32.93,Price: ,1.43,Zadar, 680759   size:2.55,Price: ,2.96,x
1.121868585, Sport: ,Ice Hockey, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Odense v Rungsted, Favorite: ,Odense, 70624   size:2.79,Price: ,1.79,Rungsted, 70625   size:19.58,Price: ,3.35,Tie, 60104   size:23.28,Price: ,5.3,x
1.121960846, Sport: ,Tennis, Time: ,Mon Nov 23 15:45:00 CET 2015, Time: ,Mon Nov 23 15:45:00 CET 2015, Event: ,Mager/Sonego v Dalla Valle/Di Nicola, Favorite: ,Mager/Sonego, 10553262   size:3.91,Price: ,1.28,Dalla Valle/Di Nicola, 10553263   size:6.88,Price: ,3.3,ok
1.121952024, Sport: ,Basketball, Time: ,Mon Nov 23 19:00:00 CET 2015, Time: ,Mon Nov 23 19:00:00 CET 2015, Event: ,Svendborg v Naestved, Favorite: ,Naestved, 6719080   size:2.55,Price: ,1.45,Svendborg, 6719075   size:35.99,Price: ,2.98,ok
1.121962905, Sport: ,Soccer, Time: ,Mon Nov 23 18:30:00 CET 2015, Time: ,Mon Nov 23 18:30:00 CET 2015, Event: ,Heracles Almelo (Res) v ADO Den Haag (Res), Favorite: ,Heracles Almelo (Res), 10138993   size:18.8,Price: ,1.02,ADO Den Haag (Res), 10138947   size:18.8,Price: ,1.02,The Draw, 58805   size:5.0,Price: ,2.94,x
1.121957551, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Chile U20 (W) v Venezuela (W) U20, Favorite: ,Chile U20 (W), 10539473   size:10.07,Price: ,1.12,Venezuela (W) U20, 8060059   size:10.06,Price: ,1.12,The Draw, 58805   size:11.5,Price: ,2.88,x
1.121957716, Sport: ,Soccer, Time: ,Mon Nov 23 20:15:00 CET 2015, Time: ,Mon Nov 23 20:15:00 CET 2015, Event: ,Hamrun Spartans FC v St Georges Cospicua, Favorite: ,Hamrun Spartans FC, 6601778   size:6.12,Price: ,1.32,St Georges Cospicua, 10288418   size:6.02,Price: ,2.52,The Draw, 58805   size:13.75,Price: ,2.9,ok
1.121816799, Sport: ,Soccer, Time: ,Mon Nov 23 17:00:00 CET 2015, Time: ,Mon Nov 23 17:00:00 CET 2015, Event: ,Maccabi Ahi Nazareth v Maccabi Herzliya, Favorite: ,Maccabi Ahi Nazareth, 5188358   size:5.0,Price: ,2.62,Maccabi Herzliya, 5195923   size:6.02,Price: ,2.7,The Draw, 58805   size:2.55,Price: ,3.45,x
1.121818858, Sport: ,Soccer, Time: ,Mon Nov 23 18:30:00 CET 2015, Time: ,Mon Nov 23 18:30:00 CET 2015, Event: ,Fortuna Sittard (Res) v Roda JC Kerkrade (Res), Favorite: ,Fortuna Sittard (Res), 10138914   size:11.56,Price: ,1.12,Roda JC Kerkrade (Res), 10164355   size:3.78,Price: ,2.06,The Draw, 58805   size:2.67,Price: ,2.92,x
